AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.653813129672336e-17,3.653813129672336e-17,3.653813129672336e-17,3.653813129672336e-17,3.858235746771849e-17,3.858235746771849e-17,3.858235746771849e-17,2.1061957920565445e-16,2.1061957920565445e-16,4.298571176907296e-10
0.0010473708979594498,4.543790210870182e-17,4.543790210870182e-17,4.543790210870182e-17,4.543790210870182e-17,4.7980050416464036e-17,4.7980050416464036e-17,4.7980050416464036e-17,2.2096508909255685e-16,2.2096508909255685e-16,4.29857129402562e-10
0.001096985797892384,5.650543349558537e-17,5.650543349558537e-17,5.650543349558537e-17,5.650543349558537e-17,5.966678526300037e-17,5.966678526300037e-17,5.966678526300037e-17,2.338305052707464e-16,2.338305052707464e-16,4.2985714396710267e-10
0.0011489510001873086,7.026873747132155e-17,7.026873747132155e-17,7.026873747132155e-17,7.026873747132155e-17,7.420011510449817e-17,7.420011510449817e-17,7.420011510449817e-17,2.498296136034888e-16,2.498296136034888e-16,4.2985716207919945e-10
0.0012033778407775893,8.73844365108596e-17,8.73844365108596e-17,8.73844365108596e-17,8.73844365108596e-17,9.227339896482272e-17,9.227339896482272e-17,9.227339896482272e-17,2.697257027697921e-16,2.697257027697921e-16,4.29857184602948e-10
0.0012603829296797275,1.0866908982727717e-16,1.0866908982727717e-16,1.0866908982727717e-16,1.0866908982727717e-16,1.147488807063266e-16,1.147488807063266e-16,1.147488807063266e-16,2.944679793942546e-16,2.944679793942546e-16,4.298572126129158e-10
0.001320088400831418,1.3513814994299785e-16,1.3513814994299785e-16,1.3513814994299785e-16,1.3513814994299785e-16,1.4269882513350588e-16,1.4269882513350588e-16,1.4269882513350588e-16,3.252368529876778e-16,3.252368529876778e-16,4.2985724744540804e-10
0.0013826221737646563,1.6805440810301256e-16,1.6805440810301256e-16,1.6805440810301256e-16,1.6805440810301256e-16,1.7745667381800381e-16,1.7745667381800381e-16,1.7745667381800381e-16,3.6350025116147437e-16,3.6350025116147437e-16,4.298572907622203e-10
0.001448118227674533,2.089882397736425e-16,2.089882397736425e-16,2.089882397736425e-16,2.089882397736425e-16,2.206806611973709e-16,2.206806611973709e-16,2.206806611973709e-16,4.1108365181346934e-16,4.1108365181346934e-16,4.2985734462991967e-10
0.0015167168884709225,2.5989252443121453e-16,2.5989252443121453e-16,2.5989252443121453e-16,2.5989252443121453e-16,2.744329259572153e-16,2.744329259572153e-16,2.744329259572153e-16,4.702571733946992e-16,4.702571733946992e-16,4.2985741161843733e-10
