AvgSa(0.6s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,4.902994265708807e-16,4.902994265708807e-16,4.902994265708807e-16,4.902994265708807e-16,5.134718664184331e-16,5.134718664184331e-16,5.134718664184331e-16,5.663910236796697e-16,5.663910236796697e-16,1.60199381648966e-11
0.0010473708979594498,6.11072029392127e-16,6.11072029392127e-16,6.11072029392127e-16,6.11072029392127e-16,6.399524014183501e-16,6.399524014183501e-16,6.399524014183501e-16,7.057732708412149e-16,7.057732708412149e-16,1.602009619714594e-11
0.001096985797892384,7.615938442290378e-16,7.615938442290378e-16,7.615938442290378e-16,7.615938442290378e-16,7.975881501312338e-16,7.975881501312338e-16,7.975881501312338e-16,8.794887353481355e-16,8.794887353481355e-16,1.602029315655907e-11
0.0011489510001873086,9.491928212530892e-16,9.491928212530892e-16,9.491928212530892e-16,9.491928212530892e-16,9.940533949397608e-16,9.940533949397608e-16,9.940533949397608e-16,1.0959945187129319e-15,1.0959945187129319e-15,1.6020538631837575e-11
0.0012033778407775893,1.183001961932149e-15,1.183001961932149e-15,1.183001961932149e-15,1.183001961932149e-15,1.2389127795199526e-15,1.2389127795199526e-15,1.2389127795199526e-15,1.365830911019484e-15,1.365830911019484e-15,1.602084457361208e-11
0.0012603829296797275,1.4744039468058384e-15,1.4744039468058384e-15,1.4744039468058384e-15,1.4744039468058384e-15,1.5440869505313447e-15,1.5440869505313447e-15,1.5440869505313447e-15,1.7021345306338175e-15,1.7021345306338175e-15,1.6021225876242445e-11
0.001320088400831418,1.8375852858317576e-15,1.8375852858317576e-15,1.8375852858317576e-15,1.8375852858317576e-15,1.9244328981132868e-15,1.9244328981132868e-15,1.9244328981132868e-15,2.121277862631845e-15,2.121277862631845e-15,1.60217011029295e-11
0.0013826221737646563,2.290226969359897e-15,2.290226969359897e-15,2.290226969359897e-15,2.290226969359897e-15,2.3984672482766058e-15,2.3984672482766058e-15,2.3984672482766058e-15,2.6436663310042283e-15,2.6436663310042283e-15,1.6022293389439213e-11
0.001448118227674533,2.854365243139853e-15,2.854365243139853e-15,2.854365243139853e-15,2.854365243139853e-15,2.9892677196983086e-15,2.9892677196983086e-15,2.9892677196983086e-15,3.2947317090160407e-15,3.2947317090160407e-15,1.6023031570436085e-11
0.0015167168884709225,3.557464413023671e-15,3.557464413023671e-15,3.557464413023671e-15,3.557464413023671e-15,3.7255966311197536e-15,3.7255966311197536e-15,3.7255966311197536e-15,4.106170230556154e-15,4.106170230556154e-15,1.602395158325962e-11
0.0015885651294280528,4.433753907404126e-15,4.433753907404126e-15,4.433753907404126e-15,4.433753907404126e-15,4.64330115577995e-15,4.64330115577995e-15,4.64330115577995e-15,5.1174856782457124e-15,5.1174856782457124e-15,1.6025098217484908e-11
0.001663816886076129,5.5258946904581194e-15,5.5258946904581194e-15,5.5258946904581194e-15,5.5258946904581194e-15,5.7870584923701705e-15,5.7870584923701705e-15,5.7870584923701705e-15,6.3779125714554325e-15,6.3779125714554325e-15,1.6026527295442264e-11
0.0017426333860096508,6.887056153261143e-15,6.887056153261143e-15,6.887056153261143e-15,6.887056153261143e-15,7.212550913788031e-15,7.212550913788031e-15,7.212550913788031e-15,7.94881308202889e-15,7.94881308202889e-15,1.602830838985159e-11
0.0018251834943190425,8.58350459339642e-15,8.58350459339642e-15,8.58350459339642e-15,8.58350459339642e-15,8.989176582986058e-15,8.989176582986058e-15,8.989176582986058e-15,9.906664368298885e-15,9.906664368298885e-15,1.603052821087577e-11
0.0019116440753857017,1.0697829299674113e-14,1.0697829299674113e-14,1.0697829299674113e-14,1.0697829299674113e-14,1.1203428108303848e-14,1.1203428108303848e-14,1.1203428108303848e-14,1.23467817616976e-14,1.23467817616976e-14,1.6033294827487216e-11
0.0020022003718155844,1.3332963299514178e-14,1.3332963299514178e-14,1.3332963299514178e-14,1.3332963299514178e-14,1.3963103318662148e-14,1.3963103318662148e-14,1.3963103318662148e-14,1.5387959064244598e-14,1.5387959064244598e-14,1.6036742928659043e-11
