im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,4.250026571194654e-11,1.7090401024266476e-11,1.7089309435384342e-11,1.7089305474441223e-11,1.863683611586284e-11,1.7868378659033244e-11,1.7868196931035298e-11,1.986528144441021e-11,1.9646087232460213e-11,1.0754796521363203e-09
0.001009671904360419,4.5620261213039096e-11,1.775168715124499e-11,1.775046771720753e-11,1.7750463252467526e-11,1.9408245245803998e-11,1.8559692481422168e-11,1.855948886825323e-11,2.064874950706146e-11,2.040614484439843e-11,1.0763400075752957e-09
0.001019437354454795,4.8998083970423076e-11,1.8438567192663977e-11,1.8437205195366543e-11,1.8437200163697236e-11,2.021457568885063e-11,1.927775388473592e-11,1.927752579355281e-11,2.1464073646960664e-11,2.1195608284742828e-11,1.0772337772230288e-09
0.0010292972550485203,5.265610208125372e-11,1.9152032436241652e-11,1.915051149336038e-11,1.915050582383952e-11,2.105767815094303e-11,2.00235978932976e-11,2.0023342429273744e-11,2.231264261543735e-11,2.2015615267551615e-11,1.0781622675218507e-09
0.0010392525196577912,5.661863608568772e-11,1.9893112641961107e-11,1.989141452229426e-11,1.989140813526397e-11,2.193952289104951e-11,2.079829959793487e-11,2.0798013529712598e-11,2.3195914330055745e-11,2.2867347529005926e-11,1.0791268368885067e-09
0.0010493040706342459,6.091212678211351e-11,2.0662877543520628e-11,2.066098196224397e-11,2.0660974768252042e-11,2.286220882531662e-11,2.160297570865619e-11,2.160265542992026e-11,2.411542003690373e-11,2.3752032531216387e-11,1.0801288978709016e-09
0.0010594528392504174,6.556531708990225e-11,2.1462438409244847e-11,2.1460322800941685e-11,2.1460314699556722e-11,2.3827973389661215e-11,2.2438786167678205e-11,2.2438427654423617e-11,2.5072768773132078e-11,2.4670945232022074e-11,1.0811699194028136e-09
0.0010696997657860217,7.060944909713071e-11,2.2292949664896925e-11,2.229058893200061e-11,2.229057981048623e-11,2.4839203225823946e-11,2.330693582516768e-11,2.3306534588188825e-11,2.6069652154013604e-11,2.562540992334163e-11,1.0822514291617838e-09
0.0010800457996150668,7.607847751933801e-11,2.3155610580942903e-11,2.3152976814984046e-11,2.31529665468157e-11,2.5898445761445038e-11,2.4208676180158236e-11,2.4208227212235514e-11,2.7107849510846516e-11,2.6616802140738794e-11,1.0833750160357067e-09
0.001090491899293816,8.200930089058138e-11,2.405166702693229e-11,2.404872919971259e-11,2.4048717642918657e-11,2.7008421760723932e-11,2.5145307189199642e-11,2.5144804906403513e-11,2.8189233408251086e-11,2.764655064696726e-11,1.0845423327040237e-09
0.0011010390326495973,8.844201191030235e-11,2.4982413295778908e-11,2.4979136917295613e-11,2.4979123912602254e-11,2.8172038928720505e-11,2.611817914539955e-11,2.611761732186983e-11,2.931577557182234e-11,2.8716139492367262e-11,1.0857550983397913e-09
0.0011116881768704725,9.542016847937511e-11,2.594919400085469e-11,2.594554074047192e-11,2.5945526109228977e-11,2.9392406659395414e-11,2.7128694630627432e-11,2.712806632611702e-11,3.0489553259722715e-11,2.982711015510164e-11,1.087015101439322e-09
0.001122440318595772,1.0299108707658913e-10,2.6953406048937178e-11,2.6949333315939348e-11,2.694931685780184e-11,3.06728520250966e-11,2.8178310543756514e-11,2.817760802315291e-11,3.1712756114630697e-11,3.098106376432964e-11,1.0883242027865404e-09
0.0011332964540075085,1.1120616025345784e-10,2.7996500692199328e-11,2.799196117146477e-11,2.799194266180176e-11,3.201693711345106e-11,2.926854020794391e-11,2.926775485189827e-11,3.29876935355481e-11,3.217966340954719e-11,1.0896843385596755e-09
0.0011442575889226711,1.2012120016104471e-10,2.9079985662570445e-11,2.907492680066628e-11,2.9074905987665572e-11,3.3428477826530695e-11,3.040095556006263e-11,3.0400077765763556e-11,3.431680261229533e-11,3.342463653943958e-11,1.0910975235884336e-09
0.0011553247388864148,1.29796810168281e-10,3.020542739195781e-11,3.019979082847635e-11,3.019976742990999e-11,3.491156426681688e-11,3.157718942553088e-11,3.157620849655829e-11,3.570265666914487e-11,3.471777745372979e-11,1.0925658547703502e-09
0.001166498929266149,1.4029878678759245e-10,3.1374453321982906e-11,3.136817426041109e-11,3.136814796002267e-11,3.6470582844922155e-11,3.2798937881915754e-11,3.279784190599751e-11,3.7147974467959876e-11,3.606094989164121e-11,1.0940915146556277e-09
0.0011777811953465423,1.516985542913024e-10,3.2588754307056635e-11,3.2581760818888677e-11,3.258173126235899e-11,3.811024025531248e-11,3.406796271482321e-11,3.4066738428193084e-11,3.865563012544621e-11,3.7456089720732727e-11,1.095676775210408e-09
0.001189172582425434,1.640736345820316e-10,3.385008711480644e-11,3.384229936997063e-11,3.38422661604134e-11,3.983558947847603e-11,3.5386093969735246e-11,3.5384726606653744e-11,4.0228663803728895e-11,3.890520773001674e-11,1.0973240017691351e-09
0.0012006741459106851,1.775081550730157e-10,3.5160277028056586e-11,3.5151606444024684e-11,3.515156913695858e-11,4.1652057981171145e-11,3.675523260359965e-11,3.6753705729448204e-11,4.187029323843741e-11,4.0410392531418384e-11,1.0990356571874137e-09
0.001212286951417961,1.92093397540678e-10,3.652122055277565e-11,3.651156885395144e-11,3.651152695168866e-11,4.3565478300642114e-11,3.817735324014249e-11,3.8175648566334944e-11,4.3583926173885434e-11,4.197381357380233e-11,1.1008143062075903e-09
