AvgSa(0.6s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,8.038810637116438e-13,8.038810637116438e-13,8.038810637116438e-13,8.038810637116438e-13,8.265189150906023e-13,8.265189150906023e-13,8.265189150906023e-13,9.121055620605125e-13,9.121055620605125e-13,1.0932011222204525e-11
0.0010473708979594498,9.537362351610666e-13,9.537362351610666e-13,9.537362351610666e-13,9.537362351610666e-13,9.80594112676695e-13,9.80594112676695e-13,9.80594112676695e-13,1.082135348082345e-12,1.082135348082345e-12,1.112516795336032e-11
0.001096985797892384,1.1315265992948752e-12,1.1315265992948752e-12,1.1315265992948752e-12,1.1315265992948752e-12,1.1633911774551036e-12,1.1633911774551036e-12,1.1633911774551036e-12,1.2838611696074064e-12,1.2838611696074064e-12,1.1354331920375447e-11
0.0011489510001873086,1.3424596840399462e-12,1.3424596840399462e-12,1.3424596840399462e-12,1.3424596840399462e-12,1.3802642849708426e-12,1.3802642849708426e-12,1.3802642849708426e-12,1.5231916305934036e-12,1.5231916305934036e-12,1.1626215397921692e-11
0.0012033778407775893,1.592713776587874e-12,1.592713776587874e-12,1.592713776587874e-12,1.592713776587874e-12,1.6375657072915438e-12,1.6375657072915438e-12,1.6375657072915438e-12,1.807136785074551e-12,1.807136785074551e-12,1.1948781926706558e-11
0.0012603829296797275,1.889618887100372e-12,1.889618887100372e-12,1.889618887100372e-12,1.889618887100372e-12,1.9428318727770046e-12,1.9428318727770046e-12,1.9428318727770046e-12,2.144013463543102e-12,2.144013463543102e-12,1.2331479567737729e-11
0.001320088400831418,2.2418714466925826e-12,2.2418714466925826e-12,2.2418714466925826e-12,2.2418714466925826e-12,2.3050041101074374e-12,2.3050041101074374e-12,2.3050041101074374e-12,2.5436888751674623e-12,2.5436888751674623e-12,1.2785517638589429e-11
0.0013826221737646563,2.659789028256148e-12,2.659789028256148e-12,2.659789028256148e-12,2.659789028256148e-12,2.7346905422225614e-12,2.7346905422225614e-12,2.7346905422225614e-12,3.017869621021584e-12,3.017869621021584e-12,1.3324195037350574e-11
0.001448118227674533,3.155612550964112e-12,3.155612550964112e-12,3.155612550964112e-12,3.155612550964112e-12,3.2444768011161143e-12,3.2444768011161143e-12,3.2444768011161143e-12,3.5804445836015946e-12,3.5804445836015946e-12,1.3963289770952295e-11
0.0015167168884709225,3.7438648201094826e-12,3.7438648201094826e-12,3.7438648201094826e-12,3.7438648201094826e-12,3.84929466440632e-12,3.84929466440632e-12,3.84929466440632e-12,4.247891735956513e-12,4.247891735956513e-12,1.4721521097265113e-11
0.0015885651294280528,4.441775904006182e-12,4.441775904006182e-12,4.441775904006182e-12,4.441775904006182e-12,4.566859411147015e-12,4.566859411147015e-12,4.566859411147015e-12,5.039760785982382e-12,5.039760785982382e-12,1.5621097817232577e-11
0.001663816886076129,5.269787807357392e-12,5.269787807357392e-12,5.269787807357392e-12,5.269787807357392e-12,5.418188707150013e-12,5.418188707150013e-12,5.418188707150013e-12,5.9792457926623296e-12,5.9792457926623296e-12,1.6688368776667036e-11
0.0017426333860096508,6.252153223110891e-12,6.252153223110891e-12,6.252153223110891e-12,6.252153223110891e-12,6.428218218110249e-12,6.428218218110249e-12,6.428218218110249e-12,7.0938645263372655e-12,7.0938645263372655e-12,1.795459463108112e-11
0.0018251834943190425,7.41764590040496e-12,7.41764590040496e-12,7.41764590040496e-12,7.41764590040496e-12,7.626531982008445e-12,7.626531982008445e-12,7.626531982008445e-12,8.416264471653056e-12,8.416264471653056e-12,1.9456863478755448e-11
0.0019116440753857017,8.800403435475251e-12,8.800403435475251e-12,8.800403435475251e-12,8.800403435475251e-12,9.048228933597683e-12,9.048228933597683e-12,9.048228933597683e-12,9.985179081229753e-12,9.985179081229753e-12,2.1239177181184135e-11
0.0020022003718155844,1.0440927171095646e-11,1.0440927171095646e-11,1.0440927171095646e-11,1.0440927171095646e-11,1.073495096170982e-11,1.073495096170982e-11,1.073495096170982e-11,1.184656228898084e-11,1.184656228898084e-11,2.3353740189517e-11
0.002097046401323233,1.2387268491879463e-11,1.2387268491879463e-11,1.2387268491879463e-11,1.2387268491879463e-11,1.2736102611459712e-11,1.2736102611459712e-11,1.2736102611459712e-11,1.4054934513285944e-11,1.4054934513285944e-11,2.5862488627075273e-11
0.002196385372416547,1.4696436262350825e-11,1.4696436262350825e-11,1.4696436262350825e-11,1.4696436262350825e-11,1.5110298156754178e-11,1.5110298156754178e-11,1.5110298156754178e-11,1.667497957481345e-11,1.667497957481345e-11,2.8838904415180653e-11
0.002300430119772917,1.7436066632029164e-11,1.7436066632029164e-11,1.7436066632029164e-11,1.7436066632029164e-11,1.7927078428252208e-11,1.7927078428252208e-11,1.7927078428252208e-11,1.9783439303149442e-11,1.9783439303149442e-11,3.2370167578535465e-11
0.0024094035602395245,2.068640411657034e-11,2.068640411657034e-11,2.068640411657034e-11,2.068640411657034e-11,2.1268947683132577e-11,2.1268947683132577e-11,2.1268947683132577e-11,2.3471361325774442e-11,2.3471361325774442e-11,3.6559709771761826e-11
0.0025235391704347657,2.454265198136585e-11,2.454265198136585e-11,2.454265198136585e-11,2.454265198136585e-11,2.5233790177134318e-11,2.5233790177134318e-11,2.5233790177134318e-11,2.7846765877734036e-11,2.7846765877734036e-11,4.153024382058146e-11
0.0026430814869741054,2.9117760770975026e-11,2.9117760770975026e-11,2.9117760770975026e-11,2.9117760770975026e-11,2.993773722092243e-11,2.993773722092243e-11,2.993773722092243e-11,3.3037809743583974e-11,3.3037809743583974e-11,4.742735801372134e-11
