AvgSa(0.8s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.5326204717215004e-13,2.5326204717215004e-13,2.5326204717215004e-13,2.5326204717215004e-13,2.6270906672354555e-13,2.6270906672354555e-13,2.6270906672354555e-13,7.963306571543937e-12,7.963306571543937e-12,3.5393940299258937e-07
0.0010473708979594498,3.026858156430715e-13,3.026858156430715e-13,3.026858156430715e-13,3.026858156430715e-13,3.1397640897772736e-13,3.1397640897772736e-13,3.1397640897772736e-13,8.019360449346367e-12,8.019360449346367e-12,3.5393946575242246e-07
0.001096985797892384,3.6175457007671905e-13,3.6175457007671905e-13,3.6175457007671905e-13,3.6175457007671905e-13,3.752485082888052e-13,3.752485082888052e-13,3.752485082888052e-13,8.086353170569424e-12,8.086353170569424e-12,3.539395407597577e-07
0.0011489510001873086,4.323505172958194e-13,4.323505172958194e-13,4.323505172958194e-13,4.323505172958194e-13,4.484777803539076e-13,4.484777803539076e-13,4.484777803539076e-13,8.16641943668376e-12,8.16641943668376e-12,3.539396304046796e-07
0.0012033778407775893,5.16723174406116e-13,5.16723174406116e-13,5.16723174406116e-13,5.16723174406116e-13,5.359976523263006e-13,5.359976523263006e-13,5.359976523263006e-13,8.26211053345452e-12,8.26211053345452e-12,3.539397375436948e-07
0.0012603829296797275,6.175610489339174e-13,6.175610489339174e-13,6.175610489339174e-13,6.175610489339174e-13,6.405969167195554e-13,6.405969167195554e-13,6.405969167195554e-13,8.376475626839966e-12,8.376475626839966e-12,3.5393986559075333e-07
0.001320088400831418,7.380773072519661e-13,7.380773072519661e-13,7.380773072519661e-13,7.380773072519661e-13,7.656085953822168e-13,7.656085953822168e-13,7.656085953822168e-13,8.513158923682046e-12,8.513158923682046e-12,3.539400186260336e-07
0.0013826221737646563,8.821121610903131e-13,8.821121610903131e-13,8.821121610903131e-13,8.821121610903131e-13,9.150161451647843e-13,9.150161451647843e-13,9.150161451647843e-13,8.676515793182892e-12,8.676515793182892e-12,3.539402015259554e-07
0.001448118227674533,1.0542552346454462e-12,1.0542552346454462e-12,1.0542552346454462e-12,1.0542552346454462e-12,1.0935803894884387e-12,1.0935803894884387e-12,1.0935803894884387e-12,8.87175154934077e-12,8.87175154934077e-12,3.539404201185658e-07
0.0015167168884709225,1.2599918114761073e-12,1.2599918114761073e-12,1.2599918114761073e-12,1.2599918114761073e-12,1.3069912204489768e-12,1.3069912204489768e-12,1.3069912204489768e-12,9.105087316603e-12,9.105087316603e-12,3.5394068136924796e-07
0.0015885651294280528,1.5058776212960414e-12,1.5058776212960414e-12,1.5058776212960414e-12,1.5058776212960414e-12,1.56204890539465e-12,1.56204890539465e-12,1.56204890539465e-12,9.383958263991463e-12,9.383958263991463e-12,3.5394099360267057e-07
0.001663816886076129,1.7997477361884421e-12,1.7997477361884421e-12,1.7997477361884421e-12,1.7997477361884421e-12,1.866880775253521e-12,1.866880775253521e-12,1.866880775253521e-12,9.717250524367158e-12,9.717250524367158e-12,3.53941366768051e-07
0.0017426333860096508,2.150966232652769e-12,2.150966232652769e-12,2.150966232652769e-12,2.150966232652769e-12,2.231200199314181e-12,2.231200199314181e-12,2.231200199314181e-12,1.0115584348189969e-11,1.0115584348189969e-11,3.539418127561839e-07
0.0018251834943190425,2.570724574884346e-12,2.570724574884346e-12,2.570724574884346e-12,2.570724574884346e-12,2.666616098607497e-12,2.666616098607497e-12,2.666616098607497e-12,1.0591652514376638e-11,1.0591652514376638e-11,3.539423457783374e-07
0.0019116440753857017,3.072398227174141e-12,3.072398227174141e-12,3.072398227174141e-12,3.072398227174141e-12,3.187002860433915e-12,3.187002860433915e-12,3.187002860433915e-12,1.1160624781610292e-11,1.1160624781610292e-11,3.539429828190906e-07
0.0020022003718155844,3.671972858767464e-12,3.671972858767464e-12,3.671972858767464e-12,3.671972858767464e-12,3.808942441243052e-12,3.808942441243052e-12,3.808942441243052e-12,1.1840631267811652e-11,1.1840631267811652e-11,3.539437441775418e-07
0.002097046401323233,4.388553722062521e-12,4.388553722062521e-12,4.388553722062521e-12,4.388553722062521e-12,4.55225274533184e-12,4.55225274533184e-12,4.55225274533184e-12,1.2653340160503485e-11,1.2653340160503485e-11,3.539446541141326e-07
0.002196385372416547,5.244974435320491e-12,5.244974435320491e-12,5.244974435320491e-12,5.244974435320491e-12,5.440619115977664e-12,5.440619115977664e-12,5.440619115977664e-12,1.3624648166622392e-11,1.3624648166622392e-11,3.539457416236993e-07
0.002300430119772917,6.268524568552383e-12,6.268524568552383e-12,6.268524568552383e-12,6.268524568552383e-12,6.502349061268357e-12,6.502349061268357e-12,6.502349061268357e-12,1.4785505702739097e-11,1.4785505702739097e-11,3.5394704135938367e-07
0.0024094035602395245,7.491819216872103e-12,7.491819216872103e-12,7.491819216872103e-12,7.491819216872103e-12,7.771274263724007e-12,7.771274263724007e-12,7.771274263724007e-12,1.6172903120107255e-11,1.6172903120107255e-11,3.5394859473684444e-07
0.0025235391704347657,8.953838269990619e-12,8.953838269990619e-12,8.953838269990619e-12,8.953838269990619e-12,9.287828615956708e-12,9.287828615956708e-12,9.287828615956708e-12,1.7831049390284334e-11,1.7831049390284334e-11,3.539504512539537e-07
0.0026430814869741054,1.0701168493838519e-11,1.0701168493838519e-11,1.0701168493838519e-11,1.0701168493838519e-11,1.1100336633626947e-11,1.1100336633626947e-11,1.1100336633626947e-11,1.9812780809761924e-11,1.9812780809761924e-11,3.5395267006803095e-07
0.0027682866303920667,1.2789488002847684e-11,1.2789488002847684e-11,1.2789488002847684e-11,1.2789488002847684e-11,1.3266553300560318e-11,1.3266553300560318e-11,1.3266553300560318e-11,2.2181244611524444e-11,2.2181244611524444e-11,3.539553218808715e-07
0.002899422853882875,1.528534042512249e-11,1.528534042512249e-11,1.528534042512249e-11,1.528534042512249e-11,1.585550441269259e-11,1.585550441269259e-11,1.585550441269259e-11,2.5011911131275655e-11,2.5011911131275655e-11,3.5395849119163687e-07
0.0030367711180354575,1.8268255293702877e-11,1.8268255293702877e-11,1.8268255293702877e-11,1.8268255293702877e-11,1.8949686062810677e-11,1.8949686062810677e-11,1.8949686062810677e-11,2.839497864536231e-11,2.839497864536231e-11,3.539622789893932e-07
0.0031806256927941192,2.1833282229501502e-11,2.1833282229501502e-11,2.1833282229501502e-11,2.1833282229501502e-11,2.264769335195999e-11,2.264769335195999e-11,2.264769335195999e-11,3.243824750977797e-11,3.243824750977797e-11,3.539668059710952e-07
0.0033312947879346735,2.6094019666839955e-11,2.6094019666839955e-11,2.6094019666839955e-11,2.6094019666839955e-11,2.7067362090562305e-11,2.7067362090562305e-11,2.7067362090562305e-11,3.7270555183762905e-11,3.7270555183762905e-11,3.539722163875557e-07
0.0034891012134067737,3.1186234630944363e-11,3.1186234630944363e-11,3.1186234630944363e-11,3.1186234630944363e-11,3.234952359853497e-11,3.234952359853497e-11,3.234952359853497e-11,4.30458815939167e-11,4.30458815939167e-11,3.5397868263995164e-07
0.0036543830709572546,3.7272188910445673e-11,3.7272188910445673e-11,3.7272188910445673e-11,3.7272188910445673e-11,3.866249224990921e-11,3.866249224990921e-11,3.866249224990921e-11,4.9948255654930325e-11,4.9948255654930325e-11,3.5398641077333135e-07
0.003827494478516311,4.454580947697554e-11,4.454580947697554e-11,4.454580947697554e-11,4.454580947697554e-11,4.6207428756108824e-11,4.6207428756108824e-11,4.6207428756108824e-11,5.819761929163759e-11,5.819761929163759e-11,3.5399564704217436e-07
0.004008806328898464,5.323886790561097e-11,5.323886790561097e-11,5.323886790561097e-11,5.323886790561097e-11,5.522475008718147e-11,5.522475008718147e-11,5.522475008718147e-11,6.80568358175576e-11,6.80568358175576e-11,3.5400668575721037e-07
0.00419870708444391,6.362836570140864e-11,6.362836570140864e-11,6.362836570140864e-11,6.362836570140864e-11,6.600179028105694e-11,6.600179028105694e-11,6.600179028105694e-11,7.984006598965192e-11,7.984006598965192e-11,3.540198786635363e-07
0.004397603609302721,7.604536086307938e-11,7.604536086307938e-11,7.604536086307938e-11,7.604536086307938e-11,7.888195625005072e-11,7.888195625005072e-11,7.888195625005072e-11,9.392277863958198e-11,9.392277863958198e-11,3.5403564614886005e-07
0.004605922041145104,9.088551693940311e-11,9.088551693940311e-11,9.088551693940311e-11,9.088551693940311e-11,9.427567033142981e-11,9.427567033142981e-11,9.427567033142981e-11,1.1075371486699822e-10,1.1075371486699822e-10,3.540544906390195e-07
0.004824108704165369,1.0862171072067395e-10,1.0862171072067395e-10,1.0862171072067395e-10,1.0862171072067395e-10,1.1267344826289482e-10,1.1267344826289482e-10,1.1267344826289482e-10,1.3086918703003163e-10,1.3086918703003163e-10,3.540770126076198e-07
0.00505263106533568,1.2981910030518422e-10,1.2981910030518422e-10,1.2981910030518422e-10,1.2981910030518422e-10,1.346615293084358e-10,1.346615293084358e-10,1.346615293084358e-10,1.5491016816569286e-10,1.5491016816569286e-10,3.5410392970993123e-07
0.005291978735958442,1.5515313367984177e-10,1.5515313367984177e-10,1.5515313367984177e-10,1.5515313367984177e-10,1.60940556583497e-10,1.60940556583497e-10,1.60940556583497e-10,1.8364271638906527e-10,1.8364271638906527e-10,3.5413609965074297e-07
0.005542664520663107,1.8543107165251582e-10,1.8543107165251582e-10,1.8543107165251582e-10,1.8543107165251582e-10,1.9234790282196845e-10,1.9234790282196845e-10,1.9234790282196845e-10,2.1798238508816373e-10,2.1798238508816373e-10,3.541745475148499e-07
0.005805225516094896,2.2161771095742032e-10,2.2161771095742032e-10,2.2161771095742032e-10,2.2161771095742032e-10,2.2988435298838063e-10,2.2988435298838063e-10,2.2988435298838063e-10,2.5902339673745775e-10,2.5902339673745775e-10,3.542204984310487e-07
0.006080224261649427,2.6486612719197883e-10,2.6486612719197883e-10,2.6486612719197883e-10,2.6486612719197883e-10,2.7474599396811995e-10,2.7474599396811995e-10,2.7474599396811995e-10,3.0807350994420013e-10,3.0807350994420013e-10,3.5427541661047233e-07
0.006368249944718587,3.1655441719892145e-10,3.1655441719892134e-10,3.1655441719892134e-10,3.1655441719892134e-10,3.2836232749034e-10,3.2836232749034e-10,3.2836232749034e-10,3.666956907547259e-10,3.666956907547259e-10,3.543410520032051e-07
0.006669919663030122,3.7832961167777705e-10,3.783296116777767e-10,3.783296116777767e-10,3.783296116777767e-10,3.924418207395736e-10,3.924418207395736e-10,3.924418207395736e-10,4.367579160634627e-10,4.367579160634627e-10,3.5441949605987823e-07
0.0069858797467852495,4.5216015728691724e-10,4.52160157286916e-10,4.52160157286916e-10,4.52160157286916e-10,4.690263461115414e-10,4.690263461115414e-10,4.690263461115414e-10,5.204926960941582e-10,5.204926960941582e-10,3.545132483750691e-07
0.007316807143427192,5.403986405613759e-10,5.403986405613717e-10,5.403986405613717e-10,5.403986405613717e-10,5.605562448183868e-10,5.605562448183868e-10,5.605562448183868e-10,6.205682126179516e-10,6.205682126179516e-10,3.5462529633607623e-07
0.007663410868007463,6.458567523238254e-10,6.458567523238106e-10,6.458567523238106e-10,6.458567523238106e-10,6.699480875740955e-10,6.699480875740955e-10,6.699480875740955e-10,7.401733397046161e-10,7.401733397046161e-10,3.5475921031505155e-07
0.008026433522257174,7.718948813053663e-10,7.71894881305316e-10,7.71894881305316e-10,7.71894881305316e-10,8.006876101791287e-10,8.006876101791287e-10,8.006876101791287e-10,8.831192561656334e-10,8.831192561656334e-10,3.549192574377563e-07
0.008406652885618326,9.225291918479087e-10,9.225291918477395e-10,9.225291918477395e-10,9.225291918477395e-10,9.56940785366626e-10,9.56940785366626e-10,9.56940785366626e-10,1.0539608875367295e-09,1.0539608875367295e-09,3.5511053755414616e-07
0.008804883581643464,1.1025595976844343e-09,1.1025595976838749e-09,1.1025595976838749e-09,1.1025595976838749e-09,1.1436865701785166e-09,1.1436865701785166e-09,1.1436865701785166e-09,1.2581420473092205e-09,1.2581420473092205e-09,3.5533914574344227e-07
0.009221978823334321,1.3177227096402051e-09,1.3177227096383828e-09,1.3177227096383828e-09,1.3177227096383828e-09,1.3668755588235442e-09,1.3668755588235442e-09,1.3668755588235442e-09,1.502168902288307e-09,1.502168902288307e-09,3.556123665318615e-07
0.009658832241158708,1.5748746308842506e-09,1.5748746308784016e-09,1.5748746308784016e-09,1.5748746308784016e-09,1.633619596439105e-09,1.633619596439105e-09,1.633619596439105e-09,1.7938172894956976e-09,1.7938172894956976e-09,3.559389060116894e-07
0.01011637979766207,1.8822094244432496e-09,1.8822094244247555e-09,1.8822094244247555e-09,1.8822094244247555e-09,1.9524183957374213e-09,1.9524183957374213e-09,1.9524183957374213e-09,2.1423804907018108e-09,2.1423804907018108e-09,3.5632916925809413e-07
0.010595601792776159,2.249520214377739e-09,2.24952021432013e-09,2.24952021432013e-09,2.24952021432013e-09,2.3334303776019256e-09,2.3334303776019256e-09,2.3334303776019256e-09,2.5589653598425055e-09,2.5589653598425055e-09,3.567955918834789e-07
