AvgSa(0.8s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.0153021381969064e-10,1.0153021381968884e-10,1.0153021381968884e-10,1.0153021381968884e-10,1.0620018998343737e-10,1.0620018998343737e-10,1.0620018998343737e-10,1.177507235320367e-10,1.177507235320367e-10,1.3484602551558726e-10
0.0010473708979594498,1.186363236781321e-10,1.1863632367812752e-10,1.1863632367812752e-10,1.1863632367812752e-10,1.2409311119859526e-10,1.2409311119859526e-10,1.2409311119859526e-10,1.3758971270415321e-10,1.3758971270415321e-10,1.57565147030075e-10
0.001096985797892384,1.3862452137466781e-10,1.3862452137465629e-10,1.3862452137465629e-10,1.3862452137465629e-10,1.4500068454964246e-10,1.4500068454964246e-10,1.4500068454964246e-10,1.6077123328076677e-10,1.6077123328076677e-10,1.841120531399695e-10
0.0011489510001873086,1.6198038956793813e-10,1.6198038956790933e-10,1.6198038956790933e-10,1.6198038956790933e-10,1.694308275190438e-10,1.694308275190438e-10,1.694308275190438e-10,1.8785844481044098e-10,1.8785844481044098e-10,2.1513166028244934e-10
0.0012033778407775893,1.8927132331491917e-10,1.8927132331484793e-10,1.8927132331484793e-10,1.8927132331484793e-10,1.979770330245713e-10,1.979770330245713e-10,1.979770330245713e-10,2.1950938962324032e-10,2.1950938962324032e-10,2.5137754231786685e-10
0.0012603829296797275,2.2116031406504654e-10,2.2116031406487164e-10,2.2116031406487164e-10,2.2116031406487164e-10,2.313327874209808e-10,2.313327874209808e-10,2.313327874209808e-10,2.564929789615329e-10,2.564929789615329e-10,2.9373023745278856e-10
0.001320088400831418,2.584220560223307e-10,2.5842205602190495e-10,2.5842205602190495e-10,2.5842205602190495e-10,2.7030841768912627e-10,2.7030841768912627e-10,2.7030841768912627e-10,2.997076725012491e-10,2.997076725012491e-10,3.4321863956740777e-10
0.0013826221737646563,3.019617661548803e-10,3.0196176615385245e-10,3.0196176615385245e-10,3.0196176615385245e-10,3.1585077708916477e-10,3.1585077708916477e-10,3.1585077708916477e-10,3.5020330505394973e-10,3.5020330505394973e-10,4.0104499361685756e-10
0.001448118227674533,3.5283717505518114e-10,3.528371750527198e-10,3.528371750527198e-10,3.528371750527198e-10,3.690662475106358e-10,3.690662475106358e-10,3.690662475106358e-10,4.092065906959882e-10,4.092065906959882e-10,4.686141023314016e-10
0.0015167168884709225,4.12284222885526e-10,4.1228422287968075e-10,4.1228422287968075e-10,4.1228422287968075e-10,4.312476173262953e-10,4.3124761732629525e-10,4.3124761732629525e-10,4.781509239085387e-10,4.781509239085387e-10,5.475674537475636e-10
0.0015885651294280528,4.817470846524603e-10,4.817470846386928e-10,4.817470846386928e-10,4.817470846386928e-10,5.039054877059682e-10,5.039054877059681e-10,5.039054877059681e-10,5.587112017015103e-10,5.587112017015103e-10,6.398230986462541e-10
0.001663816886076129,5.629132542288708e-10,5.629132541967102e-10,5.629132541967102e-10,5.629132541967102e-10,5.888049703587257e-10,5.888049703587254e-10,5.888049703587254e-10,6.528445126715212e-10,6.528445126715212e-10,7.476222466591814e-10
0.0017426333860096508,6.577545394375225e-10,6.577545393630134e-10,6.577545393630134e-10,6.577545393630134e-10,6.880085682188054e-10,6.880085682188047e-10,6.880085682188047e-10,7.628376814722556e-10,7.628376814722556e-10,8.735837130245511e-10
0.0018251834943190425,7.68574964111474e-10,7.685749639402701e-10,7.685749639402701e-10,7.685749639402701e-10,8.039262807958131e-10,8.039262807958112e-10,8.039262807958112e-10,8.913628237172246e-10,8.913628237172246e-10,1.0207675386925076e-09
0.0019116440753857017,8.980667408444499e-10,8.980667404542957e-10,8.980667404542957e-10,8.980667404542957e-10,9.39374151421944e-10,9.393741514219393e-10,9.393741514219393e-10,1.041542260936196e-09,1.041542260936196e-09,1.1927493293333176e-09
0.0020022003718155844,1.0493756742159893e-09,1.0493756733341714e-09,1.0493756733341714e-09,1.0493756733341714e-09,1.0976426787118396e-09,1.0976426787118278e-09,1.0976426787118278e-09,1.2170243725946321e-09,1.217024372594632e-09,1.3937071192004984e-09
0.002097046401323233,1.2261775833894482e-09,1.2261775814127417e-09,1.2261775814127417e-09,1.2261775814127417e-09,1.2825767541866365e-09,1.282576754186607e-09,1.282576754186607e-09,1.422072227884664e-09,1.4220722278846635e-09,1.6285228700732626e-09
0.002196385372416547,1.4327676007096571e-09,1.4327675963149801e-09,1.43276759631498e-09,1.43276759631498e-09,1.4986690680242323e-09,1.49866906802416e-09,1.49866906802416e-09,1.6616671504610662e-09,1.6616671504610645e-09,1.9029010710394196e-09
