AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.6344719076118304e-19,1.6344719076118304e-19,1.6344719076118304e-19,1.6344719076118304e-19,1.7083740912652137e-19,1.7083740912652137e-19,1.7083740912652137e-19,1.913772725496045e-19,1.913772725496045e-19,2.2304698815954454e-19
0.0010473708979594498,2.1113992050603586e-19,2.1113992050603586e-19,2.1113992050603586e-19,2.1113992050603586e-19,2.2068655211783073e-19,2.2068655211783073e-19,2.2068655211783073e-19,2.4721980184918407e-19,2.4721980184918407e-19,2.8813051561055835e-19
0.001096985797892384,2.7274905015915473e-19,2.7274905015915473e-19,2.7274905015915473e-19,2.7274905015915473e-19,2.850813210916048e-19,2.850813210916048e-19,2.850813210916048e-19,3.193567847013175e-19,3.193567847013175e-19,3.72204954261128e-19
0.0011489510001873086,3.523352864035671e-19,3.523352864035671e-19,3.523352864035671e-19,3.523352864035671e-19,3.682660264316469e-19,3.682660264316469e-19,3.682660264316469e-19,4.125428269576113e-19,4.125428269576113e-19,4.808117171586764e-19
0.0012033778407775893,4.551442213003019e-19,4.551442213003019e-19,4.551442213003019e-19,4.551442213003019e-19,4.757234381560126e-19,4.757234381560126e-19,4.757234381560126e-19,5.329198946981945e-19,5.329198946981945e-19,6.21109162332346e-19
0.0012603829296797275,5.879520734286562e-19,5.879520734286562e-19,5.879520734286562e-19,5.879520734286562e-19,6.145361596448575e-19,6.145361596448575e-19,6.145361596448575e-19,6.884221360957369e-19,6.884221360957369e-19,8.02344405857881e-19
0.001320088400831418,7.595123138363992e-19,7.595123138363992e-19,7.595123138363992e-19,7.595123138363992e-19,7.938534476562859e-19,7.938534476562859e-19,7.938534476562859e-19,8.892988274251159e-19,8.892988274251159e-19,1.0364628066249268e-18
0.0013826221737646563,9.811326142710073e-19,9.811326142710073e-19,9.811326142710073e-19,9.811326142710073e-19,1.0254942471081988e-18,1.0254942471081988e-18,1.0254942471081988e-18,1.148789911005562e-18,1.148789911005562e-18,1.3388952944318221e-18
0.001448118227674533,1.2674201448083596e-18,1.2674201448083596e-18,1.2674201448083596e-18,1.2674201448083596e-18,1.324726187127852e-18,1.324726187127852e-18,1.324726187127852e-18,1.4839986503179042e-18,1.4839986503179042e-18,1.729575434828307e-18
0.0015167168884709225,1.6372443440376125e-18,1.6372443440376125e-18,1.6372443440376125e-18,1.6372443440376125e-18,1.7112718826175326e-18,1.7112718826175326e-18,1.7112718826175326e-18,1.9170189196888756e-18,1.9170189196888756e-18,2.234253266257823e-18
0.0015885651294280528,2.1149806187501358e-18,2.1149806187501358e-18,2.1149806187501358e-18,2.1149806187501358e-18,2.2106088674721312e-18,2.2106088674721312e-18,2.2106088674721312e-18,2.476391429101282e-18,2.476391429101282e-18,2.8861925055493887e-18
0.001663816886076129,2.7321169463669757e-18,2.7321169463669757e-18,2.7321169463669757e-18,2.7321169463669757e-18,2.8556488390796176e-18,2.8556488390796176e-18,2.8556488390796176e-18,3.1989848650640785e-18,3.1989848650640785e-18,3.728362985921258e-18
0.0017426333860096508,3.529329272547611e-18,3.529329272547611e-18,3.529329272547611e-18,3.529329272547611e-18,3.688906894443954e-18,3.688906894443954e-18,3.688906894443954e-18,4.132425935032037e-18,4.132425935032037e-18,4.816272832827506e-18
0.0018251834943190425,4.559162495084561e-18,4.559162495084561e-18,4.559162495084561e-18,4.559162495084561e-18,4.765303734005978e-18,4.765303734005978e-18,4.765303734005978e-18,5.338238481532514e-18,5.338238481532514e-18,6.221627048606762e-18
