im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,7.37397072195841e-19,7.37397072195841e-19,7.37397072195841e-19,7.37397072195841e-19,7.839681630904105e-19,7.839681630904105e-19,7.839681630904105e-19,7.841271614805569e-13,7.841271614805569e-13,6.642372647821937e-08
0.001009671904360419,7.780316982875203e-19,7.780316982875203e-19,7.780316982875203e-19,7.780316982875203e-19,8.271216831459954e-19,8.271216831459954e-19,8.271216831459954e-19,7.841272088485613e-13,7.841272088485613e-13,6.642372647827274e-08
0.001019437354454795,8.20905515311555e-19,8.20905515311555e-19,8.20905515311555e-19,8.20905515311555e-19,8.726531990170131e-19,8.726531990170131e-19,8.726531990170131e-19,7.841272588268026e-13,7.841272588268026e-13,6.642372647832907e-08
0.0010292972550485203,8.661419149787663e-19,8.661419149787663e-19,8.661419149787663e-19,8.661419149787663e-19,9.206937513252126e-19,9.206937513252126e-19,9.206937513252126e-19,7.841273115591193e-13,7.841273115591193e-13,6.64237264783885e-08
0.0010392525196577912,9.138710885604943e-19,9.138710885604943e-19,9.138710885604943e-19,9.138710885604943e-19,9.713816017498374e-19,9.713816017498374e-19,9.713816017498374e-19,7.841273671972761e-13,7.841273671972761e-13,6.64237264784512e-08
0.0010493040706342459,9.642304015817283e-19,9.642304015817283e-19,9.642304015817283e-19,9.642304015817283e-19,1.0248626309475515e-18,1.0248626309475515e-18,1.0248626309475515e-18,7.841274259014008e-13,7.841274259014008e-13,6.642372647851735e-08
0.0010594528392504174,1.0173647891618465e-18,1.0173647891618465e-18,1.0173647891618465e-18,1.0173647891618465e-18,1.0812907583999011e-18,1.0812907583999011e-18,1.0812907583999011e-18,7.841274878404449e-13,7.841274878404449e-13,6.642372647858717e-08
0.0010696997657860217,1.073427173140844e-18,1.073427173140844e-18,1.073427173140844e-18,1.073427173140844e-18,1.1408283853967193e-18,1.1408283853967193e-18,1.1408283853967193e-18,7.841275531926704e-13,7.841275531926704e-13,6.64237264786608e-08
0.0010800457996150668,1.132578902191434e-18,1.132578902191434e-18,1.132578902191434e-18,1.132578902191434e-18,1.2036468624302718e-18,1.2036468624302718e-18,1.2036468624302718e-18,7.841276221461621e-13,7.841276221461621e-13,6.642372647873852e-08
0.001090491899293816,1.1949902161838103e-18,1.1949902161838103e-18,1.1949902161838103e-18,1.1949902161838103e-18,1.2699269823454622e-18,1.2699269823454622e-18,1.2699269823454622e-18,7.841276948993698e-13,7.841276948993698e-13,6.642372647882051e-08
0.0011010390326495973,1.2608407361394165e-18,1.2608407361394165e-18,1.2608407361394165e-18,1.2608407361394165e-18,1.339859500665271e-18,1.339859500665271e-18,1.339859500665271e-18,7.841277716616785e-13,7.841277716616785e-13,6.642372647890701e-08
0.0011116881768704725,1.330319981183905e-18,1.330319981183905e-18,1.330319981183905e-18,1.330319981183905e-18,1.4136456845890398e-18,1.4136456845890398e-18,1.4136456845890398e-18,7.841278526540117e-13,7.841278526540117e-13,6.64237264789983e-08
0.001122440318595772,1.403627913986954e-18,1.403627913986954e-18,1.403627913986954e-18,1.403627913986954e-18,1.4914978922434775e-18,1.4914978922434775e-18,1.4914978922434775e-18,7.841279381094671e-13,7.841279381094671e-13,6.642372647909459e-08
0.0011332964540075085,1.4809755162589035e-18,1.4809755162589035e-18,1.4809755162589035e-18,1.4809755162589035e-18,1.5736401838536728e-18,1.5736401838536728e-18,1.5736401838536728e-18,7.841280282739871e-13,7.841280282739871e-13,6.642372647919621e-08
0.0011442575889226711,1.5625853959603652e-18,1.5625853959603652e-18,1.5625853959603652e-18,1.5625853959603652e-18,1.6603089665929347e-18,1.6603089665929347e-18,1.6603089665929347e-18,7.84128123407067e-13,7.84128123407067e-13,6.642372647930343e-08
0.0011553247388864148,1.6486924279724271e-18,1.6486924279724271e-18,1.6486924279724271e-18,1.6486924279724271e-18,1.7517536749674088e-18,1.7517536749674088e-18,1.7517536749674088e-18,7.841282237825018e-13,7.841282237825018e-13,6.642372647941654e-08
0.001166498929266149,1.739544430071305e-18,1.739544430071305e-18,1.739544430071305e-18,1.739544430071305e-18,1.8482374886936234e-18,1.8482374886936234e-18,1.8482374886936234e-18,7.841283296891741e-13,7.841283296891741e-13,6.64237264795359e-08
0.0011777811953465423,1.835402876152887e-18,1.835402876152887e-18,1.835402876152887e-18,1.835402876152887e-18,1.9500380901350086e-18,1.9500380901350086e-18,1.9500380901350086e-18,7.841284414318852e-13,7.841284414318852e-13,6.642372647966183e-08
0.001189172582425434,1.936543648759939e-18,1.936543648759939e-18,1.936543648759939e-18,1.936543648759939e-18,2.0574484634774004e-18,2.0574484634774004e-18,2.0574484634774004e-18,7.841285593322331e-13,7.841285593322331e-13,6.642372647979469e-08
0.0012006741459106851,2.0432578330775542e-18,2.0432578330775542e-18,2.0432578330775542e-18,2.0432578330775542e-18,2.1707777379433605e-18,2.1707777379433605e-18,2.1707777379433605e-18,7.841286837295372e-13,7.841286837295372e-13,6.642372647993489e-08
