im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,6.243112678065668e-17,6.243112678065668e-17,6.243112678065668e-17,6.243112678065668e-17,1.1540859302585755e-13,1.1540859302585755e-13,1.1540859302585755e-13,2.7826034646213345e-08,2.7826034646213345e-08,2.7606374180340676e-05
0.001009671904360419,6.546663493636732e-17,6.546663493636732e-17,6.546663493636732e-17,6.546663493636732e-17,1.1541179488788837e-13,1.1541179488788837e-13,1.1541179488788837e-13,2.7826034649675063e-08,2.7826034649675063e-08,2.7606374180344488e-05
0.001019437354454795,6.864973469002764e-17,6.864973469002764e-17,6.864973469002764e-17,6.864973469002764e-17,1.1541515242992704e-13,1.1541515242992704e-13,1.1541515242992704e-13,2.78260346533051e-08,2.78260346533051e-08,2.7606374180348482e-05
0.0010292972550485203,7.19876021975466e-17,7.19876021975466e-17,7.19876021975466e-17,7.19876021975466e-17,1.154186732214018e-13,1.154186732214018e-13,1.154186732214018e-13,2.782603465711163e-08,2.782603465711163e-08,2.7606374180352677e-05
0.0010392525196577912,7.548776253180435e-17,7.548776253180435e-17,7.548776253180435e-17,7.548776253180435e-17,1.1542236519977944e-13,1.1542236519977944e-13,1.1542236519977944e-13,2.7826034661103244e-08,2.7826034661103244e-08,2.760637418035707e-05
0.0010493040706342459,7.915810664759625e-17,7.915810664759625e-17,7.915810664759625e-17,7.915810664759625e-17,1.1542623668845993e-13,1.1542623668845993e-13,1.1542623668845993e-13,2.7826034665288937e-08,2.7826034665288937e-08,2.760637418036168e-05
0.0010594528392504174,8.300690917143283e-17,8.300690917143283e-17,8.300690917143283e-17,8.300690917143283e-17,1.154302964155412e-13,1.154302964155412e-13,1.154302964155412e-13,2.7826034669678143e-08,2.7826034669678143e-08,2.7606374180366514e-05
0.0010696997657860217,8.704284705631893e-17,8.704284705631893e-17,8.704284705631893e-17,8.704284705631893e-17,1.1543455353349623e-13,1.1543455353349623e-13,1.1543455353349623e-13,2.7826034674280764e-08,2.7826034674280764e-08,2.7606374180371583e-05
0.0010800457996150668,9.127501914355401e-17,9.127501914355401e-17,9.127501914355401e-17,9.127501914355401e-17,1.154390176398069e-13,1.154390176398069e-13,1.154390176398069e-13,2.7826034679107168e-08,2.7826034679107168e-08,2.7606374180376895e-05
0.001090491899293816,9.571296667566146e-17,9.571296667566146e-17,9.571296667566146e-17,9.571296667566146e-17,1.1544369879860104e-13,1.1544369879860104e-13,1.1544369879860104e-13,2.7826034684168243e-08,2.7826034684168243e-08,2.760637418038247e-05
