im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,7.1529923762711815e-12,7.1529923762711815e-12,7.1529923762711815e-12,7.1529923762711815e-12,7.684025063518294e-12,7.684025063518294e-12,7.684025063518294e-12,8.43937633164662e-12,8.43937633164662e-12,1.2250871557496872e-11
0.001009671904360419,7.410691948697942e-12,7.410691948697942e-12,7.410691948697942e-12,7.410691948697942e-12,7.960856055251622e-12,7.960856055251622e-12,7.960856055251622e-12,8.743420220456166e-12,8.743420220456166e-12,1.2593902729137921e-11
0.001019437354454795,7.677675617365139e-12,7.677675617365139e-12,7.677675617365139e-12,7.677675617365139e-12,8.24766038743477e-12,8.24766038743477e-12,8.24766038743477e-12,9.058417843873941e-12,9.058417843873941e-12,1.2949292223227777e-11
0.0010292972550485203,7.954277858741646e-12,7.954277858741646e-12,7.954277858741646e-12,7.954277858741646e-12,8.544797367814028e-12,8.544797367814028e-12,8.544797367814028e-12,9.384763830130612e-12,9.384763830130612e-12,1.331748527083113e-11
0.0010392525196577912,8.240845199419874e-12,8.240845199419874e-12,8.240845199419874e-12,8.240845199419874e-12,8.85263924885119e-12,8.85263924885119e-12,8.85263924885119e-12,9.72286702465708e-12,9.72286702465708e-12,1.3698943143272097e-11
0.0010493040706342459,8.537736650243741e-12,8.537736650243741e-12,8.537736650243741e-12,8.537736650243741e-12,9.17157169408085e-12,9.17157169408085e-12,9.17157169408085e-12,1.0073151002285394e-11,1.0073151002285394e-11,1.4094143730014212e-11
0.0010594528392504174,8.84532415607635e-12,8.84532415607635e-12,8.84532415607635e-12,8.84532415607635e-12,9.501994261268478e-12,9.501994261268478e-12,9.501994261268478e-12,1.0436054597901978e-11,1.0436054597901978e-11,1.450358213735886e-11
0.0010696997657860217,9.163993061771688e-12,9.163993061771688e-12,9.163993061771688e-12,9.163993061771688e-12,9.844320902975514e-12,9.844320902975514e-12,9.844320902975514e-12,1.0812032456219028e-11,1.0812032456219028e-11,1.4927771308713362e-11
0.0010800457996150668,9.49414259493343e-12,9.49414259493343e-12,9.49414259493343e-12,9.49414259493343e-12,1.0198980485157816e-11,1.0198980485157816e-11,1.0198980485157816e-11,1.120155560135194e-11,1.120155560135194e-11,1.5367242667204853e-11
0.001090491899293816,9.836186366066669e-12,9.836186366066669e-12,9.836186366066669e-12,9.836186366066669e-12,1.0566417324448262e-11,1.0566417324448262e-11,1.0566417324448262e-11,1.1605112026917603e-11,1.1605112026917603e-11,1.5822546781446326e-11
0.0011010390326495973,1.0190552886747851e-11,1.0190552886747851e-11,1.0190552886747851e-11,1.0190552886747851e-11,1.094709174479524e-11,1.094709174479524e-11,1.094709174479524e-11,1.2023207307391267e-11,1.2023207307391267e-11,1.6294254055287288e-11
0.0011116881768704725,1.0557686106463155e-11,1.0557686106463155e-11,1.0557686106463155e-11,1.0557686106463155e-11,1.1341480654155482e-11,1.1341480654155482e-11,1.1341480654155482e-11,1.2456365231489144e-11,1.2456365231489144e-11,1.6782955442414448e-11
0.001122440318595772,1.0938045968786984e-11,1.0938045968786984e-11,1.0938045968786984e-11,1.0938045968786984e-11,1.1750078141962833e-11,1.1750078141962833e-11,1.1750078141962833e-11,1.2905128458369248e-11,1.2905128458369248e-11,1.728926318669661e-11
0.0011332964540075085,1.1332108987598555e-11,1.1332108987598555e-11,1.1332108987598555e-11,1.1332108987598555e-11,1.2173396098122727e-11,1.2173396098122727e-11,1.2173396098122727e-11,1.337005919747393e-11,1.337005919747393e-11,1.7813811589202848e-11
0.0011442575889226711,1.1740368844057102e-11,1.1740368844057102e-11,1.1740368844057102e-11,1.1740368844057102e-11,1.2611964854306342e-11,1.2611964854306342e-11,1.2611964854306342e-11,1.3851739912864216e-11,1.3851739912864216e-11,1.8357257802853006e-11
0.0011553247388864148,1.2163337005084103e-11,1.2163337005084103e-11,1.2163337005084103e-11,1.2163337005084103e-11,1.3066333848348516e-11,1.3066333848348516e-11,1.3066333848348516e-11,1.4350774052929021e-11,1.4350774052929021e-11,1.8920282655696868e-11
0.001166498929266149,1.2601543364128269e-11,1.2601543364128269e-11,1.2601543364128269e-11,1.2601543364128269e-11,1.3537072312582609e-11,1.3537072312582609e-11,1.3537072312582609e-11,1.4867786806384333e-11,1.4867786806384333e-11,1.9503591503854512e-11
0.0011777811953465423,1.3055536905014392e-11,1.3055536905014392e-11,1.3055536905014392e-11,1.3055536905014392e-11,1.4024769986972992e-11,1.4024769986972992e-11,1.4024769986972992e-11,1.5403425885507705e-11,1.5403425885507705e-11,2.0107915115184222e-11
0.001189172582425434,1.3525886389708973e-11,1.3525886389708973e-11,1.3525886389708973e-11,1.3525886389708973e-11,1.453003785793987e-11,1.453003785793987e-11,1.453003785793987e-11,1.5958362337590645e-11,1.5958362337590645e-11,2.073401058478675e-11
0.0012006741459106851,1.4013181070863886e-11,1.4013181070863886e-11,1.4013181070863886e-11,1.4013181070863886e-11,1.505350892380165e-11,1.505350892380165e-11,1.505350892380165e-11,1.6533291385625097e-11,1.6533291385625097e-11,2.138266228349227e-11
0.001212286951417961,1.4518031430030246e-11,1.4518031430030246e-11,1.4518031430030246e-11,1.4518031430030246e-11,1.5595838987793217e-11,1.5595838987793217e-11,1.5595838987793217e-11,1.71289332992766e-11,1.71289332992766e-11,2.2054682840517678e-11
0.0012240120748694594,1.5041069942468698e-11,1.5041069942468698e-11,1.5041069942468698e-11,1.5041069942468698e-11,1.61577074796552e-11,1.61577074796552e-11,1.61577074796552e-11,1.774603429723699e-11,1.774603429723699e-11,2.275091416152716e-11
0.0012358506025935947,1.5582951869512618e-11,1.5582951869512618e-11,1.5582951869512618e-11,1.5582951869512618e-11,1.6739818306821546e-11,1.6739818306821546e-11,1.6739818306821546e-11,1.8385367482084986e-11,1.8385367482084986e-11,2.3472228483369218e-11
0.001247803631425646,1.6144356079477464e-11,1.6144356079477464e-11,1.6144356079477464e-11,1.6144356079477464e-11,1.734290073627263e-11,1.734290073627263e-11,1.734290073627263e-11,1.904773380882675e-11,1.904773380882675e-11,2.421952946681224e-11
0.0012598722688093784,1.6725985898146107e-11,1.6725985898146107e-11,1.6725985898146107e-11,1.6725985898146107e-11,1.79677103081599e-11,1.79677103081599e-11,1.79677103081599e-11,1.9733963088331208e-11,1.9733963088331208e-11,2.4993753328649537e-11
0.0012720576328996466,1.7328569989892552e-11,1.7328569989892552e-11,1.7328569989892552e-11,1.7328569989892552e-11,1.8615029782343597e-11,1.8615029782343597e-11,1.8615029782343597e-11,2.044491502691382e-11,2.044491502691382e-11,2.579587001458798e-11
0.001284360852665993,1.7952863270552275e-11,1.7952863270552275e-11,1.7952863270552275e-11,1.7952863270552275e-11,1.9285670119033856e-11,1.9285670119033856e-11,1.9285670119033856e-11,2.1181480303376163e-11,2.1181480303376163e-11,2.6626884414395464e-11
0.0012967830679972432,1.8599647853177173e-11,1.8599647853177173e-11,1.8599647853177173e-11,1.8599647853177173e-11,1.9980471494757794e-11,1.9980471494757794e-11,1.9980471494757794e-11,2.1944581684844086e-11,2.1944581684844086e-11,2.748783762082201e-11
0.0013093254298071233,1.926973402786618e-11,1.926973402786618e-11,1.926973402786618e-11,1.926973402786618e-11,2.070030435493202e-11,2.070030435493202e-11,2.070030435493202e-11,2.2735175182809662e-11,2.2735175182809662e-11,2.837980823387995e-11
0.001321989100140882,1.9963961276894064e-11,1.9963961276894064e-11,1.9963961276894064e-11,1.9963961276894064e-11,2.144607050435377e-11,2.144607050435377e-11,2.144607050435377e-11,2.3554251250819215e-11,2.3554251250819215e-11,2.9303913712110466e-11
0.001334775252282961,2.0683199326412948e-11,2.0683199326412948e-11,2.0683199326412948e-11,2.0683199326412948e-11,2.221870423698e-11,2.221870423698e-11,2.221870423698e-11,2.4402836025311375e-11,2.4402836025311375e-11,3.0261311772533224e-11
0.0013476850708656958,2.14283492360425e-11,2.14283492360425e-11,2.14283492360425e-11,2.14283492360425e-11,2.301917350640788e-11,2.301917350640788e-11,2.301917350640788e-11,2.5281992611157544e-11,2.5281992611157544e-11,3.1253201841030564e-11
0.0013607197519790734,2.220034452771615e-11,2.220034452771615e-11,2.220034452771615e-11,2.220034452771615e-11,2.384848113852572e-11,2.384848113852572e-11,2.384848113852572e-11,2.6192822413518196e-11,2.6192822413518196e-11,3.2280826554986585e-11
0.001373880503281548,2.3000152355193687e-11,2.3000152355193687e-11,2.3000152355193687e-11,2.3000152355193687e-11,2.4707666087849248e-11,2.4707666087849248e-11,2.4707666087849248e-11,2.7136466517678887e-11,2.7136466517678887e-11,3.334547332005831e-11
0.0013871685441119313,2.3828774715710926e-11,2.3828774715710926e-11,2.3828774715710926e-11,2.3828774715710926e-11,2.5597804739123268e-11,2.5597804739123268e-11,2.5597804739123268e-11,2.811410711860129e-11,2.811410711860129e-11,3.444847592303681e-11
0.0014005851056023634,2.4687249705277076e-11,2.4687249705277076e-11,2.4687249705277076e-11,2.4687249705277076e-11,2.6520012255811333e-11,2.6520012255811333e-11,2.6520012255811333e-11,2.912696900197138e-11,2.912696900197138e-11,3.5591216202808906e-11
0.001414131430792377,2.5576652819200804e-11,2.5576652819200804e-11,2.5576652819200804e-11,2.5576652819200804e-11,2.7475443977171823e-11,2.7475443977171823e-11,2.7475443977171823e-11,3.017632107861019e-11,3.017632107861019e-11,3.677512578152408e-11
0.0014278087747440617,2.6498098299466294e-11,2.6498098299466294e-11,2.6498098299466294e-11,2.6498098299466294e-11,2.8465296865662255e-11,2.8465296865662255e-11,2.8465296865662255e-11,3.126347797416007e-11,3.126347797416007e-11,3.800168785812483e-11
0.0014416184046583532,2.7452740530654982e-11,2.7452740530654982e-11,2.7452740530654982e-11,2.7452740530654982e-11,2.949081100649311e-11,2.949081100649311e-11,2.949081100649311e-11,3.238980167604695e-11,3.238980167604695e-11,3.927243906649744e-11
0.0014555615999924285,2.8441775486153105e-11,2.8441775486153105e-11,2.8441775486153105e-11,2.8441775486153105e-11,3.055327116120077e-11,3.055327116120077e-11,3.055327116120077e-11,3.355670323977172e-11,3.355670323977172e-11,4.058897140055963e-11
0.0014696396525782536,2.946644222646616e-11,2.946644222646616e-11,2.946644222646616e-11,2.946644222646616e-11,3.165400837719566e-11,3.165400837719566e-11,3.165400837719566e-11,3.476564455667939e-11,3.476564455667939e-11,4.195293420870923e-11
0.0014838538667422698,3.0528024451509855e-11,3.0528024451509855e-11,3.0528024451509855e-11,3.0528024451509855e-11,3.279440165529414e-11,3.279440165529414e-11,3.279440165529414e-11,3.6018140185411844e-11,3.6018140185411844e-11,4.3366036260122486e-11
0.001498205559426239,3.1627852108826595e-11,3.1627852108826595e-11,3.1627852108826595e-11,3.1627852108826595e-11,3.397587967732768e-11,3.397587967732768e-11,3.397587967732768e-11,3.731575924934355e-11,3.731575924934355e-11,4.483004788549633e-11
0.0015126960603092574,3.276730305973946e-11,3.276730305973946e-11,3.276730305973946e-11,3.276730305973946e-11,3.5199922595990946e-11,3.5199922595990946e-11,3.5199922595990946e-11,3.8660127402374294e-11,3.8660127402374294e-11,4.6346803194913017e-11
0.0015273267119309511,3.3947804805535036e-11,3.3947804805535036e-11,3.3947804805535036e-11,3.3947804805535036e-11,3.646806388917499e-11,3.646806388917499e-11,3.646806388917499e-11,4.005292886554625e-11,4.005292886554625e-11,4.7918202375610745e-11
0.0015420988698158604,3.5170836275831535e-11,3.5170836275831535e-11,3.5170836275831535e-11,3.5170836275831535e-11,3.778189228110259e-11,3.778189228110259e-11,3.778189228110259e-11,4.149590853702956e-11,4.149590853702956e-11,4.954621407253097e-11
0.0015570139025990295,3.6437929681379805e-11,3.6437929681379805e-11,3.6437929681379805e-11,3.6437929681379805e-11,3.9143053732679665e-11,3.9143053732679665e-11,3.9143053732679665e-11,4.299087417812842e-11,4.299087417812842e-11,5.1232877854634014e-11
0.00157207319215281,3.775067243361212e-11,3.775067243361212e-11,3.775067243361212e-11,3.775067243361212e-11,4.0553253503550006e-11,4.0553253503550006e-11,4.0553253503550006e-11,4.453969867803874e-11,4.453969867803874e-11,5.2980306770064744e-11
0.001587278133714889,3.911070913334748e-11,3.911070913334748e-11,3.911070913334748e-11,3.911070913334748e-11,4.201425828844046e-11,4.201425828844046e-11,4.201425828844046e-11,4.6144322400199275e-11,4.6144322400199275e-11,5.479068999337418e-11
0.0016026301360175636,4.05197436311434e-11,4.05197436311434e-11,4.05197436311434e-11,4.05197436311434e-11,4.3527898430471704e-11,4.3527898430471704e-11,4.3527898430471704e-11,4.7806755613174126e-11,4.7806755613174126e-11,5.6666295568111984e-11
0.0016181306214182506,4.197954116187585e-11,4.197954116187585e-11,4.197954116187585e-11,4.197954116187585e-11,4.509607021420775e-11,4.509607021420775e-11,4.509607021420775e-11,4.952908100911241e-11,4.952908100911241e-11,5.860947324822596e-11
0.0016337810260312732,4.3491930556219934e-11,4.3491930556219934e-11,4.3491930556219934e-11,4.3491930556219934e-11,4.672073824131526e-11,4.672073824131526e-11,4.672073824131526e-11,5.1313456312938375e-11,5.1313456312938375e-11,6.062265744182649e-11
0.0016495827998609148,4.505880653180641e-11,4.505880653180641e-11,4.505880653180641e-11,4.505880653180641e-11,4.840393789181381e-11,4.840393789181381e-11,4.840393789181381e-11,5.316211698554629e-11,5.316211698554629e-11,6.270837026100949e-11
0.0016655374069357617,4.6682132066916744e-11,4.6682132066916744e-11,4.6682132066916744e-11,4.6682132066916744e-11,5.014777787399218e-11,5.014777787399218e-11,5.014777787399218e-11,5.5077379024377204e-11,5.5077379024377204e-11,6.486922468154897e-11
