AvgSa(2.0s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.4388803232683817e-11,3.438880182080211e-11,3.4388801820756647e-11,3.438880182075661e-11,4.072635536565276e-11,4.0726355011192394e-11,4.072635501118919e-11,6.041420431552186e-08,6.041420431551155e-08,2.6152801219863503e-05
0.0010473708979594498,4.0937582205736565e-11,4.093757933212784e-11,4.0937579332026784e-11,4.093757933202669e-11,4.7754791196109934e-11,4.775479046567744e-11,4.775479046567016e-11,6.042175910012883e-08,6.042175910010693e-08,2.6152809471766414e-05
0.001096985797892384,4.873346882340661e-11,4.873346301237004e-11,4.873346301214684e-11,4.8733463012146635e-11,5.6121676492238174e-11,5.6121674996732494e-11,5.6121674996716074e-11,6.04307525682978e-08,6.043075256825153e-08,2.6152819295107512e-05
0.0011489510001873086,5.801395524339196e-11,5.801394356785537e-11,5.80139435673656e-11,5.801394356736513e-11,6.608189709613124e-11,6.60818940539e-11,6.608189405386321e-11,6.044145869348648e-08,6.044145869338943e-08,2.6152830989141156e-05
0.0012033778407775893,6.906176118257585e-11,6.906173787495304e-11,6.906173787388528e-11,6.90617378738842e-11,7.793887794616158e-11,7.793887179732218e-11,7.793887179724025e-11,6.045420362286981e-08,6.045420362266751e-08,2.6152844910109744e-05
0.0012603829296797275,8.221344778420537e-11,8.221340155487035e-11,8.221340155255751e-11,8.221340155255503e-11,9.205382683877614e-11,9.205381449092261e-11,9.205381449074136e-11,6.046937561297174e-08,6.046937561255281e-08,2.615286148209615e-05
0.001320088400831418,9.786967277450643e-11,9.786958167070418e-11,9.786958166572672e-11,9.786958166572109e-11,1.0885673878367079e-10,1.0885671414667135e-10,1.0885671414627299e-10,6.048743685738532e-08,6.048743685652329e-08,2.6152881209942794e-05
0.0013826221737646563,1.1650740026466767e-10,1.1650722188094424e-10,1.1650722187030132e-10,1.165072218702886e-10,1.2885949647139477e-10,1.2885944763058757e-10,1.2885944762971761e-10,6.050893756690892e-08,6.05089375651466e-08,2.6152904694630977e-05
0.001448118227674533,1.3869443889858406e-10,1.3869409186260383e-10,1.3869409183999364e-10,1.3869409183996505e-10,1.5267146647693906e-10,1.5267137027646892e-10,1.526713702745813e-10,6.053453273105597e-08,6.053453272747631e-08,2.615293265158895e-05
0.0015167168884709225,1.6510675442608227e-10,1.6510608362299863e-10,1.6510608357527434e-10,1.6510608357521057e-10,1.8101806731090694e-10,1.8101787904504263e-10,1.8101787904097334e-10,6.056500207160279e-08,6.056500206437848e-08,2.6152965932486445e-05
0.0015885651294280528,1.9654908991077737e-10,1.965478016090446e-10,1.9654780150896017e-10,1.9654780150881885e-10,2.1476287680149394e-10,2.1476251072933645e-10,2.1476251072062063e-10,6.060127379612456e-08,6.060127378163857e-08,2.6153005551179628e-05
0.001663816886076129,2.3397953221001e-10,2.339770738647767e-10,2.339770736562384e-10,2.3397707365592725e-10,2.549339556316221e-10,2.549332483974056e-10,2.5493324837885795e-10,6.064445287531412e-08,6.0644452846454e-08,2.615305271459688e-05
0.0017426333860096508,2.785387918589054e-10,2.7853413093878564e-10,2.785341305070699e-10,2.785341305063893e-10,3.027551950311334e-10,3.0275383746180457e-10,3.0275383742258876e-10,6.069585470584402e-08,6.069585464871625e-08,2.61531088595063e-05
0.0018251834943190425,3.315851216498401e-10,3.3157634144314514e-10,3.3157634055516577e-10,3.3157634055368657e-10,3.596836545656353e-10,3.596810653768416e-10,3.5968106529446113e-10,6.075704518488226e-08,6.075704507252639e-08,2.6153175696285058e-05
0.0019116440753857017,3.9473599643380817e-10,3.9471956244761095e-10,3.9471956063292517e-10,3.947195606297309e-10,4.274540471089821e-10,4.274491406389919e-10,4.274491404670511e-10,6.082988841822233e-08,6.08298881986668e-08,2.6153255261024078e-05
0.0020022003718155844,4.699179267866625e-10,4.698873644171892e-10,4.698873607325579e-10,4.698873607257049e-10,5.081317610619841e-10,5.08122523037634e-10,5.081225226810792e-10,6.091660351749758e-08,6.09166030912187e-08,2.6153349977555564e-05
0.002097046401323233,5.594261029274575e-10,5.593696303122124e-10,5.593696228789217e-10,5.593696228643143e-10,6.041760965778833e-10,6.041588145616732e-10,6.041588138270467e-10,6.101983222057785e-08,6.101983139825039e-08,2.615346273129324e-05
0.002196385372416547,6.659959944294173e-10,6.658923140863209e-10,6.658922991871132e-10,6.658922991561774e-10,7.185157498429063e-10,7.184836268569402e-10,7.184836253531061e-10,6.114271940208972e-08,6.114271782593788e-08,2.615359695713551e-05
0.002300430119772917,7.928896151956199e-10,7.927004838586674e-10,7.927004541870847e-10,7.927004541219922e-10,8.546390319070967e-10,8.545797059887323e-10,8.54579702930102e-10,6.128900893926147e-08,6.128900593765084e-08,2.6153756744110536e-05
0.0024094035602395245,9.439999792688544e-10,9.43657179895129e-10,9.436571211848382e-10,9.436571210487602e-10,1.0167018927853218e-09,1.0165930296130999e-09,1.01659302343225e-09,6.146315787594958e-08,6.146315219639252e-08,2.6153946959953447e-05
0.0025235391704347657,1.1239784432052564e-09,1.1233610996041447e-09,1.1233609841833017e-09,1.1233609839006634e-09,1.2096575931358745e-09,1.2094591087395418e-09,1.2094590963297634e-09,6.167047240247943e-08,6.167046172474319e-08,2.615417339941489e-05
