AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.726924174533737e-17,1.726924174533737e-17,1.726924174533737e-17,1.726924174533737e-17,1.8455386422810357e-17,1.8455386422810357e-17,1.8455386422810357e-17,2.0595545849453554e-17,2.0595545849453554e-17,2.3854932536613103e-17
0.0010473708979594498,2.152864318697909e-17,2.152864318697909e-17,2.152864318697909e-17,2.152864318697909e-17,2.300734653168993e-17,2.300734653168993e-17,2.300734653168993e-17,2.56753692126447e-17,2.56753692126447e-17,2.9738672861468074e-17
0.001096985797892384,2.683861192674522e-17,2.683861192674522e-17,2.683861192674522e-17,2.683861192674522e-17,2.868203256773932e-17,2.868203256773932e-17,2.868203256773932e-17,3.2008114231316156e-17,3.2008114231316156e-17,3.7073618305314146e-17
0.0011489510001873086,3.34582669190264e-17,3.34582669190264e-17,3.34582669190264e-17,3.34582669190264e-17,3.5756361172886094e-17,3.5756361172886094e-17,3.5756361172886094e-17,3.9902809893787914e-17,3.9902809893787914e-17,4.621770381787862e-17
0.0012033778407775893,4.17106379525266e-17,4.17106379525266e-17,4.17106379525266e-17,4.17106379525266e-17,4.457554956422203e-17,4.457554956422203e-17,4.457554956422203e-17,4.9744706167725067e-17,4.9744706167725067e-17,5.761714782209428e-17
0.0012603829296797275,5.199842904646674e-17,5.199842904646674e-17,5.199842904646674e-17,5.199842904646674e-17,5.556996164528953e-17,5.556996164528953e-17,5.556996164528953e-17,6.201407365295654e-17,6.201407365295654e-17,7.182822704118965e-17
0.001320088400831418,6.482366983640616e-17,6.482366983640616e-17,6.482366983640616e-17,6.482366983640616e-17,6.927610915508555e-17,6.927610915508555e-17,6.927610915508555e-17,7.7309640106579e-17,7.7309640106579e-17,8.954442201497366e-17
0.0013826221737646563,8.081221390946797e-17,8.081221390946797e-17,8.081221390946797e-17,8.081221390946797e-17,8.636283268110017e-17,8.636283268110017e-17,8.636283268110017e-17,9.637780750956652e-17,9.637780750956652e-17,1.116302579680497e-16
0.001448118227674533,1.0074427957304408e-16,1.0074427957304408e-16,1.0074427957304408e-16,1.0074427957304408e-16,1.0766394013276041e-16,1.0766394013276041e-16,1.0766394013276041e-16,1.2014907542637228e-16,1.2014907542637228e-16,1.3916349241641813e-16
0.0015167168884709225,1.2559252340323072e-16,1.2559252340323072e-16,1.2559252340323072e-16,1.2559252340323072e-16,1.342188953865499e-16,1.342188953865499e-16,1.342188953865499e-16,1.4978344806587651e-16,1.4978344806587651e-16,1.7348770820790904e-16
0.0015885651294280528,1.5656950450823825e-16,1.5656950450823825e-16,1.5656950450823825e-16,1.5656950450823825e-16,1.6732354265106364e-16,1.6732354265106364e-16,1.6732354265106364e-16,1.8672704084394932e-16,1.8672704084394932e-16,2.1627787846233662e-16
0.001663816886076129,1.951868556956206e-16,1.951868556956206e-16,1.951868556956206e-16,1.951868556956206e-16,2.0859334182918566e-16,2.0859334182918566e-16,2.0859334182918566e-16,2.327826487677264e-16,2.327826487677264e-16,2.696221028876143e-16
0.0017426333860096508,2.4332904901246844e-16,2.4332904901246844e-16,2.4332904901246844e-16,2.4332904901246844e-16,2.6004220067349205e-16,2.6004220067349205e-16,2.6004220067349205e-16,2.901977202787904e-16,2.901977202787904e-16,3.36123504088278e-16
0.0018251834943190425,3.0334535531247223e-16,3.0334535531247223e-16,3.0334535531247223e-16,3.0334535531247223e-16,3.2418075063243116e-16,3.2418075063243116e-16,3.2418075063243116e-16,3.6177402955422863e-16,3.6177402955422863e-16,4.1902725626198125e-16
0.0019116440753857017,3.781644853464888e-16,3.781644853464888e-16,3.781644853464888e-16,3.781644853464888e-16,4.0413886210939203e-16,4.0413886210939203e-16,4.0413886210939203e-16,4.510043991185358e-16,4.510043991185358e-16,5.223789451044484e-16
0.0020022003718155844,4.714375066994601e-16,4.714375066994601e-16,4.714375066994601e-16,4.714375066994601e-16,5.038183777057787e-16,5.038183777057787e-16,5.038183777057787e-16,5.622431446361752e-16,5.622431446361752e-16,6.512219866619521e-16
