im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.5270665860932928e-14,2.5270665860932928e-14,2.5270665860932928e-14,2.5270665860932928e-14,2.6981673830363828e-14,2.6981673830363828e-14,2.6981673830363828e-14,3.378313590310189e-11,3.378313590310189e-11,3.080533531667936e-07
0.001009671904360419,2.6315713034171675e-14,2.6315713034171675e-14,2.6315713034171675e-14,2.6315713034171675e-14,2.8097223323938643e-14,2.8097223323938643e-14,2.8097223323938643e-14,3.378434728706012e-11,3.378434728706012e-11,3.080533545097013e-07
0.001019437354454795,2.7403977255995612e-14,2.7403977255995612e-14,2.7403977255995612e-14,2.7403977255995612e-14,2.925890543037302e-14,2.925890543037302e-14,2.925890543037302e-14,3.3785608766785046e-11,3.3785608766785046e-11,3.080533559081438e-07
0.0010292972550485203,2.8537245731170644e-14,2.8537245731170644e-14,2.8537245731170644e-14,2.8537245731170644e-14,3.0468627925145976e-14,3.0468627925145976e-14,3.0468627925145976e-14,3.3786922413945045e-11,3.3786922413945045e-11,3.080533573644177e-07
0.0010392525196577912,2.971737957281523e-14,2.971737957281523e-14,2.971737957281523e-14,2.971737957281523e-14,3.172837747818969e-14,3.172837747818969e-14,3.172837747818969e-14,3.378829038588061e-11,3.378829038588061e-11,3.0805335888091465e-07
0.0010493040706342459,3.094631685881873e-14,3.094631685881873e-14,3.094631685881873e-14,3.094631685881873e-14,3.30402229165039e-14,3.30402229165039e-14,3.30402229165039e-14,3.378971492914722e-11,3.378971492914722e-11,3.08053360460125e-07
0.0010594528392504174,3.2226075814654264e-14,3.2226075814654264e-14,3.2226075814654264e-14,3.2226075814654264e-14,3.440631862169175e-14,3.440631862169175e-14,3.440631862169175e-14,3.3791198383204796e-11,3.3791198383204796e-11,3.0805336210464227e-07
0.0010696997657860217,3.355875812781585e-14,3.355875812781585e-14,3.355875812781585e-14,3.355875812781585e-14,3.582890806799982e-14,3.582890806799982e-14,3.582890806799982e-14,3.379274318425964e-11,3.379274318425964e-11,3.080533638171672e-07
0.0010800457996150668,3.494655239931916e-14,3.494655239931916e-14,3.494655239931916e-14,3.494655239931916e-14,3.73103275066684e-14,3.73103275066684e-14,3.73103275066684e-14,3.3794351869265324e-11,3.3794351869265324e-11,3.080533656005121e-07
0.001090491899293816,3.639173773793768e-14,3.639173773793768e-14,3.639173773793768e-14,3.639173773793768e-14,3.8853009802646755e-14,3.8853009802646755e-14,3.8853009802646755e-14,3.3796027080089006e-11,3.3796027080089006e-11,3.080533674576058e-07
0.0011010390326495973,3.789668750307497e-14,3.789668750307497e-14,3.789668750307497e-14,3.789668750307497e-14,4.045948842997173e-14,4.045948842997173e-14,4.045948842997173e-14,3.379777156785005e-11,3.379777156785005e-11,3.08053369391498e-07
