AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.12651085498181e-09,2.12651085498181e-09,2.12651085498181e-09,2.12651085498181e-09,2.193439497043985e-09,2.193439497043985e-09,2.193439497043985e-09,2.455872183161751e-09,2.455872183161751e-09,2.8589492249245377e-09
0.0010473708979594498,2.3846734031252704e-09,2.3846734031252704e-09,2.3846734031252704e-09,2.3846734031252704e-09,2.459727312310147e-09,2.459727312310147e-09,2.459727312310147e-09,2.754019836158769e-09,2.754019836158769e-09,3.2060312135181862e-09
0.001096985797892384,2.6741773859618756e-09,2.6741773859618756e-09,2.6741773859618756e-09,2.6741773859618756e-09,2.7583429854721727e-09,2.7583429854721727e-09,2.7583429854721727e-09,3.0883631932003815e-09,3.0883631932003815e-09,3.5952496294826856e-09
0.0011489510001873086,2.9988277145064717e-09,2.9988277145064717e-09,2.9988277145064717e-09,2.9988277145064717e-09,3.0932111812353353e-09,3.0932111812353353e-09,3.0932111812353353e-09,3.4632964830169844e-09,3.4632964830169844e-09,4.0317199168813544e-09
0.0012033778407775893,3.3628912233520434e-09,3.3628912233520434e-09,3.3628912233520434e-09,3.3628912233520434e-09,3.4687330262130256e-09,3.4687330262130256e-09,3.4687330262130256e-09,3.883747402229083e-09,3.883747402229083e-09,4.521178544605097e-09
0.0012603829296797275,3.7711527490866795e-09,3.7711527490866795e-09,3.7711527490866795e-09,3.7711527490866795e-09,3.889843952325047e-09,3.889843952325047e-09,3.889843952325047e-09,4.355241879381805e-09,4.355241879381805e-09,5.070058399987918e-09
0.001320088400831418,4.228978016738637e-09,4.228978016738637e-09,4.228978016738637e-09,4.228978016738637e-09,4.362078562496123e-09,4.362078562496123e-09,4.362078562496123e-09,4.8839767014581235e-09,4.8839767014581235e-09,5.6855733353526125e-09
0.0013826221737646563,4.742384160757199e-09,4.742384160757199e-09,4.742384160757199e-09,4.742384160757199e-09,4.891643371175359e-09,4.891643371175359e-09,4.891643371175359e-09,5.476900957390784e-09,5.476900957390784e-09,6.375812978669855e-09
0.001448118227674533,5.318118807376373e-09,5.318118807376373e-09,5.318118807376373e-09,5.318118807376373e-09,5.485498375694777e-09,5.485498375694777e-09,5.485498375694777e-09,6.141807368973189e-09,6.141807368973189e-09,7.14984905441334e-09
0.0015167168884709225,5.963748757729855e-09,5.963748757729855e-09,5.963748757729855e-09,5.963748757729855e-09,6.151448530547819e-09,6.151448530547819e-09,6.151448530547819e-09,6.887434709518509e-09,6.887434709518509e-09,8.017854611970831e-09
0.0015885651294280528,6.687759437266688e-09,6.687759437266688e-09,6.687759437266688e-09,6.687759437266688e-09,6.898246326821127e-09,6.898246326821127e-09,6.898246326821127e-09,7.723582656340641e-09,7.723582656340641e-09,8.99123772861281e-09
0.001663816886076129,7.49966641851686e-09,7.49966641851686e-09,7.49966641851686e-09,7.49966641851686e-09,7.735706824966149e-09,7.735706824966149e-09,7.735706824966149e-09,8.661240586546425e-09,8.661240586546425e-09,1.0082791444257119e-08
0.0017426333860096508,8.410140482934765e-09,8.410140482934765e-09,8.410140482934765e-09,8.410140482934765e-09,8.674836652769985e-09,8.674836652769985e-09,8.674836652769985e-09,9.71273200888381e-09,9.71273200888381e-09,1.1306861898600616e-08
0.0018251834943190425,9.431147865489708e-09,9.431147865489708e-09,9.431147865489708e-09,9.431147865489708e-09,9.727978663926568e-09,9.727978663926568e-09,9.727978663926568e-09,1.089187652989208e-08,1.089187652989208e-08,1.2679536880418671e-08
0.0019116440753857017,1.0576107525217887e-08,1.0576107525217887e-08,1.0576107525217887e-08,1.0576107525217887e-08,1.090897415843486e-08,1.090897415843486e-08,1.090897415843486e-08,1.2214171483051646e-08,1.2214171483051646e-08,1.4218857267108143e-08
0.0020022003718155844,1.1860067508719384e-08,1.1860067508719384e-08,1.1860067508719384e-08,1.1860067508719384e-08,1.2233344796862663e-08,1.2233344796862663e-08,1.2233344796862663e-08,1.3696995608058139e-08,1.3696995608058139e-08,1.5945054133391694e-08
0.002097046401323233,1.329990272451941e-08,1.329990272451941e-08,1.329990272451941e-08,1.329990272451941e-08,1.3718496599348116e-08,1.3718496599348116e-08,1.3718496599348116e-08,1.5359837457146826e-08,1.5359837457146826e-08,1.7880814645466922e-08
0.002196385372416547,1.491453672761257e-08,1.491453672761257e-08,1.491453672761257e-08,1.491453672761257e-08,1.538394871046708e-08,1.538394871046708e-08,1.538394871046708e-08,1.7224551530377e-08,1.7224551530377e-08,2.005158023520614e-08
0.002300430119772917,1.6725190429070403e-08,1.6725190429070403e-08,1.6725190429070403e-08,1.6725190429070403e-08,1.7251589936587864e-08,1.7251589936587864e-08,1.7251589936587864e-08,1.9315645506222552e-08,1.9315645506222552e-08,2.248588097326306e-08
0.0024094035602395245,1.87556609994656e-08,1.87556609994656e-08,1.87556609994656e-08,1.87556609994656e-08,1.9345966427345508e-08,1.9345966427345508e-08,1.9345966427345508e-08,2.166060234249695e-08,2.166060234249695e-08,2.521571053570061e-08
0.0025235391704347657,2.1032634631694934e-08,2.1032634631694934e-08,2.1032634631694934e-08,2.1032634631694934e-08,2.169460428218597e-08,2.169460428218597e-08,2.169460428218597e-08,2.4290241480931403e-08,2.4290241480931403e-08,2.8276946692262503e-08
0.0026430814869741054,2.3586037273796765e-08,2.3586037273796765e-08,2.3586037273796765e-08,2.3586037273796765e-08,2.4328371321950384e-08,2.4328371321950384e-08,2.4328371321950384e-08,2.7239123902663894e-08,2.7239123902663894e-08,3.17098228427013e-08
0.0027682866303920667,2.6449427941384415e-08,2.6449427941384415e-08,2.6449427941384415e-08,2.6449427941384415e-08,2.7281882780201205e-08,2.7281882780201205e-08,2.7281882780201205e-08,3.0546006358212486e-08,3.0546006358212486e-08,3.555945679848042e-08
0.002899422853882875,2.9660439778940746e-08,2.9660439778940746e-08,2.9660439778940746e-08,2.9660439778940746e-08,3.059395624622894e-08,3.059395624622894e-08,3.059395624622894e-08,3.4254350741806364e-08,3.4254350741806364e-08,3.9876443759542634e-08
0.0030367711180354575,3.3261274666766175e-08,3.3261274666766175e-08,3.3261274666766175e-08,3.3261274666766175e-08,3.430812183897645e-08,3.430812183897645e-08,3.430812183897645e-08,3.841289530469104e-08,3.841289530469104e-08,4.471752127953052e-08
0.0031806256927941192,3.7299257874117336e-08,3.7299257874117336e-08,3.7299257874117336e-08,3.7299257874117336e-08,3.84731943170115e-08,3.84731943170115e-08,3.84731943170115e-08,4.307629521476675e-08,4.307629521476675e-08,5.014631495897892e-08
0.0033312947879346735,4.182746004824601e-08,4.182746004824601e-08,4.182746004824601e-08,4.182746004824601e-08,4.314391464368889e-08,4.314391464368889e-08,4.314391464368889e-08,4.8305840881320316e-08,4.8305840881320316e-08,5.623417466698637e-08
0.0034891012134067737,4.690539471402914e-08,4.6905394714029136e-08,4.6905394714029136e-08,4.6905394714029136e-08,4.838166943947735e-08,4.838166943947735e-08,4.838166943947735e-08,5.417026348565959e-08,5.417026348565959e-08,6.30611122816658e-08
0.0036543830709572546,5.2599800451302255e-08,5.259980045130224e-08,5.259980045130224e-08,5.259980045130224e-08,5.425529777708327e-08,5.425529777708327e-08,5.425529777708327e-08,6.074663830458932e-08,6.074663830458932e-08,7.071685327391428e-08
0.003827494478516311,5.898551802990437e-08,5.8985518029904334e-08,5.8985518029904334e-08,5.8985518029904334e-08,6.084199592292464e-08,6.084199592292464e-08,6.084199592292464e-08,6.812139769893011e-08,6.812139769893011e-08,7.930201595524909e-08
0.004008806328898464,6.614647403044979e-08,6.614647403044971e-08,6.614647403044971e-08,6.614647403044971e-08,6.8228331915795e-08,6.8228331915795e-08,6.8228331915795e-08,7.639146708058285e-08,7.639146708058285e-08,8.892943388831254e-08
0.00419870708444391,7.417678387835833e-08,7.417678387835813e-08,7.417678387835813e-08,7.417678387835813e-08,7.651138331712052e-08,7.651138331712052e-08,7.651138331712052e-08,8.566553878791586e-08,8.566553878791586e-08,9.972563884019353e-08
0.004397603609302721,8.318198878809096e-08,8.318198878809047e-08,8.318198878809047e-08,8.318198878809047e-08,8.58000130860225e-08,8.58000130860225e-08,8.58000130860225e-08,9.606550061174034e-08,9.606550061174034e-08,1.1183252376867734e-07
