AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.8267329250716292e-15,1.8267329250716292e-15,1.8267329250716292e-15,1.8267329250716292e-15,1.9344297787333645e-15,1.9344297787333645e-15,1.9344297787333645e-15,2.1335331839268455e-15,2.1335331839268455e-15,1.007161111582295e-11
0.0010473708979594498,2.2373994591154965e-15,2.2373994591154965e-15,2.2373994591154965e-15,2.2373994591154965e-15,2.3693075661102613e-15,2.3693075661102613e-15,2.3693075661102613e-15,2.613083088658778e-15,2.613083088658778e-15,1.007215550917881e-11
0.001096985797892384,2.7403876455853505e-15,2.7403876455853505e-15,2.7403876455853505e-15,2.7403876455853505e-15,2.9019499206132993e-15,2.9019499206132993e-15,2.9019499206132993e-15,3.2004402675545382e-15,3.2004402675545382e-15,1.0072822287219119e-11
0.0011489510001873086,3.356452249722814e-15,3.356452249722814e-15,3.356452249722814e-15,3.356452249722814e-15,3.55433522527975e-15,3.55433522527975e-15,3.55433522527975e-15,3.919840797501978e-15,3.919840797501978e-15,1.0073638963158037e-11
0.0012033778407775893,4.111013900831915e-15,4.111013900831915e-15,4.111013900831915e-15,4.111013900831915e-15,4.353382807858591e-15,4.353382807858591e-15,4.353382807858591e-15,4.8009692506548876e-15,4.8009692506548876e-15,1.00746392354359e-11
0.0012603829296797275,5.035208021871585e-15,5.035208021871585e-15,5.035208021871585e-15,5.035208021871585e-15,5.332063711088789e-15,5.332063711088789e-15,5.332063711088789e-15,5.880183566791596e-15,5.880183566791596e-15,1.007586437821553e-11
0.001320088400831418,6.167169568166434e-15,6.167169568166434e-15,6.167169568166434e-15,6.167169568166434e-15,6.530761174456598e-15,6.530761174456598e-15,6.530761174456598e-15,7.202015288360416e-15,7.202015288360416e-15,1.0077364944475028e-11
0.0013826221737646563,7.55360658731662e-15,7.55360658731662e-15,7.55360658731662e-15,7.55360658731662e-15,7.99893696489256e-15,7.99893696489256e-15,7.99893696489256e-15,8.82100706230242e-15,8.82100706230242e-15,1.007920285197168e-11
0.001448118227674533,9.251727529994907e-15,9.251727529994907e-15,9.251727529994907e-15,9.251727529994907e-15,9.797172314090552e-15,9.797172314090552e-15,9.797172314090552e-15,1.0803963229355671e-14,1.0803963229355671e-14,1.0081453938149891e-11
0.0015167168884709225,1.133160183811911e-14,1.133160183811911e-14,1.133160183811911e-14,1.133160183811911e-14,1.1999667677500146e-14,1.1999667677500146e-14,1.1999667677500146e-14,1.3232706366747068e-14,1.3232706366747068e-14,1.0084211089416192e-11
0.0015885651294280528,1.3879051215177318e-14,1.3879051215177318e-14,1.3879051215177318e-14,1.3879051215177318e-14,1.469730446236508e-14,1.469730446236508e-14,1.469730446236508e-14,1.6207453527291655e-14,1.6207453527291655e-14,1.008758807390432e-11
0.001663816886076129,1.6999190880985613e-14,1.6999190880985613e-14,1.6999190880985613e-14,1.6999190880985613e-14,1.800139506067192e-14,1.800139506067192e-14,1.800139506067192e-14,1.985095148841077e-14,1.985095148841077e-14,1.0091724235881519e-11
0.0017426333860096508,2.0820766933418386e-14,2.0820766933418386e-14,2.0820766933418386e-14,2.0820766933418386e-14,2.204827592434846e-14,2.204827592434846e-14,2.204827592434846e-14,2.4313541643551587e-14,2.4313541643551587e-14,1.009679024550098e-11
0.0018251834943190425,2.5501468789354145e-14,2.5501468789354145e-14,2.5501468789354145e-14,2.5501468789354145e-14,2.7004933206441072e-14,2.7004933206441072e-14,2.7004933206441072e-14,2.9779363528255696e-14,2.9779363528255696e-14,1.0102995141152059e-11
0.0019116440753857017,3.123443591170498e-14,3.123443591170498e-14,3.123443591170498e-14,3.123443591170498e-14,3.307589309869784e-14,3.307589309869784e-14,3.307589309869784e-14,3.647395295652634e-14,3.647395295652634e-14,1.0110594954996244e-11
0.0020022003718155844,3.825622730913751e-14,3.825622730913751e-14,3.825622730913751e-14,3.825622730913751e-14,4.051166118105973e-14,4.051166118105973e-14,4.051166118105973e-14,4.467354828884661e-14,4.467354828884661e-14,1.011990327760377e-11
0.002097046401323233,4.6856582653376353e-14,4.6856582653376353e-14,4.6856582653376353e-14,4.6856582653376353e-14,4.961905901532815e-14,4.961905901532815e-14,4.961905901532815e-14,5.471648883571351e-14,5.471648883571351e-14,1.0131304197618686e-11
0.002196385372416547,5.739037778637123e-14,5.739037778637123e-14,5.739037778637123e-14,5.739037778637123e-14,6.077388450112967e-14,6.077388450112967e-14,6.077388450112967e-14,6.70171757281928e-14,6.70171757281928e-14,1.0145268150380848e-11
0.002300430119772917,7.029226793655318e-14,7.029226793655318e-14,7.029226793655318e-14,7.029226793655318e-14,7.443641839752824e-14,7.443641839752824e-14,7.443641839752824e-14,8.208317132188435e-14,8.208317132188435e-14,1.0162371329465417e-11
0.0024094035602395245,8.60946228661622e-14,8.60946228661622e-14,8.60946228661622e-14,8.60946228661622e-14,9.117041685477438e-14,9.117041685477438e-14,9.117041685477438e-14,1.0053614270577732e-13,1.0053614270577732e-13,1.0183319462116754e-11
0.0025235391704347657,1.0544949400632592e-13,1.0544949400632592e-13,1.0544949400632592e-13,1.0544949400632592e-13,1.1166637364364715e-13,1.1166637364364715e-13,1.1166637364364715e-13,1.231375135064781e-13,1.231375135064781e-13,1.0208976929620792e-11
0.0026430814869741054,1.2915552000821334e-13,1.2915552000821334e-13,1.2915552000821334e-13,1.2915552000821334e-13,1.3677001195009507e-13,1.3677001195009507e-13,1.3677001195009507e-13,1.5081988245637417e-13,1.5081988245637417e-13,1.024040243420765e-11
0.0027682866303920667,1.5819088091206154e-13,1.5819088091206154e-13,1.5819088091206154e-13,1.5819088091206154e-13,1.6751718139002353e-13,1.6751718139002353e-13,1.6751718139002353e-13,1.8472550514782454e-13,1.8472550514782454e-13,1.0278892684205364e-11
0.002899422853882875,1.9375366071959158e-13,1.9375366071959158e-13,1.9375366071959158e-13,1.9375366071959158e-13,2.0517660019724998e-13,2.0517660019724998e-13,2.0517660019724998e-13,2.2625342684324326e-13,2.2625342684324326e-13,1.032603590002205e-11
0.0030367711180354575,2.3731128384771655e-13,2.3731128384771655e-13,2.3731128384771655e-13,2.3731128384771655e-13,2.51302206252434e-13,2.51302206252434e-13,2.51302206252434e-13,2.771172111788059e-13,2.771172111788059e-13,1.0383777348769997e-11
0.0031806256927941192,2.906610653563586e-13,2.906610653563586e-13,2.906610653563586e-13,2.906610653563586e-13,3.0779727710970553e-13,3.0779727710970553e-13,3.0779727710970553e-13,3.3941564681710805e-13,3.3941564681710805e-13,1.0454499611682139e-11
0.0033312947879346735,3.56004373430071e-13,3.56004373430071e-13,3.56004373430071e-13,3.56004373430071e-13,3.7699296480103914e-13,3.7699296480103914e-13,3.7699296480103914e-13,4.1571934961229973e-13,4.1571934961229973e-13,1.0541120896389546e-11
0.0034891012134067737,4.360374642745851e-13,4.360374642745851e-13,4.360374642745851e-13,4.360374642745851e-13,4.617444859943316e-13,4.617444859943316e-13,4.617444859943316e-13,5.09176833746578e-13,5.09176833746578e-13,1.0647215450712319e-11
0.0036543830709572546,5.340627375420462e-13,5.340627375420462e-13,5.340627375420462e-13,5.340627375420462e-13,5.655489365927167e-13,5.655489365927167e-13,5.655489365927167e-13,6.23644428643667e-13,6.23644428643667e-13,1.0777161046589445e-11
0.003827494478516311,6.541250030095745e-13,6.541250030095745e-13,6.541250030095745e-13,6.541250030095745e-13,6.92689592150482e-13,6.92689592150482e-13,6.92689592150482e-13,7.638454024115745e-13,7.638454024115745e-13,1.0936319619766447e-11
0.004008806328898464,8.011783812731915e-13,8.011783812731915e-13,8.011783812731915e-13,8.011783812731915e-13,8.484126483631486e-13,8.484126483631486e-13,8.484126483631486e-13,9.355648577136624e-13,9.355648577136624e-13,1.1131258518963073e-11
0.00419870708444391,9.812907252684736e-13,9.812907252684736e-13,9.812907252684736e-13,9.812907252684736e-13,1.0391436944618784e-12,1.0391436944618784e-12,1.0391436944618784e-12,1.1458884420423785e-12,1.1458884420423785e-12,1.1370021493909616e-11
0.004397603609302721,1.2018939976483765e-12,1.2018939976483765e-12,1.2018939976483765e-12,1.2018939976483765e-12,1.2727528518382496e-12,1.2727528518382496e-12,1.2727528518382496e-12,1.4034947222804363e-12,1.4034947222804363e-12,1.1662460604011592e-11
0.004605922041145104,1.4720909353218404e-12,1.4720909353218404e-12,1.4720909353218404e-12,1.4720909353218404e-12,1.5588795182952706e-12,1.5588795182952706e-12,1.5588795182952706e-12,1.719013287779787e-12,1.719013287779787e-12,1.2020642743165992e-11
0.004824108704165369,1.80303065503003e-12,1.80303065503003e-12,1.80303065503003e-12,1.80303065503003e-12,1.90933011782337e-12,1.90933011782337e-12,1.90933011782337e-12,2.1054633583400418e-12,2.1054633583400418e-12,1.2459347555133426e-11
0.00505263106533568,2.2083686985458022e-12,2.2083686985458022e-12,2.2083686985458022e-12,2.2083686985458022e-12,2.3385652682214503e-12,2.3385652682214503e-12,2.3385652682214503e-12,2.5787909953354695e-12,2.5787909953354695e-12,1.2996677284911982e-11
0.005291978735958442,2.704830500308509e-12,2.704830500308509e-12,2.704830500308509e-12,2.704830500308509e-12,2.8642964685256567e-12,2.8642964685256567e-12,2.8642964685256567e-12,3.1585270828948272e-12,3.1585270828948272e-12,1.365480373036632e-11
0.005542664520663107,3.312901527818226e-12,3.312901527818226e-12,3.312901527818226e-12,3.312901527818226e-12,3.5082169273159038e-12,3.5082169273159038e-12,3.5082169273159038e-12,3.8685932293636564e-12,3.8685932293636564e-12,1.4460883115522865e-11
0.005805225516094896,4.057672572002929e-12,4.057672572002929e-12,4.057672572002929e-12,4.057672572002929e-12,4.296896688016069e-12,4.296896688016069e-12,4.296896688016069e-12,4.73828884290319e-12,4.73828884290319e-12,1.5448176635882122e-11
