AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,5.282095551359567e-11,5.282095551359567e-11,5.282095551359567e-11,5.282095551359567e-11,5.525539109586699e-11,5.525539109586699e-11,5.525539109586699e-11,6.185327516032961e-11,6.185327516032961e-11,7.199714668505786e-11
0.0010473708979594498,6.08345383938379e-11,6.08345383938379e-11,6.08345383938379e-11,6.08345383938379e-11,6.363830753159327e-11,6.363830753159327e-11,6.363830753159327e-11,7.123717104193655e-11,7.123717104193655e-11,8.291999153856345e-11
0.001096985797892384,7.006387948878144e-11,7.006387948878144e-11,7.006387948878144e-11,7.006387948878144e-11,7.329301458484157e-11,7.329301458484157e-11,7.329301458484157e-11,8.204471832569446e-11,8.204471832569446e-11,9.54999651141875e-11
0.0011489510001873086,8.069342414060004e-11,8.069342414060004e-11,8.069342414060004e-11,8.069342414060004e-11,8.441245839636805e-11,8.441245839636805e-11,8.441245839636805e-11,9.449190228467656e-11,9.449190228467656e-11,1.0998847404069046e-10
0.0012033778407775893,9.293560029839486e-11,9.293560029839486e-11,9.293560029839486e-11,9.293560029839486e-11,9.721885738863113e-11,9.721885738863113e-11,9.721885738863113e-11,1.0882747579089163e-10,1.0882747579089163e-10,1.2667506639723253e-10
0.0012603829296797275,1.0703506382078745e-10,1.0703506382078745e-10,1.0703506382078745e-10,1.0703506382078745e-10,1.1196814322776941e-10,1.1196814322776941e-10,1.1196814322776941e-10,1.2533793055949508e-10,1.2533793055949508e-10,1.4589321823636028e-10
0.001320088400831418,1.2327358784267057e-10,1.2327358784267057e-10,1.2327358784267057e-10,1.2327358784267057e-10,1.289550755336512e-10,1.289550755336512e-10,1.289550755336512e-10,1.4435322259135065e-10,1.4435322259135065e-10,1.6802699799307252e-10
0.0013826221737646563,1.4197569391849998e-10,1.4197569391849998e-10,1.4197569391849998e-10,1.4197569391849998e-10,1.485191325537905e-10,1.485191325537905e-10,1.485191325537905e-10,1.6625336623502599e-10,1.6625336623502599e-10,1.9351874196598458e-10
0.001448118227674533,1.6351513747866254e-10,1.6351513747866254e-10,1.6351513747866254e-10,1.6351513747866254e-10,1.710512955242982e-10,1.710512955242982e-10,1.710512955242982e-10,1.9147602864836764e-10,1.9147602864836764e-10,2.2287789426254118e-10
0.0015167168884709225,1.8832237720864393e-10,1.8832237720864393e-10,1.8832237720864393e-10,1.8832237720864393e-10,1.970018623011023e-10,1.970018623011023e-10,1.970018623011023e-10,2.205252764324862e-10,2.205252764324862e-10,2.5669118787168966e-10
0.0015885651294280528,2.1689317762405476e-10,2.1689317762405476e-10,2.1689317762405476e-10,2.1689317762405476e-10,2.2688944641425793e-10,2.2688944641425793e-10,2.2688944641425793e-10,2.539816492367213e-10,2.539816492367213e-10,2.956343703293645e-10
0.001663816886076129,2.497985167611632e-10,2.497985167611632e-10,2.497985167611632e-10,2.497985167611632e-10,2.613113413885053e-10,2.613113413885053e-10,2.613113413885053e-10,2.925137616522875e-10,2.925137616522875e-10,3.404857083103714e-10
0.0017426333860096508,2.8769599698485674e-10,2.8769599698485674e-10,2.8769599698485674e-10,2.8769599698485674e-10,3.0095545745759665e-10,3.0095545745759665e-10,3.0095545745759665e-10,3.368916652546115e-10,3.368916652546115e-10,3.9214154103147674e-10
0.0018251834943190425,3.313429869552485e-10,3.313429869552485e-10,3.313429869552485e-10,3.313429869552485e-10,3.466140692236728e-10,3.466140692236728e-10,3.466140692236728e-10,3.880022378303483e-10,3.880022378303483e-10,4.5163419329530674e-10
0.0019116440753857017,3.816117573908331e-10,3.816117573908331e-10,3.816117573908331e-10,3.816117573908331e-10,3.991996490041661e-10,3.991996490041661e-10,3.991996490041661e-10,4.4686690733774424e-10,4.4686690733774424e-10,5.201526061613777e-10
0.0020022003718155844,4.3950691311139335e-10,4.3950691311139335e-10,4.3950691311139335e-10,4.3950691311139335e-10,4.597631022904098e-10,4.597631022904098e-10,4.597631022904098e-10,5.146620648078086e-10,5.146620648078086e-10,5.990660975413648e-10
0.002097046401323233,5.061854697342948e-10,5.061854697342948e-10,5.061854697342948e-10,5.061854697342948e-10,5.295147697475876e-10,5.295147697475876e-10,5.295147697475876e-10,5.927425741313986e-10,5.927425741313986e-10,6.899517275662738e-10
0.002196385372416547,5.829799762503335e-10,5.829799762503335e-10,5.829799762503335e-10,5.829799762503335e-10,6.098486154740808e-10,6.098486154740808e-10,6.098486154740808e-10,6.82668848567572e-10,6.82668848567572e-10,7.946258156133665e-10
0.002300430119772917,6.714251455761435e-10,6.714251455761435e-10,6.714251455761435e-10,6.714251455761435e-10,7.023700849145432e-10,7.023700849145432e-10,7.023700849145432e-10,7.862380350882347e-10,7.862380350882347e-10,9.151802388501501e-10
0.0024094035602395245,7.732885252860203e-10,7.732885252860203e-10,7.732885252860203e-10,7.732885252860203e-10,8.089281891579671e-10,8.089281891579671e-10,8.089281891579671e-10,9.05519929767986e-10,9.05519929767986e-10,1.0540242377099237e-09
0.0025235391704347657,8.90605821467512e-10,8.90605821467512e-10,8.90605821467512e-10,8.90605821467512e-10,9.316524568147332e-10,9.316524568147332e-10,9.316524568147332e-10,1.0428983419762398e-09,1.0428983419762398e-09,1.2139325637673521e-09
0.0026430814869741054,1.0257215816364623e-09,1.0257215816364623e-09,1.0257215816364623e-09,1.0257215816364623e-09,1.072995491943809e-09,1.072995491943809e-09,1.072995491943809e-09,1.2011187340214564e-09,1.2011187340214564e-09,1.3981009322335733e-09
0.0027682866303920667,1.1813360497460235e-09,1.1813360497460235e-09,1.1813360497460235e-09,1.1813360497460235e-09,1.2357819885360984e-09,1.2357819885360984e-09,1.2357819885360984e-09,1.383343088309896e-09,1.383343088309896e-09,1.6102098872704685e-09
0.002899422853882875,1.360559129671507e-09,1.360559129671507e-09,1.360559129671507e-09,1.360559129671507e-09,1.4232651810921934e-09,1.4232651810921934e-09,1.4232651810921934e-09,1.5932130985209199e-09,1.5932130985209199e-09,1.8544983564512563e-09
0.0030367711180354575,1.5669725356134955e-09,1.5669725356134955e-09,1.5669725356134955e-09,1.5669725356134955e-09,1.6391918594406704e-09,1.6391918594406704e-09,1.6391918594406704e-09,1.8349229476535872e-09,1.8349229476535872e-09,2.1358483643289608e-09
0.0031806256927941192,1.8047013714743403e-09,1.8047013714743403e-09,1.8047013714743403e-09,1.8047013714743403e-09,1.8878772470964437e-09,1.8878772470964437e-09,1.8878772470964437e-09,2.1133031273895617e-09,2.1133031273895617e-09,2.45988259808517e-09
0.0033312947879346735,2.078496569698166e-09,2.078496569698166e-09,2.078496569698166e-09,2.078496569698166e-09,2.1742912395783324e-09,2.1742912395783324e-09,2.1742912395783324e-09,2.433916973874485e-09,2.433916973874485e-09,2.8330767750761483e-09
