im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,7.095995807111852e-25,7.095995807111852e-25,7.095995807111852e-25,7.095995807111852e-25,7.544804455548973e-25,7.544804455548973e-25,7.544804455548973e-25,8.363393487044299e-25,8.363393487044299e-25,9.576586132245133e-25
0.001009671904360419,7.582899774408139e-25,7.582899774408139e-25,7.582899774408139e-25,7.582899774408139e-25,8.062504200833447e-25,8.062504200833447e-25,8.062504200833447e-25,8.937262127837537e-25,8.937262127837537e-25,1.0233700040825863e-24
0.001019437354454795,8.103213495573001e-25,8.103213495573001e-25,8.103213495573001e-25,8.103213495573001e-25,8.615726805304757e-25,8.615726805304757e-25,8.615726805304757e-25,9.550507753271628e-25,9.550507753271628e-25,1.0935902951394413e-24
0.0010292972550485203,8.659229438379647e-25,8.659229438379647e-25,8.659229438379647e-25,8.659229438379647e-25,9.206909731095022e-25,9.206909731095022e-25,9.206909731095022e-25,1.0205832282931202e-24,1.0205832282931202e-24,1.1686288723438338e-24
0.0010392525196577912,9.25339737222337e-25,9.25339737222337e-25,9.25339737222337e-25,9.25339737222337e-25,9.838657690995951e-25,9.838657690995951e-25,9.838657690995951e-25,1.0906123033263778e-24,1.0906123033263778e-24,1.248816350693913e-24
0.0010493040706342459,9.888335161643848e-25,9.888335161643848e-25,9.888335161643848e-25,9.888335161643848e-25,1.0513754124651515e-24,1.0513754124651515e-24,1.0513754124651515e-24,1.1654465438905484e-24,1.1654465438905484e-24,1.3345060309050852e-24
0.0010594528392504174,1.0566840300462252e-24,1.0566840300462252e-24,1.0566840300462252e-24,1.0566840300462252e-24,1.1235173462207961e-24,1.1235173462207961e-24,1.1235173462207961e-24,1.245415664690093e-24,1.245415664690093e-24,1.426075456029478e-24
0.0010696997657860217,1.1291902237354076e-24,1.1291902237354076e-24,1.1291902237354076e-24,1.1291902237354076e-24,1.2006094229456407e-24,1.2006094229456407e-24,1.2006094229456407e-24,1.330872004371513e-24,1.330872004371513e-24,1.5239280748856678e-24
0.0010800457996150668,1.2066715547161721e-24,1.2066715547161721e-24,1.2066715547161721e-24,1.2066715547161721e-24,1.2829913052206624e-24,1.2829913052206624e-24,1.2829913052206624e-24,1.422192077904053e-24,1.422192077904053e-24,1.6284950196274129e-24
0.001090491899293816,1.2894694005979259e-24,1.2894694005979259e-24,1.2894694005979259e-24,1.2894694005979259e-24,1.3710259621594988e-24,1.3710259621594988e-24,1.3710259621594988e-24,1.5197782354796733e-24,1.5197782354796733e-24,1.7402370052833165e-24
0.0011010390326495973,1.3779485632024153e-24,1.3779485632024153e-24,1.3779485632024153e-24,1.3779485632024153e-24,1.4651012686263575e-24,1.4651012686263575e-24,1.4651012686263575e-24,1.6240604352413867e-24,1.6240604352413867e-24,1.859646359636773e-24
0.0011116881768704725,1.4724988758563554e-24,1.4724988758563554e-24,1.4724988758563554e-24,1.4724988758563554e-24,1.5656317141869426e-24,1.5656317141869426e-24,1.5656317141869426e-24,1.7354981376503195e-24,1.7354981376503195e-24,1.9872491923895273e-24
0.001122440318595772,1.573536920971198e-24,1.573536920971198e-24,1.573536920971198e-24,1.573536920971198e-24,1.673060229321972e-24,1.673060229321972e-24,1.673060229321972e-24,1.854582329838011e-24,1.854582329838011e-24,2.123607713166108e-24
0.0011332964540075085,1.6815078654777022e-24,1.6815078654777022e-24,1.6815078654777022e-24,1.6815078654777022e-24,1.7878601369496038e-24,1.7878601369496038e-24,1.7878601369496038e-24,1.9818376888632655e-24,1.9818376888632655e-24,2.269322708572273e-24
0.0011442575889226711,1.796887422201841e-24,1.796887422201841e-24,1.796887422201841e-24,1.796887422201841e-24,1.910537237854749e-24,1.910537237854749e-24,1.910537237854749e-24,2.1178248934043954e-24,2.1178248934043954e-24,2.4250361892208606e-24
0.0011553247388864148,1.92018394582408e-24,1.92018394582408e-24,1.92018394582408e-24,1.92018394582408e-24,2.0416320392139102e-24,2.0416320392139102e-24,2.0416320392139102e-24,2.2631430940724334e-24,2.2631430940724334e-24,2.591434218388128e-24
0.001166498929266149,2.051940672656309e-24,2.051940672656309e-24,2.051940672656309e-24,2.051940672656309e-24,2.181722136033873e-24,2.181722136033873e-24,2.181722136033873e-24,2.418432553228898e-24,2.418432553228898e-24,2.7692499347629447e-24
0.0011777811953465423,2.192738114105107e-24,2.192738114105107e-24,2.192738114105107e-24,2.192738114105107e-24,2.33142475599711e-24,2.33142475599711e-24,2.33142475599711e-24,2.584377465939416e-24,2.584377465939416e-24,2.959266782607371e-24
0.001189172582425434,2.3431966143665522e-24,2.3431966143665522e-24,2.3431966143665522e-24,2.3431966143665522e-24,2.4913994789260682e-24,2.4913994789260682e-24,2.4913994789260682e-24,2.761708974491869e-24,2.761708974491869e-24,3.1623219635601906e-24
0.0012006741459106851,2.5039790836214963e-24,2.5039790836214963e-24,2.5039790836214963e-24,2.5039790836214963e-24,2.6623511428480063e-24,2.6623511428480063e-24,2.6623511428480063e-24,2.9512083897606894e-24,2.9512083897606894e-24,3.379310125291653e-24
0.001212286951417961,2.675793918774063e-24,2.675793918774063e-24,2.675793918774063e-24,2.675793918774063e-24,2.8450329494648155e-24,2.8450329494648155e-24,2.8450329494648155e-24,3.1537106336110033e-24,3.1537106336110033e-24,3.611187303262057e-24
0.0012240120748694594,2.8593981246013066e-24,2.8593981246013066e-24,2.8593981246013066e-24,2.8593981246013066e-24,3.0402497827096388e-24,3.0402497827096388e-24,3.0402497827096388e-24,3.37010791750885e-24,3.37010791750885e-24,3.8589751329504204e-24
0.0012358506025935947,3.0556006490662415e-24,3.0556006490662415e-24,3.0556006490662415e-24,3.0556006490662415e-24,3.248861755012297e-24,3.248861755012297e-24,3.248861755012297e-24,3.601353673545951e-24,3.601353673545951e-24,4.123765351112898e-24
0.001247803631425646,3.265265947488818e-24,3.265265947488818e-24,3.265265947488818e-24,3.265265947488818e-24,3.4717879968975086e-24,3.4717879968975086e-24,3.4717879968975086e-24,3.848466755198162e-24,3.848466755198162e-24,4.406724605902391e-24
0.0012598722688093784,3.4893177912788295e-24,3.4893177912788295e-24,3.4893177912788295e-24,3.4893177912788295e-24,3.710010706613125e-24,3.710010706613125e-24,3.710010706613125e-24,4.112535926326424e-24,4.112535926326424e-24,4.709099597043064e-24
0.0012720576328996466,3.72874333801157e-24,3.72874333801157e-24,3.72874333801157e-24,3.72874333801157e-24,3.964579477630573e-24,3.964579477630573e-24,3.964579477630573e-24,4.394724658198241e-24,4.394724658198241e-24,5.03222256870678e-24
0.001284360852665993,3.984597480778627e-24,3.984597480778627e-24,3.984597480778627e-24,3.984597480778627e-24,4.23661592308406e-24,4.23661592308406e-24,4.23661592308406e-24,4.6962762556649014e-24,4.6962762556649014e-24,5.37751717929254e-24
0.0012967830679972432,4.2580074959769495e-24,4.2580074959769495e-24,4.2580074959769495e-24,4.2580074959769495e-24,4.527318617523731e-24,4.527318617523731e-24,4.527318617523731e-24,5.01851933508028e-24,5.01851933508028e-24,5.746504773971062e-24
0.0013093254298071233,4.550178010013983e-24,4.550178010013983e-24,4.550178010013983e-24,4.550178010013983e-24,4.8379683777557396e-24,4.8379683777557396e-24,4.8379683777557396e-24,5.362873678096479e-24,5.362873678096479e-24,6.140811087630832e-24
0.001321989100140882,4.862396306811655e-24,4.862396306811655e-24,4.862396306811655e-24,4.862396306811655e-24,5.169933906036083e-24,5.169933906036083e-24,5.169933906036083e-24,5.7308564871275495e-24,5.7308564871275495e-24,6.562173407758105e-24
0.001334775252282961,5.196037999494252e-24,5.196037999494252e-24,5.196037999494252e-24,5.196037999494252e-24,5.524677820482266e-24,5.524677820482266e-24,5.524677820482266e-24,6.124089070043036e-24,6.124089070043036e-24,7.012448228810735e-24
0.0013476850708656958,5.5525730912484086e-24,5.5525730912484086e-24,5.5525730912484086e-24,5.5525730912484086e-24,5.903763099271513e-24,5.903763099271513e-24,5.903763099271513e-24,6.544303983542697e-24,6.544303983542697e-24,7.493619431809372e-24
0.0013607197519790734,5.9335724520600155e-24,5.9335724520600155e-24,5.9335724520600155e-24,5.9335724520600155e-24,6.308859967019339e-24,6.308859967019339e-24,6.308859967019339e-24,6.993352666686825e-24,6.993352666686825e-24,8.007807025186132e-24
0.001373880503281548,6.340714739862964e-24,6.340714739862964e-24,6.340714739862964e-24,6.340714739862964e-24,6.741753253678193e-24,6.741753253678193e-24,6.741753253678193e-24,7.4732135982137e-24,7.4732135982137e-24,8.557276485400852e-24
