AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,9.100432079281739e-16,9.100432079281739e-16,9.100432079281739e-16,9.100432079281739e-16,9.545484014654969e-16,9.545484014654969e-16,9.545484014654969e-16,1.058677476136623e-15,1.058677476136623e-15,1.2134426127935036e-15
0.0010473708979594498,1.1247225122399242e-15,1.1247225122399242e-15,1.1247225122399242e-15,1.1247225122399242e-15,1.1797264863885589e-15,1.1797264863885589e-15,1.1797264863885589e-15,1.3084196225397067e-15,1.3084196225397067e-15,1.4995950452246024e-15
0.001096985797892384,1.3900446907561864e-15,1.3900446907561864e-15,1.3900446907561864e-15,1.3900446907561864e-15,1.4580241091493788e-15,1.4580241091493788e-15,1.4580241091493788e-15,1.6170759718949746e-15,1.6170759718949746e-15,1.8532508715454035e-15
0.0011489510001873086,1.7179564037100758e-15,1.7179564037100758e-15,1.7179564037100758e-15,1.7179564037100758e-15,1.801972175235767e-15,1.801972175235767e-15,1.801972175235767e-15,1.9985443919010936e-15,1.9985443919010936e-15,2.2903341506496754e-15
0.0012033778407775893,2.1232225299482315e-15,2.1232225299482315e-15,2.1232225299482315e-15,2.1232225299482315e-15,2.2270576322762613e-15,2.2270576322762613e-15,2.2270576322762613e-15,2.4700012589505745e-15,2.4700012589505745e-15,2.830525428876347e-15
0.0012603829296797275,2.6240909850472475e-15,2.6240909850472475e-15,2.6240909850472475e-15,2.6240909850472475e-15,2.7524208007435256e-15,2.7524208007435256e-15,2.7524208007435256e-15,3.0526748587325824e-15,3.0526748587325824e-15,3.498147895858346e-15
0.001320088400831418,3.2431143701051788e-15,3.2431143701051788e-15,3.2431143701051788e-15,3.2431143701051788e-15,3.401717205056062e-15,3.401717205056062e-15,3.401717205056062e-15,3.772801232132651e-15,3.772801232132651e-15,4.323262584644695e-15
0.0013826221737646563,4.008165447583876e-15,4.008165447583876e-15,4.008165447583876e-15,4.008165447583876e-15,4.20418271074267e-15,4.20418271074267e-15,4.20418271074267e-15,4.66280550529753e-15,4.66280550529753e-15,5.3430219296659145e-15
0.001448118227674533,4.953692168026815e-15,4.953692168026815e-15,4.953692168026815e-15,4.953692168026815e-15,5.195949927594374e-15,5.195949927594374e-15,5.195949927594374e-15,5.762761895606938e-15,5.762761895606938e-15,6.603342629189148e-15
0.0015167168884709225,6.122268757733677e-15,6.122268757733677e-15,6.122268757733677e-15,6.122268757733677e-15,6.421675152481416e-15,6.421675152481416e-15,6.421675152481416e-15,7.122198133233188e-15,7.122198133233188e-15,8.160973136231708e-15
0.0015885651294280528,7.56651270820724e-15,7.56651270820724e-15,7.56651270820724e-15,7.56651270820724e-15,7.936549108179969e-15,7.936549108179969e-15,7.936549108179969e-15,8.802325545967654e-15,8.802325545967654e-15,1.0086048870834264e-14
0.001663816886076129,9.351453983646264e-15,9.351453983646264e-15,9.351453983646264e-15,9.351453983646264e-15,9.808782015735036e-15,9.808782015735036e-15,9.808782015735036e-15,1.0878795221331694e-14,1.0878795221331694e-14,1.2465250207223102e-14
0.0017426333860096508,1.1557463124775916e-14,1.1557463124775916e-14,1.1557463124775916e-14,1.1557463124775916e-14,1.2122674895697915e-14,1.2122674895697915e-14,1.2122674895697915e-14,1.3445104347666914e-14,1.3445104347666914e-14,1.5405705430530502e-14
