AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,5.791897420896044e-15,5.791897420896044e-15,5.791897420896044e-15,5.791897420896044e-15,6.101336642794628e-15,6.101336642794628e-15,6.101336642794628e-15,6.733480434798479e-15,6.733480434798479e-15,3.5144618867582334e-11
0.0010473708979594498,7.050128593103705e-15,7.050128593103705e-15,7.050128593103705e-15,7.050128593103705e-15,7.42679035825587e-15,7.42679035825587e-15,7.42679035825587e-15,8.195823477213164e-15,8.195823477213164e-15,3.514628014078016e-11
0.001096985797892384,8.581697769711048e-15,8.581697769711048e-15,8.581697769711048e-15,8.581697769711048e-15,9.040185496176579e-15,9.040185496176579e-15,9.040185496176579e-15,9.975845764738322e-15,9.975845764738322e-15,3.5148302308788634e-11
0.0011489510001873086,1.0445984869368355e-14,1.0445984869368355e-14,1.0445984869368355e-14,1.0445984869368355e-14,1.1004074420174257e-14,1.1004074420174257e-14,1.1004074420174257e-14,1.2142559902382796e-14,1.2142559902382796e-14,3.5150763772357586e-11
0.0012033778407775893,1.2715269497861548e-14,1.2715269497861548e-14,1.2715269497861548e-14,1.2715269497861548e-14,1.3394598362605212e-14,1.3394598362605212e-14,1.3394598362605212e-14,1.4779970786038702e-14,1.4779970786038702e-14,3.515375996400728e-11
0.0012603829296797275,1.547753327475622e-14,1.547753327475622e-14,1.547753327475622e-14,1.547753327475622e-14,1.630443946894587e-14,1.630443946894587e-14,1.630443946894587e-14,1.799033252613821e-14,1.799033252613821e-14,3.51574070480084e-11
0.001320088400831418,1.8839870937180936e-14,1.8839870937180936e-14,1.8839870937180936e-14,1.8839870937180936e-14,1.984641414397845e-14,1.984641414397845e-14,1.984641414397845e-14,2.1898112905055843e-14,2.1898112905055843e-14,3.5161846424145316e-11
0.0013826221737646563,2.293264247142938e-14,2.293264247142938e-14,2.293264247142938e-14,2.293264247142938e-14,2.415784701611546e-14,2.415784701611546e-14,2.415784701611546e-14,2.665481907281027e-14,2.665481907281027e-14,3.5167250209876306e-11
0.001448118227674533,2.7914527253183784e-14,2.7914527253183784e-14,2.7914527253183784e-14,2.7914527253183784e-14,2.940589510126206e-14,2.940589510126206e-14,2.940589510126206e-14,3.244487157637974e-14,3.244487157637974e-14,3.5173827913437765e-11
0.0015167168884709225,3.397867614861815e-14,3.397867614861815e-14,3.397867614861815e-14,3.397867614861815e-14,3.5794028587464595e-14,3.5794028587464595e-14,3.5794028587464595e-14,3.9492754462515637e-14,3.9492754462515637e-14,3.518183455661282e-11
0.0015885651294280528,4.1360200097280315e-14,4.1360200097280315e-14,4.1360200097280315e-14,4.1360200097280315e-14,4.35699195045159e-14,4.35699195045159e-14,4.35699195045159e-14,4.807171866811862e-14,4.807171866811862e-14,3.519158056208929e-11
0.001663816886076129,5.034528551391587e-14,5.034528551391587e-14,5.034528551391587e-14,5.034528551391587e-14,5.303504412729915e-14,5.303504412729915e-14,5.303504412729915e-14,5.851437613420624e-14,5.851437613420624e-14,3.5203443788746294e-11
