AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,8.310179447306213e-15,8.310179447306213e-15,8.310179447306213e-15,8.310179447306213e-15,8.742770866061855e-15,8.742770866061855e-15,8.742770866061855e-15,9.755985878557738e-15,9.755985878557738e-15,1.1295319062448018e-14
0.0010473708979594498,1.0147356842421766e-14,1.0147356842421766e-14,1.0147356842421766e-14,1.0147356842421766e-14,1.0675583641965297e-14,1.0675583641965297e-14,1.0675583641965297e-14,1.1912795708815107e-14,1.1912795708815107e-14,1.3792437595471875e-14
0.001096985797892384,1.2390689219210742e-14,1.2390689219210742e-14,1.2390689219210742e-14,1.2390689219210742e-14,1.303569404283535e-14,1.303569404283535e-14,1.303569404283535e-14,1.454642343341966e-14,1.454642343341966e-14,1.684160795251291e-14
0.0011489510001873086,1.5129967508900914e-14,1.5129967508900914e-14,1.5129967508900914e-14,1.5129967508900914e-14,1.5917567121148013e-14,1.5917567121148013e-14,1.5917567121148013e-14,1.776228182506003e-14,1.776228182506003e-14,2.0564875287763877e-14
0.0012033778407775893,1.8474833221180527e-14,1.8474833221180527e-14,1.8474833221180527e-14,1.8474833221180527e-14,1.943655184171103e-14,1.943655184171103e-14,1.943655184171103e-14,2.168908784189637e-14,2.168908784189637e-14,2.5111265953584184e-14
0.0012603829296797275,2.255916692151772e-14,2.255916692151772e-14,2.255916692151772e-14,2.255916692151772e-14,2.373349800382521e-14,2.373349800382521e-14,2.373349800382521e-14,2.6484014612908927e-14,2.6484014612908927e-14,3.066275238340951e-14
0.001320088400831418,2.7546446893466435e-14,2.7546446893466435e-14,2.7546446893466435e-14,2.7546446893466435e-14,2.898039385199862e-14,2.898039385199862e-14,2.898039385199862e-14,3.23389824011818e-14,3.23389824011818e-14,3.744153666436263e-14
0.0013826221737646563,3.3636292470126163e-14,3.3636292470126163e-14,3.3636292470126163e-14,3.3636292470126163e-14,3.5387250024484145e-14,3.5387250024484145e-14,3.5387250024484145e-14,3.948834034528107e-14,3.948834034528107e-14,4.5718944329599914e-14
0.001448118227674533,4.1072453936126704e-14,4.1072453936126704e-14,4.1072453936126704e-14,4.1072453936126704e-14,4.3210505374445965e-14,4.3210505374445965e-14,4.3210505374445965e-14,4.821824644574345e-14,4.821824644574345e-14,5.582628435058873e-14
0.0015167168884709225,5.015256880149645e-14,5.015256880149645e-14,5.015256880149645e-14,5.015256880149645e-14,5.2763291112566533e-14,5.2763291112566533e-14,5.2763291112566533e-14,5.88781212371288e-14,5.88781212371288e-14,6.81681100080253e-14
0.0015885651294280528,6.124007494902609e-14,6.124007494902609e-14,6.124007494902609e-14,6.124007494902609e-14,6.442796410050368e-14,6.442796410050368e-14,6.442796410050368e-14,7.189463358678486e-14,7.189463358678486e-14,8.323841141692646e-14
0.001663816886076129,7.477875748710217e-14,7.477875748710217e-14,7.477875748710217e-14,7.477875748710217e-14,7.867141094894929e-14,7.867141094894929e-14,7.867141094894929e-14,8.778877841160678e-14,8.778877841160678e-14,1.0164038782292747e-13
0.0017426333860096508,9.131051155586104e-14,9.131051155586104e-14,9.131051155586104e-14,9.131051155586104e-14,9.606373547740393e-14,9.606373547740393e-14,9.606373547740393e-14,1.0719672986022171e-13,1.0719672986022171e-13,1.2411059106962685e-13
0.0018251834943190425,1.1149703205527374e-13,1.1149703205527374e-13,1.1149703205527374e-13,1.1149703205527374e-13,1.1730107751417943e-13,1.1730107751417943e-13,1.1730107751417943e-13,1.308953046236486e-13,1.308953046236486e-13,1.5154840659596886e-13
0.0019116440753857017,1.361462984415486e-13,1.361462984415486e-13,1.361462984415486e-13,1.361462984415486e-13,1.432334763749014e-13,1.432334763749014e-13,1.432334763749014e-13,1.5983305456107597e-13,1.5983305456107597e-13,1.850520519610004e-13
0.0020022003718155844,1.6624491466415123e-13,1.6624491466415123e-13,1.6624491466415123e-13,1.6624491466415123e-13,1.7489889427451645e-13,1.7489889427451645e-13,1.7489889427451645e-13,1.9516823314461555e-13,1.9516823314461555e-13,2.2596253376186022e-13
0.002097046401323233,2.0299759867181577e-13,2.0299759867181577e-13,2.0299759867181577e-13,2.0299759867181577e-13,2.1356476148342953e-13,2.1356476148342953e-13,2.1356476148342953e-13,2.3831515535627443e-13,2.3831515535627443e-13,2.7591732235108336e-13
0.002196385372416547,2.478754020823548e-13,2.478754020823548e-13,2.478754020823548e-13,2.478754020823548e-13,2.6077870610139894e-13,2.6077870610139894e-13,2.6077870610139894e-13,2.9100080662410584e-13,2.9100080662410584e-13,3.369158927209263e-13
