AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,6.685013016858263e-15,6.685013016858263e-15,6.685013016858263e-15,6.685013016858263e-15,7.023426798342904e-15,7.023426798342904e-15,7.023426798342904e-15,7.878046418259768e-15,7.878046418259768e-15,9.203623495860204e-15
0.0010473708979594498,8.182685187549134e-15,8.182685187549134e-15,8.182685187549134e-15,8.182685187549134e-15,8.596915261601893e-15,8.596915261601893e-15,8.596915261601893e-15,9.642998984587537e-15,9.642998984587537e-15,1.1265550786727986e-14
0.001096985797892384,1.0015887285437669e-14,1.0015887285437669e-14,1.0015887285437669e-14,1.0015887285437669e-14,1.0522919101627286e-14,1.0522919101627286e-14,1.0522919101627286e-14,1.1803361452812666e-14,1.1803361452812666e-14,1.378942050220034e-14
0.0011489510001873086,1.2259789520833113e-14,1.2259789520833113e-14,1.2259789520833113e-14,1.2259789520833113e-14,1.288041385192839e-14,1.288041385192839e-14,1.288041385192839e-14,1.4447719201092713e-14,1.4447719201092713e-14,1.6878723587178384e-14
0.0012033778407775893,1.5006402809031174e-14,1.5006402809031174e-14,1.5006402809031174e-14,1.5006402809031174e-14,1.5766068273897028e-14,1.5766068273897028e-14,1.5766068273897028e-14,1.7684503770227695e-14,1.7684503770227695e-14,2.0660136507325777e-14
0.0012603829296797275,1.836835166576286e-14,1.836835166576286e-14,1.836835166576286e-14,1.836835166576286e-14,1.9298208246621365e-14,1.9298208246621365e-14,1.9298208246621365e-14,2.164643908469247e-14,2.164643908469247e-14,2.528871560083928e-14
0.001320088400831418,2.248349236061302e-14,2.248349236061302e-14,2.248349236061302e-14,2.248349236061302e-14,2.3621668703957195e-14,2.3621668703957195e-14,2.3621668703957195e-14,2.6495983779660785e-14,2.6495983779660785e-14,3.0954255143153075e-14
0.0013826221737646563,2.7520565695177067e-14,2.7520565695177067e-14,2.7520565695177067e-14,2.7520565695177067e-14,2.89137325718929e-14,2.89137325718929e-14,2.89137325718929e-14,3.243199279591894e-14,3.243199279591894e-14,3.7889069836176833e-14
0.001448118227674533,3.368611619738178e-14,3.368611619738178e-14,3.368611619738178e-14,3.368611619738178e-14,3.5391400231554715e-14,3.5391400231554715e-14,3.5391400231554715e-14,3.9697871400493526e-14,3.9697871400493526e-14,4.637752084201666e-14
0.0015167168884709225,4.1232961452619024e-14,4.1232961452619024e-14,4.1232961452619024e-14,4.1232961452619024e-14,4.33202875912222e-14,4.33202875912222e-14,4.33202875912222e-14,4.859155598753169e-14,4.859155598753169e-14,5.676767597493277e-14
0.0015885651294280528,5.0470558855500024e-14,5.0470558855500024e-14,5.0470558855500024e-14,5.0470558855500024e-14,5.3025517631625056e-14,5.3025517631625056e-14,5.3025517631625056e-14,5.947773092085932e-14,5.947773092085932e-14,6.94855821761695e-14
0.001663816886076129,6.177769486951734e-14,6.177769486951734e-14,6.177769486951734e-14,6.177769486951734e-14,6.490505203089827e-14,6.490505203089827e-14,6.490505203089827e-14,7.280278236823365e-14,7.280278236823365e-14,8.505273551260394e-14
0.0017426333860096508,7.561801711603804e-14,7.561801711603804e-14,7.561801711603804e-14,7.561801711603804e-14,7.944600953072349e-14,7.944600953072349e-14,7.944600953072349e-14,8.911310230729692e-14,8.911310230729692e-14,1.0410746505420973e-13
0.0018251834943190425,9.255904618388135e-14,9.255904618388135e-14,9.255904618388135e-14,9.255904618388135e-14,9.72446401761002e-14,9.72446401761002e-14,9.72446401761002e-14,1.0907749325657237e-13,1.0907749325657237e-13,1.2743110747340136e-13
0.0019116440753857017,1.1329544673623567e-13,1.1329544673623567e-13,1.1329544673623567e-13,1.1329544673623567e-13,1.1903077446982559e-13,1.1903077446982559e-13,1.1903077446982559e-13,1.335145924345548e-13,1.335145924345548e-13,1.559800456522676e-13
0.0020022003718155844,1.38677512143578e-13,1.38677512143578e-13,1.38677512143578e-13,1.38677512143578e-13,1.456977499760302e-13,1.456977499760302e-13,1.456977499760302e-13,1.63426439870914e-13,1.63426439870914e-13,1.9092492503654774e-13
0.002097046401323233,1.69746030651214e-13,1.69746030651214e-13,1.69746030651214e-13,1.69746030651214e-13,1.7833904250920319e-13,1.7833904250920319e-13,1.7833904250920319e-13,2.000395669257862e-13,2.000395669257862e-13,2.336986557977778e-13
0.002196385372416547,2.077749627640484e-13,2.077749627640484e-13,2.077749627640484e-13,2.077749627640484e-13,2.1829310396579021e-13,2.1829310396579021e-13,2.1829310396579021e-13,2.4485529004647777e-13,2.4485529004647777e-13,2.860551691259444e-13
0.002300430119772917,2.5432367982910634e-13,2.5432367982910634e-13,2.5432367982910634e-13,2.5432367982910634e-13,2.671982453677211e-13,2.671982453677211e-13,2.671982453677211e-13,2.997112720504261e-13,2.997112720504261e-13,3.5014133694665926e-13
0.0024094035602395245,3.1130090585201805e-13,3.1130090585201805e-13,3.1130090585201805e-13,3.1130090585201805e-13,3.270598155898561e-13,3.270598155898561e-13,3.270598155898561e-13,3.6685687524673603e-13,3.6685687524673603e-13,4.285850041214087e-13
0.0025235391704347657,3.810429844731835e-13,3.810429844731835e-13,3.810429844731835e-13,3.810429844731835e-13,4.003324304261721e-13,4.003324304261721e-13,4.003324304261721e-13,4.4904539624106184e-13,4.4904539624106184e-13,5.246027428795877e-13
0.0026430814869741054,4.664096804307075e-13,4.664096804307075e-13,4.664096804307075e-13,4.664096804307075e-13,4.900206237867613e-13,4.900206237867613e-13,4.900206237867613e-13,5.496469644999082e-13,5.496469644999082e-13,6.421317479386712e-13
0.0027682866303920667,5.709014438363959e-13,5.709014438363959e-13,5.709014438363959e-13,5.709014438363959e-13,5.998020482146354e-13,5.998020482146354e-13,5.998020482146354e-13,6.727867340650168e-13,6.727867340650168e-13,7.859912806544436e-13
0.002899422853882875,6.988029456710551e-13,6.988029456710551e-13,6.988029456710551e-13,6.988029456710551e-13,7.341782765433524e-13,7.341782765433524e-13,7.341782765433524e-13,8.235140349509468e-13,8.235140349509468e-13,9.620802821974714e-13
0.0030367711180354575,8.553587701531015e-13,8.553587701531015e-13,8.553587701531015e-13,8.553587701531015e-13,8.986593882974986e-13,8.986593882974986e-13,8.986593882974986e-13,1.008009420256537e-12,1.008009420256537e-12,1.1776192588579918e-12
0.0031806256927941192,1.046988468222921e-12,1.046988468222921e-12,1.046988468222921e-12,1.046988468222921e-12,1.0999899097770709e-12,1.0999899097770709e-12,1.0999899097770709e-12,1.2338380989297951e-12,1.2338380989297951e-12,1.4414463579542932e-12
0.0033312947879346735,1.281549790382724e-12,1.281549790382724e-12,1.281549790382724e-12,1.281549790382724e-12,1.3464253724691009e-12,1.3464253724691009e-12,1.3464253724691009e-12,1.5102601461632935e-12,1.5102601461632935e-12,1.764379774898136e-12
0.0034891012134067737,1.568660892719808e-12,1.568660892719808e-12,1.568660892719808e-12,1.568660892719808e-12,1.6480708300277527e-12,1.6480708300277527e-12,1.6480708300277527e-12,1.848610211556455e-12,1.848610211556455e-12,2.1596613518711828e-12
0.0036543830709572546,1.9200947281287227e-12,1.9200947281287227e-12,1.9200947281287227e-12,1.9200947281287227e-12,2.0172952146670173e-12,2.0172952146670173e-12,2.0172952146670173e-12,2.262762294927854e-12,2.262762294927854e-12,2.6434995578176544e-12
0.003827494478516311,2.3502617946923984e-12,2.3502617946923984e-12,2.3502617946923984e-12,2.3502617946923984e-12,2.469238523595249e-12,2.469238523595249e-12,2.469238523595249e-12,2.769698647848429e-12,2.769698647848429e-12,3.2357341145762277e-12
0.004008806328898464,2.8768010362559105e-12,2.8768010362559105e-12,2.8768010362559105e-12,2.8768010362559105e-12,3.0224326326043788e-12,3.0224326326043788e-12,3.0224326326043788e-12,3.3902061286279133e-12,3.3902061286279133e-12,3.9606495220580096e-12
0.00419870708444391,3.521303124993033e-12,3.521303124993033e-12,3.521303124993033e-12,3.521303124993033e-12,3.699561193193207e-12,3.699561193193207e-12,3.699561193193207e-12,4.1497285646989275e-12,4.1497285646989275e-12,4.847970840963295e-12
0.004397603609302721,4.310195784071919e-12,4.310195784071919e-12,4.310195784071919e-12,4.310195784071919e-12,4.528389772706192e-12,4.528389772706192e-12,4.528389772706192e-12,5.079410073405994e-12,5.079410073405994e-12,5.934082564976203e-12
0.004605922041145104,5.2758274529588205e-12,5.2758274529588205e-12,5.2758274529588205e-12,5.2758274529588205e-12,5.542904377761201e-12,5.542904377761201e-12,5.542904377761201e-12,6.21737212243052e-12,6.21737212243052e-12,7.2635205621304494e-12
0.004824108704165369,6.4577937309131966e-12,6.4577937309131966e-12,6.4577937309131966e-12,6.4577937309131966e-12,6.784705045969753e-12,6.784705045969753e-12,6.784705045969753e-12,7.610276695546661e-12,7.610276695546661e-12,8.890798262205856e-12
0.00505263106533568,7.90456098931409e-12,7.90456098931409e-12,7.90456098931409e-12,7.90456098931409e-12,8.304711649993687e-12,8.304711649993687e-12,8.304711649993687e-12,9.315239661112882e-12,9.315239661112882e-12,1.0882641972727982e-11
