AvgSa(0.6s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.1683543079379702e-13,2.1683543079379702e-13,2.1683543079379702e-13,2.1683543079379702e-13,2.2902184868318135e-13,2.2902184868318135e-13,2.2902184868318135e-13,2.5531727909685176e-13,2.5531727909685176e-13,2.9513471180862193e-13
0.0010473708979594498,2.6307260840825644e-13,2.6307260840825644e-13,2.6307260840825644e-13,2.6307260840825644e-13,2.778576125451585e-13,2.778576125451585e-13,2.778576125451585e-13,3.097601823549793e-13,3.097601823549793e-13,3.5806813574275434e-13
0.001096985797892384,3.191692291309017e-13,3.191692291309017e-13,3.191692291309017e-13,3.191692291309017e-13,3.3710693234380617e-13,3.3710693234380617e-13,3.3710693234380617e-13,3.7581228701795323e-13,3.7581228701795323e-13,4.344212480076846e-13
0.0011489510001873086,3.8722768379566104e-13,3.8722768379566104e-13,3.8722768379566104e-13,3.8722768379566104e-13,4.089903558635806e-13,4.089903558635806e-13,4.089903558635806e-13,4.559490958454079e-13,4.559490958454079e-13,5.270556128349062e-13
0.0012033778407775893,4.697986692077196e-13,4.697986692077196e-13,4.697986692077196e-13,4.697986692077196e-13,4.96201932207136e-13,4.96201932207136e-13,4.96201932207136e-13,5.531739785620995e-13,5.531739785620995e-13,6.394429837277691e-13
0.0012603829296797275,5.699767832348704e-13,5.699767832348704e-13,5.699767832348704e-13,5.699767832348704e-13,6.020101794483792e-13,6.020101794483792e-13,6.020101794483792e-13,6.711307322385114e-13,6.711307322385114e-13,7.757954179433836e-13
0.001320088400831418,6.915165042392276e-13,6.915165042392276e-13,6.915165042392276e-13,6.915165042392276e-13,7.303805822508839e-13,7.303805822508839e-13,7.303805822508839e-13,8.142401436267581e-13,8.142401436267581e-13,9.41223136100844e-13
0.0013826221737646563,8.389729015298844e-13,8.389729015298844e-13,8.389729015298844e-13,8.389729015298844e-13,8.861242104210431e-13,8.861242104210431e-13,8.861242104210431e-13,9.878656715390679e-13,9.878656715390679e-13,1.1419260431828539e-12
0.001448118227674533,1.0178723503870928e-12,1.0178723503870928e-12,1.0178723503870928e-12,1.0178723503870928e-12,1.075078028326564e-12,1.075078028326564e-12,1.075078028326564e-12,1.1985144587180043e-12,1.1985144587180043e-12,1.385426088760611e-12
0.0015167168884709225,1.234919649720777e-12,1.234919649720777e-12,1.234919649720777e-12,1.234919649720777e-12,1.3043236528221182e-12,1.3043236528221182e-12,1.3043236528221182e-12,1.4540812067273493e-12,1.4540812067273493e-12,1.6808491748454523e-12
0.0015885651294280528,1.4982493047251552e-12,1.4982493047251552e-12,1.4982493047251552e-12,1.4982493047251552e-12,1.582452758298195e-12,1.582452758298195e-12,1.582452758298195e-12,1.764144053814071e-12,1.764144053814071e-12,2.039267176718113e-12
0.001663816886076129,1.8177303921083617e-12,1.8177303921083617e-12,1.8177303921083617e-12,1.8177303921083617e-12,1.919889075711573e-12,1.919889075711573e-12,1.919889075711573e-12,2.1403235446607874e-12,2.1403235446607874e-12,2.474112895002542e-12
0.0017426333860096508,2.2053364336453544e-12,2.2053364336453544e-12,2.2053364336453544e-12,2.2053364336453544e-12,2.3292790534867943e-12,2.3292790534867943e-12,2.3292790534867943e-12,2.596718145507959e-12,2.596718145507959e-12,3.001683490570619e-12
0.0018251834943190425,2.6755941401860326e-12,2.6755941401860326e-12,2.6755941401860326e-12,2.6755941401860326e-12,2.825965821489433e-12,2.825965821489433e-12,2.825965821489433e-12,3.1504326268943973e-12,3.1504326268943973e-12,3.6417512700259815e-12
0.0019116440753857017,3.2461278441602014e-12,3.2461278441602014e-12,3.2461278441602014e-12,3.2461278441602014e-12,3.4285642213074158e-12,3.4285642213074158e-12,3.4285642213074158e-12,3.822219116760578e-12,3.822219116760578e-12,4.4183047128039874e-12
0.0020022003718155844,3.938320024836883e-12,3.938320024836883e-12,3.938320024836883e-12,3.938320024836883e-12,4.1596584538422644e-12,4.1596584538422644e-12,4.1596584538422644e-12,4.637254849321881e-12,4.637254849321881e-12,5.360447512123314e-12
0.002097046401323233,4.778112681523654e-12,4.778112681523654e-12,4.778112681523654e-12,4.778112681523654e-12,5.0466484906678086e-12,5.0466484906678086e-12,5.0466484906678086e-12,5.626085758207613e-12,5.626085758207613e-12,6.50348932407325e-12
0.002196385372416547,5.796979588594672e-12,5.796979588594672e-12,5.796979588594672e-12,5.796979588594672e-12,6.12277697098653e-12,6.12277697098653e-12,6.12277697098653e-12,6.825771277877588e-12,6.825771277877588e-12,7.890269103963467e-12
0.002300430119772917,7.033105870550508e-12,7.033105870550508e-12,7.033105870550508e-12,7.033105870550508e-12,7.428375070258464e-12,7.428375070258464e-12,7.428375070258464e-12,8.281273258218126e-12,8.281273258218126e-12,9.572760625975715e-12
0.0024094035602395245,8.532819105259359e-12,8.532819105259359e-12,8.532819105259359e-12,8.532819105259359e-12,9.012374033204623e-12,9.012374033204623e-12,9.012374033204623e-12,1.0047141046100476e-11,1.0047141046100476e-11,1.1614020357831223e-11
0.0025235391704347657,1.0352325590309477e-11,1.0352325590309477e-11,1.0352325590309477e-11,1.0352325590309477e-11,1.0934139020463795e-11,1.0934139020463795e-11,1.0934139020463795e-11,1.2189555887438404e-11,1.2189555887438404e-11,1.4090550692978498e-11
0.0026430814869741054,1.2559816844315648e-11,1.2559816844315648e-11,1.2559816844315648e-11,1.2559816844315648e-11,1.3265693997863113e-11,1.3265693997863113e-11,1.3265693997863113e-11,1.4788811269907044e-11,1.4788811269907044e-11,1.7095167109588874e-11
0.0027682866303920667,1.5238025290698475e-11,1.5238025290698475e-11,1.5238025290698475e-11,1.5238025290698475e-11,1.609442105276886e-11,1.609442105276886e-11,1.609442105276886e-11,1.7942322164681366e-11,1.7942322164681366e-11,2.0740476711830096e-11
0.002899422853882875,1.8487324905929773e-11,1.8487324905929773e-11,1.8487324905929773e-11,1.8487324905929773e-11,1.952633530257654e-11,1.952633530257654e-11,1.952633530257654e-11,2.1768275947646346e-11,2.1768275947646346e-11,2.516309852229201e-11
0.0030367711180354575,2.2429493038432222e-11,2.2429493038432222e-11,2.2429493038432222e-11,2.2429493038432222e-11,2.3690058132459183e-11,2.3690058132459183e-11,2.3690058132459183e-11,2.6410061829413624e-11,2.6410061829413624e-11,3.05287836938107e-11
0.0031806256927941192,2.7212274383693776e-11,2.7212274383693776e-11,2.7212274383693776e-11,2.7212274383693776e-11,2.8741637671496065e-11,2.8741637671496065e-11,2.8741637671496065e-11,3.204164480045445e-11,3.204164480045445e-11,3.703862753614189e-11
0.0033312947879346735,3.301491816439384e-11,3.301491816439384e-11,3.301491816439384e-11,3.301491816439384e-11,3.4870397169131766e-11,3.4870397169131766e-11,3.4870397169131766e-11,3.8874085496226635e-11,3.8874085496226635e-11,4.4936606172006445e-11
0.0034891012134067737,4.0054896038142935e-11,4.005489603814292e-11,4.005489603814292e-11,4.005489603814292e-11,4.23060304575926e-11,4.23060304575926e-11,4.23060304575926e-11,4.71634503339948e-11,4.71634503339948e-11,5.4518720281527646e-11
0.0036543830709572546,4.8596052506782756e-11,4.859605250678272e-11,4.859605250678272e-11,4.859605250678272e-11,5.132721042421287e-11,5.132721042421287e-11,5.132721042421287e-11,5.722040837768804e-11,5.722040837768804e-11,6.614408862458704e-11
0.003827494478516311,5.895849328853215e-11,5.895849328853203e-11,5.895849328853203e-11,5.895849328853203e-11,6.227203312225598e-11,6.227203312225598e-11,6.227203312225598e-11,6.942187460238482e-11,6.942187460238482e-11,8.024840710446366e-11
0.004008806328898464,7.153058224968081e-11,7.153058224968042e-11,7.153058224968042e-11,7.153058224968042e-11,7.555068894492288e-11,7.555068894492288e-11,7.555068894492288e-11,8.422513592503387e-11,8.422513592503387e-11,9.736027779193843e-11
0.00419870708444391,8.678349651719924e-11,8.678349651719797e-11,8.678349651719797e-11,8.678349651719797e-11,9.166083575318995e-11,9.166083575318995e-11,9.166083575318995e-11,1.0218498941721632e-10,1.0218498941721632e-10,1.1812101988952183e-10
0.004397603609302721,1.0528888526920879e-10,1.0528888526920476e-10,1.0528888526920476e-10,1.0528888526920476e-10,1.1120625011201848e-10,1.1120625011201848e-10,1.1120625011201848e-10,1.2397453500639664e-10,1.2397453500639664e-10,1.4330870511170972e-10
0.004605922041145104,1.2774029401998346e-10,1.277402940199708e-10,1.277402940199708e-10,1.277402940199708e-10,1.3491945564651735e-10,1.3491945564651735e-10,1.3491945564651735e-10,1.5041040193513277e-10,1.5041040193513277e-10,1.738673182799568e-10
0.004824108704165369,1.549791573394812e-10,1.5497915733944185e-10,1.5497915733944185e-10,1.5497915733944185e-10,1.6368917658426907e-10,1.6368917658426907e-10,1.6368917658426907e-10,1.8248335441623926e-10,1.8248335441623926e-10,2.1094213601401698e-10
0.00505263106533568,1.8802633416331677e-10,1.8802633416319623e-10,1.8802633416319623e-10,1.8802633416319623e-10,1.985936453884831e-10,1.985936453884831e-10,1.985936453884831e-10,2.2139542352354304e-10,2.2139542352354304e-10,2.559226494432783e-10
0.005291978735958442,2.281203675744844e-10,2.2812036757411961e-10,2.2812036757411961e-10,2.2812036757411961e-10,2.4094101278644506e-10,2.4094101278644506e-10,2.4094101278644506e-10,2.6860495694833814e-10,2.6860495694833814e-10,3.104946395967408e-10
0.005542664520663107,2.7676390295810715e-10,2.767639029570173e-10,2.767639029570173e-10,2.767639029570173e-10,2.923183746814905e-10,2.923183746814905e-10,2.923183746814905e-10,3.2588127499762905e-10,3.2588127499762905e-10,3.767033571546209e-10
0.005805225516094896,3.3578000419033946e-10,3.3578000418712426e-10,3.3578000418712426e-10,3.3578000418712426e-10,3.5465125338054855e-10,3.5465125338054855e-10,3.5465125338054855e-10,3.95370981233262e-10,3.95370981233262e-10,4.57030174414151e-10
0.006080224261649427,4.073804784816543e-10,4.073804784722893e-10,4.073804784722893e-10,4.073804784722893e-10,4.302757623764533e-10,4.302757623764533e-10,4.302757623764533e-10,4.796784129440259e-10,4.796784129440259e-10,5.544855822341915e-10
0.006368249944718587,4.942487705561333e-10,4.942487705291998e-10,4.942487705291998e-10,4.942487705291998e-10,5.220261592787729e-10,5.220261592787728e-10,5.220261592787728e-10,5.819632465757787e-10,5.819632465757787e-10,6.727220173007424e-10
0.006669919663030122,5.996405328805542e-10,5.996405328040726e-10,5.996405328040726e-10,5.996405328040726e-10,6.333410682045176e-10,6.333410682045173e-10,6.333410682045173e-10,7.060589161788191e-10,7.060589161788191e-10,8.161707482569524e-10
0.0069858797467852495,7.275056411257471e-10,7.275056409113075e-10,7.275056409113075e-10,7.275056409113075e-10,7.683923526344043e-10,7.683923526344035e-10,7.683923526344035e-10,8.566162829623019e-10,8.566162829623019e-10,9.902079509197039e-10
0.007316807143427192,8.826362277819109e-10,8.826362271882519e-10,8.826362271882519e-10,8.826362271882519e-10,9.322414686353015e-10,9.322414686352988e-10,9.322414686352988e-10,1.0392779404073797e-09,1.0392779404073797e-09,1.2013561967544515e-09
