AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.9881158696575153e-10,3.9881158696575153e-10,3.9881158696575153e-10,3.9881158696575153e-10,4.1632979838076e-10,4.1632979838076e-10,4.1632979838076e-10,4.660999877977415e-10,4.660999877977415e-10,5.426360317415856e-10
0.0010473708979594498,4.54229247811975e-10,4.54229247811975e-10,4.54229247811975e-10,4.54229247811975e-10,4.741817372923608e-10,4.741817372923608e-10,4.741817372923608e-10,5.30867842811048e-10,5.30867842811048e-10,6.180391056438795e-10
0.001096985797892384,5.173475804351743e-10,5.173475804351743e-10,5.173475804351743e-10,5.173475804351743e-10,5.400726079523995e-10,5.400726079523995e-10,5.400726079523995e-10,6.046356445102759e-10,6.046356445102759e-10,7.039199643177899e-10
0.0011489510001873086,5.892366470654286e-10,5.892366470654286e-10,5.892366470654286e-10,5.892366470654286e-10,6.15119476180916e-10,6.15119476180916e-10,6.15119476180916e-10,6.886539984655453e-10,6.886539984655453e-10,8.017345692761975e-10
0.0012033778407775893,6.711152025672769e-10,6.711152025672769e-10,6.711152025672769e-10,6.711152025672769e-10,7.005946319101044e-10,7.005946319101044e-10,7.005946319101044e-10,7.843472906417278e-10,7.843472906417278e-10,9.131411980717324e-10
0.0012603829296797275,7.643713563215984e-10,7.643713563215984e-10,7.643713563215984e-10,7.643713563215984e-10,7.979471586607076e-10,7.979471586607076e-10,7.979471586607076e-10,8.933378354001065e-10,8.933378354001065e-10,1.0400285575258976e-09
0.001320088400831418,8.705861052205541e-10,8.705861052205541e-10,8.705861052205541e-10,8.705861052205541e-10,9.088275002480787e-10,9.088275002480787e-10,9.088275002480787e-10,1.0174733790338212e-09,1.0174733790338212e-09,1.1845478034880618e-09
0.0013826221737646563,9.915601367367605e-10,9.915601367367605e-10,9.915601367367605e-10,9.915601367367605e-10,1.0351154412038609e-09,1.0351154412038609e-09,1.0351154412038609e-09,1.1588584251119032e-09,1.1588584251119032e-09,1.3491490099638673e-09
0.001448118227674533,1.1293443564663954e-09,1.1293443564663954e-09,1.1293443564663954e-09,1.1293443564663954e-09,1.1789519752729578e-09,1.1789519752729578e-09,1.1789519752729578e-09,1.3198899126989463e-09,1.3198899126989463e-09,1.5366227058840588e-09
0.0015167168884709225,1.2862746576879382e-09,1.2862746576879382e-09,1.2862746576879382e-09,1.2862746576879382e-09,1.342775602261056e-09,1.342775602261056e-09,1.342775602261056e-09,1.5032978523129187e-09,1.5032978523129187e-09,1.7501471836978049e-09
0.0015885651294280528,1.465011522394205e-09,1.465011522394205e-09,1.465011522394205e-09,1.465011522394205e-09,1.5293636685828857e-09,1.5293636685828857e-09,1.5293636685828857e-09,1.7121916085334098e-09,1.7121916085334098e-09,1.993342381825754e-09
0.001663816886076129,1.668585125164761e-09,1.668585125164761e-09,1.668585125164761e-09,1.668585125164761e-09,1.741879452368795e-09,1.741879452368795e-09,1.741879452368795e-09,1.9501126139019543e-09,1.9501126139019543e-09,2.2703312544567064e-09
0.0017426333860096508,1.90044670453668e-09,1.90044670453668e-09,1.90044670453668e-09,1.90044670453668e-09,1.983925791375999e-09,1.983925791375999e-09,1.983925791375999e-09,2.2210944077872247e-09,2.2210944077872247e-09,2.585809669106368e-09
0.0018251834943190425,2.1645270727865003e-09,2.1645270727865003e-09,2.1645270727865003e-09,2.1645270727865003e-09,2.259606162873081e-09,2.259606162873081e-09,2.259606162873081e-09,2.529731018070308e-09,2.529731018070308e-09,2.945126016930493e-09
0.0019116440753857017,2.465303256055253e-09,2.465303256055253e-09,2.465303256055253e-09,2.465303256055253e-09,2.57359425100126e-09,2.57359425100126e-09,2.57359425100126e-09,2.8812548449429147e-09,2.8812548449429147e-09,3.3543718854471365e-09
0.0020022003718155844,2.8078743945847214e-09,2.8078743945847214e-09,2.8078743945847214e-09,2.8078743945847214e-09,2.931213181006801e-09,2.931213181006801e-09,2.931213181006801e-09,3.281625367203691e-09,3.281625367203691e-09,3.8204853308672195e-09
0.002097046401323233,3.1980481898217675e-09,3.1980481898217675e-09,3.1980481898217675e-09,3.1980481898217675e-09,3.3385257636235054e-09,3.3385257636235054e-09,3.3385257636235054e-09,3.737630174913943e-09,3.737630174913943e-09,4.351368500836505e-09
0.002196385372416547,3.64243936395182e-09,3.64243936395182e-09,3.64243936395182e-09,3.64243936395182e-09,3.802437279542653e-09,3.802437279542653e-09,3.802437279542653e-09,4.257000041246608e-09,4.257000041246608e-09,4.95602160167891e-09
0.002300430119772917,4.14858180107218e-09,4.14858180107218e-09,4.14858180107218e-09,4.14858180107218e-09,4.330812546502835e-09,4.330812546502835e-09,4.330812546502835e-09,4.848539984372034e-09,4.848539984372034e-09,5.644695481323257e-09
0.0024094035602395245,4.725056271164476e-09,4.725056271164476e-09,4.725056271164476e-09,4.725056271164476e-09,4.932609253669336e-09,4.932609253669336e-09,4.932609253669336e-09,5.522278541307689e-09,5.522278541307689e-09,6.429065414692373e-09
0.0025235391704347657,5.381635902204493e-09,5.381635902204493e-09,5.381635902204493e-09,5.381635902204493e-09,5.618029823756014e-09,5.618029823756014e-09,5.618029823756014e-09,6.289637784410668e-09,6.289637784410668e-09,7.322429037783806e-09
0.0026430814869741054,6.1294518666370265e-09,6.1294518666370265e-09,6.1294518666370265e-09,6.1294518666370265e-09,6.398694377448825e-09,6.398694377448825e-09,6.398694377448825e-09,7.1636269628479205e-09,7.1636269628479205e-09,8.339931786071142e-09
0.0027682866303920667,6.981182091141854e-09,6.981182091141854e-09,6.981182091141854e-09,6.981182091141854e-09,7.28783773244203e-09,7.28783773244203e-09,7.28783773244203e-09,8.159063051898427e-09,8.159063051898427e-09,9.4988236591415e-09
0.002899422853882875,7.95126618893759e-09,7.95126618893759e-09,7.95126618893759e-09,7.95126618893759e-09,8.300533776863947e-09,8.300533776863947e-09,8.300533776863947e-09,9.292821949117858e-09,9.292821949117858e-09,1.081875166456744e-08
0.0030367711180354575,9.056150258426951e-09,9.056150258426951e-09,9.056150258426951e-09,9.056150258426951e-09,9.45395102095353e-09,9.45395102095353e-09,9.45395102095353e-09,1.0584124575959588e-08,1.0584124575959588e-08,1.2322092898889759e-08
0.0031806256927941192,1.031456569831844e-08,1.031456569831844e-08,1.031456569831844e-08,1.031456569831844e-08,1.0767643659421528e-08,1.0767643659421528e-08,1.0767643659421528e-08,1.2054862735206587e-08,1.2054862735206587e-08,1.4034333912518182e-08
0.0033312947879346735,1.1747846766049936e-08,1.1747846766049936e-08,1.1747846766049936e-08,1.1747846766049936e-08,1.2263883078952296e-08,1.2263883078952296e-08,1.2263883078952296e-08,1.372997024855959e-08,1.372997024855959e-08,1.5984502790020487e-08
0.0034891012134067737,1.3380292263163558e-08,1.3380292263163558e-08,1.3380292263163558e-08,1.3380292263163558e-08,1.3968035430977604e-08,1.3968035430977604e-08,1.3968035430977604e-08,1.5637845666371306e-08,1.5637845666371306e-08,1.8205661270965703e-08
0.0036543830709572546,1.523957747937669e-08,1.523957747937669e-08,1.523957747937669e-08,1.523957747937669e-08,1.5908991670810328e-08,1.5908991670810328e-08,1.5908991670810328e-08,1.7810833715832086e-08,1.7810833715832086e-08,2.073546525436944e-08
0.003827494478516311,1.7357223379141085e-08,1.7357223379141085e-08,1.7357223379141085e-08,1.7357223379141085e-08,1.8119657353699666e-08,1.8119657353699666e-08,1.8119657353699666e-08,2.028577364971821e-08,2.028577364971821e-08,2.3616803189111056e-08
0.004008806328898464,1.976913098492741e-08,1.9769130984927408e-08,1.9769130984927408e-08,1.9769130984927408e-08,2.0637510491442843e-08,2.0637510491442843e-08,2.0637510491442843e-08,2.3104623791994784e-08,2.3104623791994784e-08,2.6898523173110775e-08
0.00419870708444391,2.2516190016768363e-08,2.251619001676836e-08,2.251619001676836e-08,2.251619001676836e-08,2.3505236927034935e-08,2.3505236927034935e-08,2.3505236927034935e-08,2.6315172868348084e-08,2.6315172868348084e-08,3.063626108795425e-08
0.004397603609302721,2.564497210647399e-08,2.5644972106473977e-08,2.5644972106473977e-08,2.5644972106473977e-08,2.6771453999016483e-08,2.6771453999016483e-08,2.6771453999016483e-08,2.997185018100298e-08,2.997185018100298e-08,3.489338380852343e-08
0.004605922041145104,2.9208520338748132e-08,2.92085203387481e-08,2.92085203387481e-08,2.92085203387481e-08,3.04915347639754e-08,3.04915347639754e-08,3.04915347639754e-08,3.413664836291174e-08,3.413664836291174e-08,3.974206347808525e-08
0.004824108704165369,3.3267248504483204e-08,3.326724850448312e-08,3.326724850448312e-08,3.326724850448312e-08,3.472854675044065e-08,3.472854675044065e-08,3.472854675044065e-08,3.888017435497855e-08,3.888017435497855e-08,4.526450106126423e-08
0.00505263106533568,3.788996531148155e-08,3.7889965311481334e-08,3.7889965311481334e-08,3.7889965311481334e-08,3.9554321159077265e-08,3.9554321159077265e-08,3.9554321159077265e-08,4.4282846423771785e-08,4.4282846423771785e-08,5.155431991805664e-08
0.005291978735958442,4.315504091628155e-08,4.315504091628099e-08,4.315504091628099e-08,4.315504091628099e-08,4.505067063557536e-08,4.505067063557536e-08,4.505067063557536e-08,5.043625751302943e-08,5.043625751302943e-08,5.8718153024442104e-08
0.005542664520663107,4.915173555355767e-08,4.915173555355626e-08,4.915173555355626e-08,4.915173555355626e-08,5.131077626140069e-08,5.131077626140069e-08,5.131077626140069e-08,5.744472804214183e-08,5.744472804214183e-08,6.687745074806101e-08
0.005805225516094896,5.598171278763177e-08,5.598171278762823e-08,5.598171278762823e-08,5.598171278762823e-08,5.8440767276352594e-08,5.8440767276352594e-08,5.8440767276352594e-08,6.542707447652009e-08,6.542707447652009e-08,7.617053982652585e-08
0.006080224261649427,6.376076304056095e-08,6.376076304055212e-08,6.376076304055212e-08,6.376076304055212e-08,6.65615203142872e-08,6.65615203142872e-08,6.65615203142872e-08,7.451862365276815e-08,7.451862365276815e-08,8.675496845460052e-08
0.006368249944718587,7.262076661610343e-08,7.262076661608166e-08,7.262076661608166e-08,7.262076661608166e-08,7.581070865478698e-08,7.581070865478698e-08,7.581070865478698e-08,8.487350700787261e-08,8.487350700787261e-08,9.881017723689462e-08
0.006669919663030122,8.271192949908407e-08,8.271192949903082e-08,8.271192949903082e-08,8.271192949903082e-08,8.63451362321238e-08,8.63451362321238e-08,8.63451362321238e-08,9.666727360688206e-08,9.666727360688206e-08,1.1254054128716032e-07
0.0069858797467852495,9.420532983404169e-08,9.420532983391272e-08,9.420532983391272e-08,9.420532983391272e-08,9.834339597034848e-08,9.834339597034848e-08,9.834339597034848e-08,1.1009986626812662e-07,1.1009986626812662e-07,1.281788350473e-07
0.007316807143427192,1.0729581825403137e-07,1.072958182537218e-07,1.072958182537218e-07,1.072958182537218e-07,1.1200889751168129e-07,1.1200889751168129e-07,1.1200889751168129e-07,1.2539901124065634e-07,1.2539901124065634e-07,1.4599017856558448e-07
0.007663410868007463,1.2220532122928324e-07,1.2220532122854704e-07,1.2220532122854704e-07,1.2220532122854704e-07,1.2757331566769683e-07,1.2757331566769683e-07,1.2757331566769683e-07,1.428240788995095e-07,1.428240788995095e-07,1.6627653213571657e-07
0.008026433522257174,1.3918660343782977e-07,1.3918660343609518e-07,1.3918660343609518e-07,1.3918660343609518e-07,1.4530051805530277e-07,1.4530051805530277e-07,1.4530051805530277e-07,1.6267048090956236e-07,1.6267048090956236e-07,1.8938181549467726e-07
0.008406652885618326,1.5852755294204386e-07,1.585275529379945e-07,1.585275529379945e-07,1.585275529379945e-07,1.6549103850311697e-07,1.6549103850311697e-07,1.6549103850311697e-07,1.8527467840342665e-07,1.8527467840342665e-07,2.1569773836535724e-07
0.008804883581643464,1.805560618181888e-07,1.805560618088228e-07,1.805560618088228e-07,1.805560618088228e-07,1.8848717206622922e-07,1.884871720662292e-07,1.884871720662292e-07,2.1101988607728316e-07,2.1101988607728316e-07,2.456704411892401e-07
0.009221978823334321,2.056455849808928e-07,2.0564558495942889e-07,2.0564558495942889e-07,2.0564558495942889e-07,2.1467877802536178e-07,2.1467877802536176e-07,2.1467877802536176e-07,2.403425689062914e-07,2.403425689062914e-07,2.7980805862932384e-07
0.009658832241158708,2.3422147144217426e-07,2.3422147139343852e-07,2.3422147139343852e-07,2.3422147139343852e-07,2.4450988924877694e-07,2.4450988924877684e-07,2.4450988924877684e-07,2.7373984161830686e-07,2.7373984161830686e-07,3.186893340668905e-07
0.01011637979766207,2.6676817534030417e-07,2.667681752306633e-07,2.667681752306633e-07,2.667681752306633e-07,2.784862399652864e-07,2.784862399652861e-07,2.784862399652861e-07,3.1177789636875155e-07,3.1177789636875155e-07,3.6297343113272094e-07
0.010595601792776159,3.0383746898996655e-07,3.038374687455761e-07,3.038374687455761e-07,3.038374687455761e-07,3.171838395662625e-07,3.1718383956626184e-07,3.1718383956626184e-07,3.551016014901835e-07,3.5510160149018345e-07,4.134111086060831e-07
0.011097524964120722,3.46057797195457e-07,3.4605779665571686e-07,3.4605779665571686e-07,3.4605779665571686e-07,3.612587377873702e-07,3.612587377873686e-07,3.612587377873686e-07,4.044454340426745e-07,4.044454340426743e-07,4.708574481270376e-07
