im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.7382288360036173e-13,3.7382288360036173e-13,3.7382288360036173e-13,3.7382288360036173e-13,3.91660424094487e-13,3.91660424094487e-13,3.91660424094487e-13,4.3248047004458447e-13,4.3248047004458447e-13,2.414739367636445e-12
0.001009671904360419,3.883266681473748e-13,3.883266681473748e-13,3.883266681473748e-13,3.883266681473748e-13,4.068562792865167e-13,4.068562792865167e-13,4.068562792865167e-13,4.492600831900912e-13,4.492600831900912e-13,2.4338263150867237e-12
0.001019437354454795,4.0339317845413814e-13,4.0339317845413814e-13,4.0339317845413814e-13,4.0339317845413814e-13,4.226417115734263e-13,4.226417115734263e-13,4.226417115734263e-13,4.666907209371434e-13,4.666907209371434e-13,2.4536538083559543e-12
0.0010292972550485203,4.1904424746223056e-13,4.1904424746223056e-13,4.1904424746223056e-13,4.1904424746223056e-13,4.390395956895701e-13,4.390395956895701e-13,4.390395956895701e-13,4.847976420940427e-13,4.847976420940427e-13,2.474250579545558e-12
0.0010392525196577912,4.3530255519963106e-13,4.3530255519963106e-13,4.3530255519963106e-13,4.3530255519963106e-13,4.560736938757482e-13,4.560736938757482e-13,4.560736938757482e-13,5.036070854741402e-13,5.036070854741402e-13,2.495646475520731e-12
0.0010493040706342459,4.521916616464393e-13,4.521916616464393e-13,4.521916616464393e-13,4.521916616464393e-13,4.737686903131661e-13,4.737686903131661e-13,4.737686903131661e-13,5.23146307918608e-13,5.23146307918608e-13,2.5178725011616567e-12
0.0010594528392504174,4.697360408757376e-13,4.697360408757376e-13,4.697360408757376e-13,4.697360408757376e-13,4.921502268933806e-13,4.921502268933806e-13,4.921502268933806e-13,5.434436237944364e-13,5.434436237944364e-13,2.5409608642928043e-12
0.0010696997657860217,4.879611165190771e-13,4.879611165190771e-13,4.879611165190771e-13,4.879611165190771e-13,5.11244940376077e-13,5.11244940376077e-13,5.11244940376077e-13,5.645284460249077e-13,5.645284460249077e-13,2.5649450223554247e-12
0.0010800457996150668,5.068932986079577e-13,5.068932986079577e-13,5.068932986079577e-13,5.068932986079577e-13,5.310805009884974e-13,5.310805009884974e-13,5.310805009884974e-13,5.864313287119729e-13,5.864313287119729e-13,2.589859730890857e-12
0.001090491899293816,5.265600218447114e-13,5.265600218447114e-13,5.265600218447114e-13,5.265600218447114e-13,5.516856525224796e-13,5.516856525224796e-13,5.516856525224796e-13,6.091840114123254e-13,6.091840114123254e-13,2.6157410939049242e-12
0.0011010390326495973,5.469897853582494e-13,5.469897853582494e-13,5.469897853582494e-13,5.469897853582494e-13,5.730902539872102e-13,5.730902539872102e-13,5.730902539872102e-13,6.3281946513133e-13,6.3281946513133e-13,2.6426266161864028e-12
0.0011116881768704725,5.68212194002266e-13,5.68212194002266e-13,5.68212194002266e-13,5.68212194002266e-13,5.953253228780373e-13,5.953253228780373e-13,5.953253228780373e-13,6.573719401014421e-13,6.573719401014421e-13,2.6705552576553675e-12
0.001122440318595772,5.902580012557436e-13,5.902580012557436e-13,5.902580012557436e-13,5.902580012557436e-13,6.184230801240404e-13,6.184230801240404e-13,6.184230801240404e-13,6.828770154143485e-13,6.828770154143485e-13,2.699567489820158e-12
0.0011332964540075085,6.13159153787952e-13,6.13159153787952e-13,6.13159153787952e-13,6.13159153787952e-13,6.42416996779517e-13,6.42416996779517e-13,6.42416996779517e-13,7.093716505787832e-13,7.093716505787832e-13,2.7297053544248167e-12
0.0011442575889226711,6.369488377524982e-13,6.369488377524982e-13,6.369488377524982e-13,6.369488377524982e-13,6.673418425270247e-13,6.673418425270247e-13,6.673418425270247e-13,7.368942390787018e-13,7.368942390787018e-13,2.761012524371951e-12
0.0011553247388864148,6.616615268775068e-13,6.616615268775068e-13,6.616615268775068e-13,6.616615268775068e-13,6.932337360622612e-13,6.932337360622612e-13,6.932337360622612e-13,7.654846640094267e-13,7.654846640094267e-13,2.7935343670093042e-12
0.001166498929266149,6.873330324216525e-13,6.873330324216525e-13,6.873330324216525e-13,6.873330324216525e-13,7.201301974338247e-13,7.201301974338247e-13,7.201301974338247e-13,7.95184355872415e-13,7.95184355872415e-13,2.827318009871778e-12
0.0011777811953465423,7.140005550683985e-13,7.140005550683985e-13,7.140005550683985e-13,7.140005550683985e-13,7.480702024136678e-13,7.480702024136678e-13,7.480702024136678e-13,8.260363526123657e-13,8.260363526123657e-13,2.8624124089741336e-12
0.001189172582425434,7.417027388336571e-13,7.417027388336571e-13,7.417027388336571e-13,7.417027388336571e-13,7.77094238977045e-13,7.77094238977045e-13,7.77094238977045e-13,8.580853619836788e-13,8.580853619836788e-13,2.8988684197533497e-12
0.0012006741459106851,7.704797270649851e-13,7.704797270649851e-13,7.704797270649851e-13,7.704797270649851e-13,8.072443659737982e-13,8.072443659737982e-13,8.072443659737982e-13,8.913778263366379e-13,8.913778263366379e-13,2.9367388707634366e-12
0.001212286951417961,8.003732206134832e-13,8.003732206134832e-13,8.003732206134832e-13,8.003732206134832e-13,8.385642740760172e-13,8.385642740760172e-13,8.385642740760172e-13,9.25961989917221e-13,9.25961989917221e-13,2.976078640229523e-12
0.0012240120748694594,8.314265382626559e-13,8.314265382626559e-13,8.314265382626559e-13,8.314265382626559e-13,8.710993490903584e-13,8.710993490903584e-13,8.710993490903584e-13,9.618879687780206e-13,9.618879687780206e-13,3.0169447355720986e-12
0.0012358506025935947,8.636846795018537e-13,8.636846795018537e-13,8.636846795018537e-13,8.636846795018537e-13,9.048967377268175e-13,9.048967377268175e-13,9.048967377268175e-13,9.992078234016371e-13,9.992078234016371e-13,3.0593963760167197e-12
0.001247803631425646,8.971943897352065e-13,8.971943897352065e-13,8.971943897352065e-13,8.971943897352065e-13,9.400054159192106e-13,9.400054159192106e-13,9.400054159192106e-13,1.0379756341417244e-12,1.0379756341417244e-12,3.10349507840882e-12
0.0012598722688093784,9.320042280205816e-13,9.320042280205816e-13,9.320042280205816e-13,9.320042280205816e-13,9.764762597964001e-13,9.764762597964001e-13,9.764762597964001e-13,1.0782475795910545e-12,1.0782475795910545e-12,3.1493047463580213e-12
0.0012720576328996466,9.681646374367094e-13,9.681646374367094e-13,9.681646374367094e-13,9.681646374367094e-13,1.0143621194070988e-12,1.0143621194070988e-12,1.0143621194070988e-12,1.120082017990142e-12,1.120082017990142e-12,3.1968917628411146e-12
0.001284360852665993,1.005728018180472e-12,1.005728018180472e-12,1.005728018180472e-12,1.005728018180472e-12,1.0537178953051085e-12,1.0537178953051085e-12,1.0537178953051085e-12,1.1635395717944284e-12,1.1635395717944284e-12,3.2463250863979227e-12
0.0012967830679972432,1.0447488035002045e-12,1.0447488035002045e-12,1.0447488035002045e-12,1.0447488035002045e-12,1.0946006181058973e-12,1.0946006181058973e-12,1.0946006181058973e-12,1.208683215522485e-12,1.208683215522485e-12,3.297676351059353e-12
0.0013093254298071233,1.0852835385751852e-12,1.0852835385751852e-12,1.0852835385751852e-12,1.0852835385751852e-12,1.137069531129947e-12,1.137069531129947e-12,1.137069531129947e-12,1.2555783670127013e-12,1.2555783670127013e-12,3.351019970152628e-12
0.001321989100140882,1.1273909624554482e-12,1.1273909624554482e-12,1.1273909624554482e-12,1.1273909624554482e-12,1.1811861762524524e-12,1.1811861762524524e-12,1.1811861762524524e-12,1.3042929822204977e-12,1.3042929822204977e-12,3.40643324413389e-12
0.001334775252282961,1.1711320931807982e-12,1.1711320931807982e-12,1.1711320931807982e-12,1.1711320931807982e-12,1.2270144830839198e-12,1.2270144830839198e-12,1.2270144830839198e-12,1.354897653693599e-12,1.354897653693599e-12,3.463996472604631e-12
0.0013476850708656958,1.2165703162022915e-12,1.2165703162022915e-12,1.2165703162022915e-12,1.2165703162022915e-12,1.2746208616108204e-12,1.2746208616108204e-12,1.2746208616108204e-12,1.4074657128679708e-12,1.4074657128679708e-12,3.5237930706741633e-12
0.0013607197519790734,1.2637714762343799e-12,1.2637714762343799e-12,1.2637714762343799e-12,1.2637714762343799e-12,1.3240742984305982e-12,1.3240742984305982e-12,1.3240742984305982e-12,1.4620733363327372e-12,1.4620733363327372e-12,3.58590968983683e-12
0.001373880503281548,1.3128039726706884e-12,1.3128039726706884e-12,1.3128039726706884e-12,1.3128039726706884e-12,1.3754464567203626e-12,1.3754464567203626e-12,1.3754464567203626e-12,1.5187996562179083e-12,1.5187996562179083e-12,3.650436343538949e-12
0.0013871685441119313,1.3637388587019442e-12,1.3637388587019442e-12,1.3637388587019442e-12,1.3637388587019442e-12,1.4288117800843828e-12,1.4288117800843828e-12,1.4288117800843828e-12,1.5777268748651758e-12,1.5777268748651758e-12,3.717466537617786e-12
