AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.8161896792667427e-14,2.8161896792667427e-14,2.8161896792667427e-14,2.8161896792667427e-14,2.91645773218506e-14,2.91645773218506e-14,2.91645773218506e-14,3.258799784061333e-14,3.258799784061333e-14,3.780596953387561e-14
0.0010473708979594498,3.388182258576205e-14,3.388182258576205e-14,3.388182258576205e-14,3.388182258576205e-14,3.508815623757869e-14,3.508815623757869e-14,3.508815623757869e-14,3.920690319227162e-14,3.920690319227162e-14,4.54846900370461e-14
0.001096985797892384,4.076351497857769e-14,4.076351497857769e-14,4.076351497857769e-14,4.076351497857769e-14,4.221486547073374e-14,4.221486547073374e-14,4.221486547073374e-14,4.717016569862493e-14,4.717016569862493e-14,5.472302535549026e-14
0.0011489510001873086,4.9042938856157606e-14,4.9042938856157606e-14,4.9042938856157606e-14,4.9042938856157606e-14,5.078907123662256e-14,5.078907123662256e-14,5.078907123662256e-14,5.6750835972025855e-14,5.6750835972025855e-14,6.583774680169559e-14
0.0012033778407775893,5.900398562078928e-14,5.900398562078928e-14,5.900398562078928e-14,5.900398562078928e-14,6.110477265092893e-14,6.110477265092893e-14,6.110477265092893e-14,6.827742357533604e-14,6.827742357533604e-14,7.920996469252145e-14
0.0012603829296797275,7.098820748384242e-14,7.098820748384242e-14,7.098820748384242e-14,7.098820748384242e-14,7.351568260278374e-14,7.351568260278374e-14,7.351568260278374e-14,8.214516121637045e-14,8.214516121637045e-14,9.529819615969601e-14
0.001320088400831418,8.540652887681354e-14,8.540652887681354e-14,8.540652887681354e-14,8.540652887681354e-14,8.844735614069986e-14,8.844735614069986e-14,8.844735614069986e-14,9.882955679805377e-14,9.882955679805377e-14,1.14654087146108e-13
0.0013826221737646563,1.0275333655165486e-13,1.0275333655165486e-13,1.0275333655165486e-13,1.0275333655165486e-13,1.0641178223901236e-13,1.0641178223901236e-13,1.0641178223901236e-13,1.1890269800764863e-13,1.1890269800764863e-13,1.3794132767607448e-13
0.001448118227674533,1.2362343150283443e-13,1.2362343150283443e-13,1.2362343150283443e-13,1.2362343150283443e-13,1.2802493927879376e-13,1.2802493927879376e-13,1.2802493927879376e-13,1.4305286850964041e-13,1.4305286850964041e-13,1.6595840898125463e-13
0.0015167168884709225,1.487324239719767e-13,1.487324239719767e-13,1.487324239719767e-13,1.487324239719767e-13,1.5402791619939397e-13,1.5402791619939397e-13,1.5402791619939397e-13,1.7210814835774364e-13,1.7210814835774364e-13,1.9966600279645868e-13
0.0015885651294280528,1.7894127085505235e-13,1.7894127085505235e-13,1.7894127085505235e-13,1.7894127085505235e-13,1.853123235392714e-13,1.853123235392714e-13,1.853123235392714e-13,2.0706480785552874e-13,2.0706480785552874e-13,2.402199016281936e-13
0.001663816886076129,2.152857968700492e-13,2.152857968700492e-13,2.152857968700492e-13,2.152857968700492e-13,2.229508656798832e-13,2.229508656798832e-13,2.229508656798832e-13,2.4912146845671196e-13,2.4912146845671196e-13,2.890106494777998e-13
0.0017426333860096508,2.590122117301545e-13,2.590122117301545e-13,2.590122117301545e-13,2.590122117301545e-13,2.68234122577795e-13,2.68234122577795e-13,2.68234122577795e-13,2.9972020204094247e-13,2.9972020204094247e-13,3.477112219086052e-13
