AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.5126585958247237e-13,2.5126585958247237e-13,2.5126585958247237e-13,2.5126585958247237e-13,2.561757807245241e-13,2.561757807245241e-13,2.561757807245241e-13,2.8782695780703493e-13,2.8782695780703493e-13,3.370663101417801e-13
0.0010473708979594498,2.957364259758346e-13,2.957364259758346e-13,2.957364259758346e-13,2.957364259758346e-13,3.0151533494813327e-13,3.0151533494813327e-13,3.0151533494813327e-13,3.3876833065500594e-13,3.3876833065500594e-13,3.967223642871073e-13
0.001096985797892384,3.480776648060809e-13,3.480776648060809e-13,3.480776648060809e-13,3.480776648060809e-13,3.548793603820222e-13,3.548793603820222e-13,3.548793603820222e-13,3.9872561878557104e-13,3.9872561878557104e-13,4.669367112344993e-13
0.0011489510001873086,4.096825757499097e-13,4.096825757499097e-13,4.096825757499097e-13,4.096825757499097e-13,4.1768807694910517e-13,4.1768807694910517e-13,4.1768807694910517e-13,4.692945139486414e-13,4.692945139486414e-13,5.495780221270767e-13
0.0012033778407775893,4.821907000743236e-13,4.821907000743236e-13,4.821907000743236e-13,4.821907000743236e-13,4.91613063768019e-13,4.91613063768019e-13,4.91613063768019e-13,5.523531231654591e-13,5.523531231654591e-13,6.468456969394774e-13
0.0012603829296797275,5.675317550729749e-13,5.675317550729749e-13,5.675317550729749e-13,5.675317550729749e-13,5.786217462386987e-13,5.786217462386987e-13,5.786217462386987e-13,6.501119523081004e-13,6.501119523081004e-13,7.613283988863078e-13
0.001320088400831418,6.679769911915809e-13,6.679769911915809e-13,6.679769911915809e-13,6.679769911915809e-13,6.810297567240895e-13,6.810297567240895e-13,6.810297567240895e-13,7.651727360781859e-13,7.651727360781859e-13,8.960729486077326e-13
0.0013826221737646563,7.861996386510095e-13,7.861996386510095e-13,7.861996386510095e-13,7.861996386510095e-13,8.015625623450535e-13,8.015625623450535e-13,8.015625623450535e-13,9.005976800744719e-13,9.005976800744719e-13,1.0546654116687408e-12
0.001448118227674533,9.253460522829396e-13,9.253460522829396e-13,9.253460522829396e-13,9.253460522829396e-13,9.43428000038853e-13,9.43428000038853e-13,9.43428000038853e-13,1.0599909577445075e-12,1.0599909577445075e-12,1.2413265374193276e-12
0.0015167168884709225,1.0891194480129896e-12,1.0891194480129896e-12,1.0891194480129896e-12,1.0891194480129896e-12,1.1104016493152279e-12,1.1104016493152279e-12,1.1104016493152279e-12,1.2475946311644684e-12,1.2475946311644684e-12,1.4610240892069604e-12
0.0015885651294280528,1.2818784595380655e-12,1.2818784595380655e-12,1.2818784595380655e-12,1.2818784595380655e-12,1.306927314804271e-12,1.306927314804271e-12,1.306927314804271e-12,1.4684015484644537e-12,1.4684015484644537e-12,1.7196050554761218e-12
0.001663816886076129,1.508753138166375e-12,1.508753138166375e-12,1.508753138166375e-12,1.508753138166375e-12,1.5382352928192995e-12,1.5382352928192995e-12,1.5382352928192995e-12,1.7282882225296084e-12,1.7282882225296084e-12,2.023951260395696e-12
0.0017426333860096508,1.7757814830175765e-12,1.7757814830175765e-12,1.7757814830175765e-12,1.7757814830175765e-12,1.8104815694583155e-12,1.8104815694583155e-12,1.8104815694583155e-12,2.0341712273853012e-12,2.0341712273853012e-12,2.382162515405554e-12
0.0018251834943190425,2.0900701351715745e-12,2.0900701351715745e-12,2.0900701351715745e-12,2.0900701351715745e-12,2.130911654835579e-12,2.130911654835579e-12,2.130911654835579e-12,2.394191274569704e-12,2.394191274569704e-12,2.8037721860424027e-12
0.0019116440753857017,2.459983512449265e-12,2.459983512449265e-12,2.459983512449265e-12,2.459983512449265e-12,2.508053413696162e-12,2.508053413696162e-12,2.508053413696162e-12,2.817929868467098e-12,2.817929868467098e-12,3.300000911099128e-12
0.0020022003718155844,2.8953664184216543e-12,2.8953664184216543e-12,2.8953664184216543e-12,2.8953664184216543e-12,2.951944024370108e-12,2.951944024370108e-12,2.951944024370108e-12,3.3166643066249976e-12,3.3166643066249976e-12,3.884055226550188e-12
0.002097046401323233,3.4078060501212756e-12,3.4078060501212756e-12,3.4078060501212756e-12,3.4078060501212756e-12,3.474397106308742e-12,3.474397106308742e-12,3.474397106308742e-12,3.903667811585122e-12,3.903667811585122e-12,4.571479041763546e-12
0.002196385372416547,4.0109403774782906e-12,4.0109403774782906e-12,4.0109403774782906e-12,4.0109403774782906e-12,4.089317125483525e-12,4.089317125483525e-12,4.089317125483525e-12,4.594562781878534e-12,4.594562781878534e-12,5.380567322118834e-12
0.002300430119772917,4.720821101632663e-12,4.720821101632663e-12,4.720821101632663e-12,4.720821101632663e-12,4.813069445172691e-12,4.813069445172691e-12,4.813069445172691e-12,5.407736563539434e-12,5.407736563539434e-12,6.332852987701902e-12
0.0024094035602395245,5.5563408518251036e-12,5.5563408518251036e-12,5.5563408518251036e-12,5.5563408518251036e-12,5.664915870596087e-12,5.664915870596087e-12,5.664915870596087e-12,6.364830807400684e-12,6.364830807400684e-12,7.453679986303941e-12
0.0025235391704347657,6.5397359902028e-12,6.5397359902028e-12,6.5397359902028e-12,6.5397359902028e-12,6.667527278899498e-12,6.667527278899498e-12,6.667527278899498e-12,7.491317435832147e-12,7.491317435832147e-12,8.77287779237993e-12
0.0026430814869741054,7.697178406090442e-12,7.697178406090442e-12,7.697178406090442e-12,7.697178406090442e-12,7.847586977524382e-12,7.847586977524382e-12,7.847586977524382e-12,8.817176547589987e-12,8.817176547589987e-12,1.0325555282952096e-11
0.0027682866303920667,9.059472049625599e-12,9.059472049625599e-12,9.059472049625599e-12,9.059472049625599e-12,9.236500848626778e-12,9.236500848626778e-12,9.236500848626778e-12,1.0377694302406352e-11,1.0377694302406352e-11,1.2153035118519222e-11
0.002899422853882875,1.0662872742170827e-11,1.0662872742170827e-11,1.0662872742170827e-11,1.0662872742170827e-11,1.087123317919252e-11,1.087123317919252e-11,1.087123317919252e-11,1.2214402020066659e-11,1.2214402020066659e-11,1.430395349640577e-11
0.0030367711180354575,1.2550053081779317e-11,1.2550053081779317e-11,1.2550053081779317e-11,1.2550053081779317e-11,1.279529042147091e-11,1.279529042147091e-11,1.279529042147091e-11,1.4376181486976913e-11,1.4376181486976913e-11,1.6835554545175276e-11
0.0031806256927941192,1.4771238123522808e-11,1.4771238123522808e-11,1.4771238123522808e-11,1.4771238123522808e-11,1.505987906533801e-11,1.505987906533801e-11,1.505987906533801e-11,1.692056588663771e-11,1.692056588663771e-11,1.9815213808872157e-11
0.0033312947879346735,1.738554205945984e-11,1.738554205945984e-11,1.738554205945984e-11,1.738554205945984e-11,1.772526843798227e-11,1.772526843798227e-11,1.772526843798227e-11,1.9915270976738655e-11,1.9915270976738655e-11,2.3322231366809015e-11
0.0034891012134067737,2.04625414723882e-11,2.04625414723882e-11,2.04625414723882e-11,2.04625414723882e-11,2.0862394700201437e-11,2.0862394700201437e-11,2.0862394700201437e-11,2.3439997263326214e-11,2.3439997263326214e-11,2.744994231064478e-11
0.0036543830709572546,2.4084127033654793e-11,2.4084127033654793e-11,2.4084127033654793e-11,2.4084127033654793e-11,2.4554748727760097e-11,2.4554748727760097e-11,2.4554748727760097e-11,2.7588551134762087e-11,2.7588551134762087e-11,3.230820074658538e-11
0.003827494478516311,2.8346682925752535e-11,2.8346682925752535e-11,2.8346682925752535e-11,2.8346682925752535e-11,2.8900598121519593e-11,2.8900598121519593e-11,2.8900598121519593e-11,3.247134140692373e-11,3.247134140692373e-11,3.8026303431464085e-11
0.004008806328898464,3.336365199243873e-11,3.336365199243873e-11,3.336365199243873e-11,3.336365199243873e-11,3.401560248249101e-11,3.401560248249101e-11,3.401560248249101e-11,3.821831772222138e-11,3.821831772222138e-11,4.475643085179047e-11
0.00419870708444391,3.926855488478716e-11,3.926855488478716e-11,3.926855488478716e-11,3.926855488478716e-11,4.0035891554238984e-11,4.0035891554238984e-11,4.0035891554238984e-11,4.4982429004418304e-11,4.4982429004418304e-11,5.2677697325984623e-11
0.004397603609302721,4.621854355414691e-11,4.621854355414691e-11,4.621854355414691e-11,4.621854355414691e-11,4.71216881537268e-11,4.71216881537268e-11,4.71216881537268e-11,5.294369401190646e-11,5.294369401190646e-11,6.200091791843913e-11
0.004605922041145104,5.439858366398668e-11,5.439858366398668e-11,5.439858366398668e-11,5.439858366398668e-11,5.546157231058818e-11,5.546157231058818e-11,5.546157231058818e-11,6.231399232236011e-11,6.231399232236011e-11,7.297421903114349e-11
0.004824108704165369,6.402637723052965e-11,6.402637723052965e-11,6.402637723052965e-11,6.402637723052965e-11,6.52775000998088e-11,6.52775000998088e-11,6.52775000998088e-11,7.334270325511216e-11,7.334270325511216e-11,8.588964199207817e-11
0.00505263106533568,7.535815650239067e-11,7.535815650239067e-11,7.535815650239067e-11,7.535815650239067e-11,7.68307107380661e-11,7.68307107380661e-11,7.68307107380661e-11,8.632334280444974e-11,8.632334280444974e-11,1.0109091538701047e-10
0.005291978735958442,8.869550327641547e-11,8.869550327641547e-11,8.869550327641547e-11,8.869550327641547e-11,9.042867915405428e-11,9.042867915405428e-11,9.042867915405428e-11,1.0160137521789633e-10,1.0160137521789633e-10,1.1898260298603698e-10
0.005542664520663107,1.0439337513767911e-10,1.0439337513767911e-10,1.0439337513767911e-10,1.0439337513767911e-10,1.0643329906716133e-10,1.0643329906716133e-10,1.0643329906716133e-10,1.1958340711531919e-10,1.1958340711531919e-10,1.4004087072602603e-10
0.005805225516094896,1.2286955223245984e-10,1.2286955223245984e-10,1.2286955223245984e-10,1.2286955223245984e-10,1.2527051435738852e-10,1.2527051435738852e-10,1.2527051435738852e-10,1.4074800883938907e-10,1.4074800883938907e-10,1.648261592993706e-10
0.006080224261649427,1.4461575598878242e-10,1.4461575598878242e-10,1.4461575598878242e-10,1.4461575598878242e-10,1.4744165505393397e-10,1.4744165505393397e-10,1.4744165505393397e-10,1.6565845103472614e-10,1.6565845103472614e-10,1.9399809961488416e-10
0.006368249944718587,1.7021073569600958e-10,1.7021073569600958e-10,1.7021073569600958e-10,1.7021073569600958e-10,1.7353677963624847e-10,1.7353677963624847e-10,1.7353677963624847e-10,1.9497769542458625e-10,1.9497769542458625e-10,2.2833306808802997e-10
0.006669919663030122,2.0033567122722837e-10,2.0033567122722837e-10,2.0033567122722837e-10,2.0033567122722837e-10,2.0425037873703304e-10,2.0425037873703304e-10,2.0425037873703304e-10,2.29486038746774e-10,2.29486038746774e-10,2.687448489736466e-10
0.0069858797467852495,2.3579230182947467e-10,2.3579230182947467e-10,2.3579230182947467e-10,2.3579230182947467e-10,2.403998581824601e-10,2.403998581824601e-10,2.403998581824601e-10,2.7010187942104365e-10,2.7010187942104365e-10,3.163089536444514e-10
0.007316807143427192,2.775242634579591e-10,2.775242634579591e-10,2.775242634579591e-10,2.775242634579591e-10,2.8294729327372326e-10,2.8294729327372326e-10,2.8294729327372326e-10,3.179061596281099e-10,3.179061596281099e-10,3.722912440439563e-10
0.007663410868007463,3.266422025220132e-10,3.266422025220132e-10,3.266422025220132e-10,3.266422025220132e-10,3.3302503327419136e-10,3.3302503327419136e-10,3.3302503327419136e-10,3.7417113329706704e-10,3.7417113329706704e-10,4.381816220928738e-10
0.008026433522257174,3.8445333441508753e-10,3.8445333441508753e-10,3.8445333441508753e-10,3.8445333441508753e-10,3.9196583753498685e-10,3.9196583753498685e-10,3.9196583753498685e-10,4.4039422562681577e-10,4.4039422562681577e-10,5.157336816522923e-10
0.008406652885618326,4.524962334939095e-10,4.524962334939095e-10,4.524962334939095e-10,4.524962334939095e-10,4.613383452961176e-10,4.613383452961176e-10,4.613383452961176e-10,5.18337885272371e-10,5.18337885272371e-10,6.070113783334342e-10
0.008804883581643464,5.325817804005409e-10,5.325817804005409e-10,5.325817804005409e-10,5.325817804005409e-10,5.429888231495485e-10,5.429888231495485e-10,5.429888231495485e-10,6.100764898143828e-10,6.100764898143828e-10,7.144439592152256e-10
0.009221978823334321,6.268413564914309e-10,6.268413564914309e-10,6.268413564914309e-10,6.268413564914309e-10,6.390903012231097e-10,6.390903012231097e-10,6.390903012231097e-10,7.180515528449439e-10,7.180515528449439e-10,8.408906143585212e-10
0.009658832241158708,7.37783568010823e-10,7.37783568010823e-10,7.37783568010823e-10,7.37783568010823e-10,7.522004057862782e-10,7.522004057862782e-10,7.522004057862782e-10,8.45136701940541e-10,8.45136701940541e-10,9.897165707400495e-10
0.01011637979766207,8.683610096544897e-10,8.683610096544897e-10,8.683610096544897e-10,8.683610096544897e-10,8.853294274234105e-10,8.853294274234105e-10,8.853294274234105e-10,9.947141568331108e-10,9.947141568331108e-10,1.1648826537550104e-09
0.010595601792776159,1.0220488443565835e-09,1.0220488443565835e-09,1.0220488443565835e-09,1.0220488443565835e-09,1.04202043632784e-09,1.04202043632784e-09,1.04202043632784e-09,1.1707647431546824e-09,1.1707647431546824e-09,1.3710506998610746e-09
0.011097524964120722,1.202937290606636e-09,1.202937290606636e-09,1.202937290606636e-09,1.202937290606636e-09,1.2264435768895564e-09,1.2264435768895564e-09,1.2264435768895564e-09,1.377973837363722e-09,1.377973837363722e-09,1.6137076257951496e-09
0.011623224686798524,1.4158404787362992e-09,1.4158404787362992e-09,1.4158404787362992e-09,1.4158404787362992e-09,1.4435070511144112e-09,1.4435070511144112e-09,1.4435070511144112e-09,1.621856062450962e-09,1.621856062450962e-09,1.899311456317002e-09
0.012173827277396614,1.6664245732558385e-09,1.6664245732558385e-09,1.6664245732558385e-09,1.6664245732558385e-09,1.6989877445659414e-09,1.6989877445659414e-09,1.6989877445659414e-09,1.908902053051891e-09,1.908902053051891e-09,2.235463196833527e-09
0.012750512407130135,1.9613585710632563e-09,1.9613585710632563e-09,1.9613585710632563e-09,1.9613585710632563e-09,1.999684971283149e-09,1.999684971283149e-09,1.999684971283149e-09,2.2467511959439235e-09,2.2467511959439235e-09,2.63110912508801e-09
0.013354515629298987,2.308491788840113e-09,2.308491788840113e-09,2.308491788840113e-09,2.308491788840113e-09,2.353601429411416e-09,2.353601429411416e-09,2.353601429411416e-09,2.644394943210003e-09,2.644394943210003e-09,3.096778885665621e-09
0.013987131026472387,2.7170627632487825e-09,2.7170627632487825e-09,2.7170627632487825e-09,2.7170627632487825e-09,2.7701561834642173e-09,2.7701561834642173e-09,2.7701561834642173e-09,3.11241610900517e-09,3.11241610900517e-09,3.6448657239152857e-09
0.014649713983072856,3.197945123559874e-09,3.197945123559874e-09,3.197945123559874e-09,3.197945123559874e-09,3.260435341483586e-09,3.260435341483586e-09,3.260435341483586e-09,3.6632705185229707e-09,3.6632705185229707e-09,4.289956317377909e-09
0.015343684089300124,3.763936980315403e-09,3.763936980315403e-09,3.763936980315403e-09,3.763936980315403e-09,3.837487098571801e-09,3.837487098571801e-09,3.837487098571801e-09,4.311618504911498e-09,4.311618504911498e-09,5.049218982788874e-09
