AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.206639052765737e-08,1.206639052765737e-08,1.206639052765737e-08,1.206639052765737e-08,1.2222338279257264e-08,1.2222338279257264e-08,1.2222338279257264e-08,1.3609205262541853e-08,1.3609205262541853e-08,1.5687473386546886e-08
0.0010473708979594498,1.3292600989922608e-08,1.3292600989922608e-08,1.3292600989922608e-08,1.3292600989922608e-08,1.3464396460155965e-08,1.3464396460155965e-08,1.3464396460155965e-08,1.4992199606163624e-08,1.4992199606163624e-08,1.728166536017645e-08
0.001096985797892384,1.4643421381918245e-08,1.4643421381918245e-08,1.4643421381918245e-08,1.4643421381918245e-08,1.4832675047216472e-08,1.4832675047216472e-08,1.4832675047216472e-08,1.6515736566786335e-08,1.6515736566786335e-08,1.9037862270363454e-08
0.0011489510001873086,1.6131514810498493e-08,1.6131514810498493e-08,1.6131514810498493e-08,1.6131514810498493e-08,1.6340000807074915e-08,1.6340000807074915e-08,1.6340000807074915e-08,1.819409836226488e-08,1.819409836226488e-08,2.0972527378028035e-08
0.0012033778407775893,1.777083123233139e-08,1.777083123233139e-08,1.777083123233139e-08,1.777083123233139e-08,1.8000503987607952e-08,1.8000503987607952e-08,1.8000503987607952e-08,2.0043018597488106e-08,2.0043018597488106e-08,2.3103796972969376e-08
0.0012603829296797275,1.957673822608828e-08,1.957673822608828e-08,1.957673822608828e-08,1.957673822608828e-08,1.9829750780239866e-08,1.9829750780239866e-08,1.9829750780239866e-08,2.2079829757156807e-08,2.2079829757156807e-08,2.5451650390312232e-08
0.001320088400831418,2.1566165053955842e-08,2.1566165053955842e-08,2.1566165053955842e-08,2.1566165053955842e-08,2.184488924332509e-08,2.184488924332509e-08,2.184488924332509e-08,2.4323625687061755e-08,2.4323625687061755e-08,2.803809730435039e-08
0.0013826221737646563,2.375776136295464e-08,2.375776136295464e-08,2.375776136295464e-08,2.375776136295464e-08,2.4064810054544015e-08,2.4064810054544015e-08,2.4064810054544015e-08,2.6795440587018827e-08,2.6795440587018827e-08,3.088738405554547e-08
0.001448118227674533,2.617207201378888e-08,2.617207201378888e-08,2.617207201378888e-08,2.617207201378888e-08,2.6510323599264224e-08,2.6510323599264224e-08,2.6510323599264224e-08,2.9518446193406682e-08,2.9518446193406682e-08,3.402622094486539e-08
0.0015167168884709225,2.8831729676137776e-08,2.8831729676137776e-08,2.8831729676137776e-08,2.8831729676137776e-08,2.9204355054959093e-08,2.9204355054959093e-08,2.9204355054959093e-08,3.251816899976861e-08,3.251816899976861e-08,3.748403262620258e-08
0.0015885651294280528,3.176166699584393e-08,3.176166699584393e-08,3.176166699584393e-08,3.176166699584393e-08,3.2172159300472934e-08,3.2172159300472934e-08,3.2172159300472934e-08,3.582272955177965e-08,3.582272955177965e-08,4.129323394413613e-08
0.001663816886076129,3.49893503229339e-08,3.49893503229339e-08,3.49893503229339e-08,3.49893503229339e-08,3.544155766477318e-08,3.544155766477318e-08,3.544155766477318e-08,3.9463106059819566e-08,3.9463106059819566e-08,4.54895338028433e-08
0.0017426333860096508,3.854503719151851e-08,3.854503719151851e-08,3.854503719151851e-08,3.854503719151851e-08,3.904319873455436e-08,3.904319873455436e-08,3.904319873455436e-08,4.347342480034634e-08,4.347342480034634e-08,5.0112269914730456e-08
0.0018251834943190425,4.246205996528266e-08,4.246205996528265e-08,4.246205996528265e-08,4.246205996528265e-08,4.301084566559879e-08,4.301084566559879e-08,4.301084566559879e-08,4.7891280028397e-08,4.7891280028397e-08,5.5204777566835774e-08
0.0019116440753857017,4.6777138307556294e-08,4.6777138307556274e-08,4.6777138307556274e-08,4.6777138307556274e-08,4.7381692691250395e-08,4.7381692691250395e-08,4.7381692691250395e-08,5.275808640018558e-08,5.275808640018558e-08,6.081479586194486e-08
0.0020022003718155844,5.1530723405170694e-08,5.1530723405170654e-08,5.1530723405170654e-08,5.1530723405170654e-08,5.219671379506353e-08,5.219671379506353e-08,5.219671379506353e-08,5.811946720953003e-08,5.811946720953003e-08,6.69949152426623e-08
0.002097046401323233,5.6767377172974913e-08,5.6767377172974814e-08,5.6767377172974814e-08,5.6767377172974814e-08,5.750104681620543e-08,5.750104681620543e-08,5.750104681620543e-08,6.40256820775701e-08,6.40256820775701e-08,7.380307049368096e-08
0.002196385372416547,6.253618999380334e-08,6.25361899938031e-08,6.25361899938031e-08,6.25361899938031e-08,6.334441658834619e-08,6.334441658834619e-08,6.334441658834619e-08,7.053209810508199e-08,7.053209810508199e-08,8.13030838438134e-08
0.002300430119772917,6.889124090993276e-08,6.889124090993221e-08,6.889124090993221e-08,6.889124090993221e-08,6.978160107868535e-08,6.978160107868535e-08,6.978160107868535e-08,7.76997089041307e-08,7.76997089041307e-08,8.956526325900238e-08
0.0024094035602395245,7.589210458001486e-08,7.589210458001359e-08,7.589210458001359e-08,7.589210458001359e-08,7.687294489685534e-08,7.687294489685534e-08,7.687294489685534e-08,8.559570637463034e-08,8.559570637463034e-08,9.866706153489836e-08
0.0025235391704347657,8.360440975386632e-08,8.360440975386341e-08,8.360440975386341e-08,8.360440975386341e-08,8.468492498750396e-08,8.468492498750396e-08,8.468492498750396e-08,9.429411058583127e-08,9.429411058583127e-08,1.0869380236754385e-07
0.0026430814869741054,9.210045450044123e-08,9.210045450043459e-08,9.210045450043459e-08,9.210045450043459e-08,9.32907738095416e-08,9.32907738095416e-08,9.32907738095416e-08,1.038764636674431e-07,1.038764636674431e-07,1.1973948020857583e-07
0.0027682866303920667,1.0145988395632768e-07,1.0145988395631266e-07,1.0145988395631266e-07,1.0145988395631266e-07,1.0277116584393288e-07,1.0277116584393288e-07,1.0277116584393288e-07,1.144325942151435e-07,1.144325942151435e-07,1.319076414030261e-07
0.002899422853882875,1.1177043694819067e-07,1.1177043694815694e-07,1.1177043694815694e-07,1.1177043694815694e-07,1.1321497386556516e-07,1.1321497386556516e-07,1.1321497386556516e-07,1.2606145937623544e-07,1.2606145937623544e-07,1.4531235486975443e-07
0.0030367711180354575,1.2312876848823556e-07,1.2312876848816036e-07,1.2312876848816036e-07,1.2312876848816036e-07,1.2472010206872343e-07,1.2472010206872343e-07,1.2472010206872343e-07,1.388720725094209e-07,1.388720725094209e-07,1.600792814239563e-07
0.0031806256927941192,1.3564135585300033e-07,1.3564135585283397e-07,1.3564135585283397e-07,1.3564135585283397e-07,1.3739440385612587e-07,1.3739440385612587e-07,1.3739440385612587e-07,1.529845251148261e-07,1.529845251148261e-07,1.7634685176584836e-07
0.0033312947879346735,1.4942549673932977e-07,1.4942549673896446e-07,1.4942549673896446e-07,1.4942549673896446e-07,1.5135669289514213e-07,1.5135669289514213e-07,1.5135669289514213e-07,1.6853111261413785e-07,1.6853111261413785e-07,1.9426756417831019e-07
0.0034891012134067737,1.6461040885453087e-07,1.6461040885373474e-07,1.6461040885373474e-07,1.6461040885373474e-07,1.667378569191135e-07,1.667378569191135e-07,1.667378569191135e-07,1.8565757453420965e-07,1.8565757453420965e-07,2.1400941409841637e-07
0.0036543830709572546,1.8133844124857324e-07,1.8133844124685112e-07,1.8133844124685112e-07,1.8133844124685112e-07,1.8368208471483694e-07,1.8368208471483694e-07,1.8368208471483694e-07,2.045244607199231e-07,2.045244607199231e-07,2.3575746896398497e-07
0.003827494478516311,1.9976640874372229e-07,1.99766408740025e-07,1.99766408740025e-07,1.99766408740025e-07,2.0234821779831558e-07,2.0234821779831558e-07,2.0234821779831558e-07,2.2530863638352196e-07,2.2530863638352196e-07,2.597156030981077e-07
0.004008806328898464,2.2006706197093054e-07,2.2006706196305213e-07,2.2006706196305213e-07,2.2006706196305213e-07,2.2291123944968704e-07,2.2291123944968704e-07,2.2291123944968704e-07,2.4820494009906425e-07,2.4820494009906425e-07,2.86108408894789e-07
0.00419870708444391,2.424307067936263e-07,2.424307067769639e-07,2.424307067769639e-07,2.424307067769639e-07,2.4556391506590085e-07,2.4556391506590085e-07,2.4556391506590085e-07,2.734280102844007e-07,2.734280102844007e-07,3.1518330222151924e-07
0.004397603609302721,2.670669883000219e-07,2.6706698826504513e-07,2.6706698826504513e-07,2.6706698826504513e-07,2.705185992081333e-07,2.705185992081333e-07,2.705185992081333e-07,3.012142972924445e-07,3.012142972924445e-07,3.472128417751366e-07
0.004605922041145104,2.942068560880739e-07,2.9420685601520124e-07,2.9420685601520124e-07,2.9420685601520124e-07,2.980092262835529e-07,2.980092262835529e-07,2.980092262835529e-07,3.318242799734216e-07,3.318242799734216e-07,3.824972841329421e-07
0.004824108704165369,3.241047292672724e-07,3.2410472911657873e-07,3.2410472911657873e-07,3.2410472911657873e-07,3.282935035224344e-07,3.282935035224344e-07,3.282935035224344e-07,3.6554490748649093e-07,3.6554490748649093e-07,4.2136739845040856e-07
0.00505263106533568,3.570408814747222e-07,3.5704088116542886e-07,3.5704088116542886e-07,3.5704088116542886e-07,3.6165532680789643e-07,3.6165532680789643e-07,3.6165532680789643e-07,4.0269228925055177e-07,4.0269228925055177e-07,4.641875671906683e-07
0.005291978735958442,3.933240682676651e-07,3.9332406763758977e-07,3.9332406763758977e-07,3.9332406763758977e-07,3.984074420045796e-07,3.984074420045796e-07,3.984074420045796e-07,4.436146582501267e-07,4.436146582501267e-07,5.11359201952212e-07
0.005542664520663107,4.3329442153080064e-07,4.332944202568235e-07,4.332944202568235e-07,4.332944202568235e-07,4.3889437673379727e-07,4.3889437673379727e-07,4.3889437673379727e-07,4.886956354745176e-07,4.886956354745176e-07,5.633245064147994e-07
0.005805225516094896,4.773266380477454e-07,4.773266354910498e-07,4.773266354910498e-07,4.773266354910498e-07,4.834956700778469e-07,4.834956700778469e-07,4.834956700778469e-07,5.383578260912242e-07,5.383578260912242e-07,6.20570621677392e-07
0.006080224261649427,5.258334921582452e-07,5.258334870655742e-07,5.258334870655742e-07,5.258334870655742e-07,5.326294304888489e-07,5.326294304888489e-07,5.326294304888489e-07,5.930667810641468e-07,5.930667810641468e-07,6.836341928462555e-07
0.006368249944718587,5.79269705488055e-07,5.792696954196088e-07,5.792696954196088e-07,5.792696954196088e-07,5.867562552539353e-07,5.867562552539353e-07,5.867562552539353e-07,6.53335361352595e-07,6.53335361352595e-07,7.531063996799161e-07
0.006669919663030122,6.381362101357582e-07,6.381361903783225e-07,6.381361903783225e-07,6.381361903783225e-07,6.463835482577806e-07,6.463835482577806e-07,6.463835482577806e-07,7.197285456008139e-07,7.197285456008139e-07,8.296384984475461e-07
0.0069858797467852495,7.02984845479737e-07,7.029848069983186e-07,7.029848069983186e-07,7.029848069983186e-07,7.120702765167658e-07,7.120702765167658e-07,7.120702765167658e-07,7.928687263845941e-07,7.928687263845941e-07,9.139479269489006e-07
0.007316807143427192,7.744235329967119e-07,7.744234586049144e-07,7.744234586049144e-07,7.744234586049144e-07,7.844322100720046e-07,7.844322100720046e-07,7.844322100720046e-07,8.734415446610997e-07,8.734415446610997e-07,1.0068250299227148e-06
0.007663410868007463,8.531219782549789e-07,8.531218355123559e-07,8.531218355123559e-07,8.531218355123559e-07,8.641476943590221e-07,8.641476943590221e-07,8.641476943590221e-07,9.622023171125932e-07,9.622023171125932e-07,1.109140467885234e-06
0.008026433522257174,9.398179547009957e-07,9.398176828454967e-07,9.398176828454967e-07,9.398176828454967e-07,9.519640091629479e-07,9.519640091629479e-07,9.519640091629479e-07,1.05998311663205e-06,1.05998311663205e-06,1.2218533788463193e-06
0.008406652885618326,1.0353242302106553e-06,1.0353237163094613e-06,1.0353237163094613e-06,1.0353237163094613e-06,1.0487043737662015e-06,1.0487043737662015e-06,1.0487043737662015e-06,1.167700572320511e-06,1.167700572320511e-06,1.3460203694071012e-06
0.008804883581643464,1.1405362049606073e-06,1.140535240733241e-06,1.140535240733241e-06,1.140535240733241e-06,1.1552756639523616e-06,1.1552756639523616e-06,1.1552756639523616e-06,1.2863644621098262e-06,1.2863644621098262e-06,1.4828054195165168e-06
0.009221978823334321,1.2564403385213657e-06,1.2564385428001687e-06,1.2564385428001687e-06,1.2564385428001687e-06,1.2726769132019976e-06,1.2726769132019974e-06,1.2726769132019974e-06,1.417087178553437e-06,1.417087178553437e-06,1.6334907937272388e-06
0.009658832241158708,1.38412345603259e-06,1.384120136634461e-06,1.384120136634461e-06,1.384120136634461e-06,1.4020086777662566e-06,1.4020086777662564e-06,1.4020086777662564e-06,1.5610941565116203e-06,1.5610941565116203e-06,1.7994890612246248e-06
0.01011637979766207,1.5247830392549846e-06,1.524776948906326e-06,1.5247769489063257e-06,1.5247769489063257e-06,1.5444833534005907e-06,1.5444833534005901e-06,1.5444833534005901e-06,1.719735360472663e-06,1.719735360472663e-06,1.982356337293564e-06
0.010595601792776159,1.679738630385399e-06,1.679727538923701e-06,1.6797275389237006e-06,1.6797275389237006e-06,1.7014365404603212e-06,1.7014365404603195e-06,1.7014365404603195e-06,1.89449793918248e-06,1.89449793918248e-06,2.1838068703351636e-06
0.011097524964120722,1.8504445082480741e-06,1.850424458878568e-06,1.8504244588785672e-06,1.8504244588785672e-06,1.874339563884979e-06,1.8743395638849752e-06,1.8743395638849752e-06,2.0870201661948843e-06,2.0870201661948843e-06,2.405729111154777e-06
0.011623224686798524,2.038503843337143e-06,2.0384678701012426e-06,2.0384678701012405e-06,2.0384678701012405e-06,2.0648132654218244e-06,2.0648132654218155e-06,2.0648132654218155e-06,2.2991067970058396e-06,2.299106797005839e-06,2.6502034151334986e-06
0.012173827277396614,2.2456846088180555e-06,2.24562054294689e-06,2.2456205429468853e-06,2.2456205429468853e-06,2.2746431973618937e-06,2.2746431973618738e-06,2.2746431973618738e-06,2.532745986710246e-06,2.5327459867102452e-06,2.9195215431966943e-06
0.012750512407130135,2.4739376324305056e-06,2.473824380904806e-06,2.473824380904795e-06,2.473824380904795e-06,2.505796360195706e-06,2.5057963601956614e-06,2.5057963601956614e-06,2.790127926743168e-06,2.790127926743166e-06,3.2162081443483484e-06
0.013354515629298987,2.725417339966689e-06,2.725218623804814e-06,2.7252186238047894e-06,2.7252186238047894e-06,2.7604396410640907e-06,2.7604396410639925e-06,2.7604396410639925e-06,3.073665375376558e-06,3.073665375376553e-06,3.5430444211077e-06
0.013987131026472387,3.0025059961808447e-06,3.002159900729139e-06,3.0021599007290845e-06,3.0021599007290845e-06,3.0409601258168462e-06,3.040960125816629e-06,3.040960125816629e-06,3.3860162743871155e-06,3.386016274387104e-06,3.9030941996371125e-06
0.014649713983072856,3.3078426412299884e-06,3.3072443205704853e-06,3.307244320570364e-06,3.307244320570364e-06,3.349987475048188e-06,3.3499874750477118e-06,3.3499874750477118e-06,3.73010866385797e-06,3.7301086638579443e-06,4.299732648879971e-06
0.015343684089300124,3.6443585210957782e-06,3.643331807269785e-06,3.6433318072695176e-06,3.6433318072695176e-06,3.690418573817281e-06,3.6904185738162465e-06,3.6904185738162465e-06,4.109168128609023e-06,4.109168128608965e-06,4.7366779178450045e-06
0.01607052818261639,4.015321723705372e-06,4.01357290779795e-06,4.013572907797366e-06,4.013572907797366e-06,4.065444686064658e-06,4.065444686062426e-06,4.065444686062426e-06,4.526748033468575e-06,4.526748033468448e-06,5.218025987509854e-06
0.016831803533309566,4.424395111482806e-06,4.421438324113579e-06,4.421438324112313e-06,4.421438324112313e-06,4.478581368202082e-06,4.478581368197303e-06,4.478581368197302e-06,4.986762830726072e-06,4.9867628307257915e-06,5.748289063929737e-06
0.01762914118095948,4.87571370596783e-06,4.8707514458471074e-06,4.870751445844381e-06,4.87075144584438e-06,4.933701422201628e-06,4.93370142219147e-06,4.9337014221914686e-06,5.493524751884002e-06,5.49352475188339e-06,6.332437872305199e-06
0.018464249428955436,5.373990744120215e-06,5.365724188572619e-06,5.3657241885667915e-06,5.36572418856679e-06,5.435071196983374e-06,5.435071196961945e-06,5.435071196961941e-06,6.051784227528121e-06,6.0517842275267925e-06,6.975948248299119e-06
0.01933891750455231,5.924666128769151e-06,5.910996473491881e-06,5.910996473479521e-06,5.910996473479516e-06,5.987390578264456e-06,5.987390578219588e-06,5.9873905782195806e-06,6.666774414052803e-06,6.6667744140499444e-06,7.684852463135937e-06
0.020255019392306676,6.53411754667553e-06,6.511679718462076e-06,6.511679718436053e-06,6.5116797184360426e-06,6.595837041579646e-06,6.595837041486403e-06,6.595837041486386e-06,7.344260244440462e-06,7.344260244434355e-06,8.465795763342915e-06
0.021214517849106298,7.209963959219699e-06,7.173404747867682e-06,7.173404747813301e-06,7.173404747813279e-06,7.266114181238066e-06,7.26611418104574e-06,7.266114181045702e-06,8.090592462659453e-06,8.090592462646506e-06,9.326098654817819e-06
