AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,8.17705936187832e-12,8.17705936187832e-12,8.17705936187832e-12,8.17705936187832e-12,8.583713440793114e-12,8.583713440793114e-12,8.583713440793114e-12,9.62840701065104e-12,9.62840701065104e-12,1.1248768301162502e-11
0.0010473708979594498,9.66353963565694e-12,9.66353963565694e-12,9.66353963565694e-12,9.66353963565694e-12,1.014411799955008e-11,1.014411799955008e-11,1.014411799955008e-11,1.1378722919563846e-11,1.1378722919563846e-11,1.329364426988516e-11
0.001096985797892384,1.1420242186970817e-11,1.1420242186970817e-11,1.1420242186970817e-11,1.1420242186970817e-11,1.1988183284373332e-11,1.1988183284373332e-11,1.1988183284373332e-11,1.3447222903740923e-11,1.3447222903740923e-11,1.5710251402006536e-11
0.0011489510001873086,1.3496289819911225e-11,1.3496289819911225e-11,1.3496289819911225e-11,1.3496289819911225e-11,1.4167475029968422e-11,1.4167475029968422e-11,1.4167475029968422e-11,1.589174858207695e-11,1.589174858207695e-11,1.8566165462487605e-11
0.0012033778407775893,1.594973520883681e-11,1.594973520883681e-11,1.594973520883681e-11,1.594973520883681e-11,1.6742932933494344e-11,1.6742932933494344e-11,1.6742932933494344e-11,1.87806564079173e-11,1.87806564079173e-11,2.194124658859789e-11
0.0012603829296797275,1.8849184229623224e-11,1.8849184229623224e-11,1.8849184229623224e-11,1.8849184229623224e-11,1.978657471584639e-11,1.978657471584639e-11,1.978657471584639e-11,2.2194729125645568e-11,2.2194729125645568e-11,2.5929872424871723e-11
0.001320088400831418,2.2275714390872353e-11,2.2275714390872353e-11,2.2275714390872353e-11,2.2275714390872353e-11,2.3383509958541363e-11,2.3383509958541363e-11,2.3383509958541363e-11,2.622943470457229e-11,2.622943470457229e-11,3.064357721220074e-11
0.0013826221737646563,2.632514201031432e-11,2.632514201031432e-11,2.632514201031432e-11,2.632514201031432e-11,2.763432002927425e-11,2.763432002927425e-11,2.763432002927425e-11,3.099759591685963e-11,3.099759591685963e-11,3.621417062810517e-11
0.001448118227674533,3.111070153362493e-11,3.111070153362493e-11,3.111070153362493e-11,3.111070153362493e-11,3.2657870646182126e-11,3.2657870646182126e-11,3.2657870646182126e-11,3.66325452090884e-11,3.66325452090884e-11,4.2797423590546814e-11
0.0015167168884709225,3.676621191765026e-11,3.676621191765026e-11,3.676621191765026e-11,3.676621191765026e-11,3.859463572875919e-11,3.859463572875919e-11,3.859463572875919e-11,4.329185308737607e-11,4.329185308737607e-11,5.057742409169023e-11
