AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.0972261168471915e-09,2.0972261168471915e-09,2.0972261168471915e-09,2.0972261168471915e-09,2.2037407982178306e-09,2.2037407982178306e-09,2.2037407982178306e-09,2.464093473835149e-09,2.464093473835149e-09,2.86278400992434e-09
0.0010473708979594498,2.3995081161088824e-09,2.3995081161088824e-09,2.3995081161088824e-09,2.3995081161088824e-09,2.5213752053556263e-09,2.5213752053556263e-09,2.5213752053556263e-09,2.8192536043248833e-09,2.8192536043248833e-09,3.2754090798988077e-09
0.001096985797892384,2.7453592880471735e-09,2.7453592880471735e-09,2.7453592880471735e-09,2.7453592880471735e-09,2.884791592111134e-09,2.884791592111134e-09,2.884791592111134e-09,3.225604454331555e-09,3.225604454331555e-09,3.747507532127457e-09
0.0011489510001873086,3.1410594402628547e-09,3.1410594402628547e-09,3.1410594402628547e-09,3.1410594402628547e-09,3.3005887072270825e-09,3.3005887072270825e-09,3.3005887072270825e-09,3.6905243569549974e-09,3.6905243569549974e-09,4.2876515146102685e-09
0.0012033778407775893,3.5937935153543343e-09,3.5937935153543343e-09,3.5937935153543343e-09,3.5937935153543343e-09,3.776316404766625e-09,3.776316404766625e-09,3.776316404766625e-09,4.222455115374007e-09,4.222455115374007e-09,4.905648714966556e-09
0.0012603829296797275,4.111782051816019e-09,4.111782051816019e-09,4.111782051816019e-09,4.111782051816019e-09,4.320612730906542e-09,4.320612730906542e-09,4.320612730906542e-09,4.831055285241838e-09,4.831055285241838e-09,5.612720443932081e-09
0.001320088400831418,4.7044304488114575e-09,4.7044304488114575e-09,4.7044304488114575e-09,4.7044304488114575e-09,4.94336076962302e-09,4.94336076962302e-09,4.94336076962302e-09,5.527375550313814e-09,5.527375550313814e-09,6.4217053867741884e-09
0.0013826221737646563,5.382499745101797e-09,5.382499745101797e-09,5.382499745101797e-09,5.382499745101797e-09,5.655868095201207e-09,5.655868095201207e-09,5.655868095201207e-09,6.324059375696268e-09,6.324059375696268e-09,7.3472927222482495e-09
0.001448118227674533,6.15830201305426e-09,6.15830201305426e-09,6.15830201305426e-09,6.15830201305426e-09,6.471072089984062e-09,6.471072089984062e-09,6.471072089984062e-09,7.235572582085298e-09,7.235572582085298e-09,8.406288841960909e-09
0.0015167168884709225,7.045923915604467e-09,7.045923915604467e-09,7.045923915604467e-09,7.045923915604467e-09,7.403774855424927e-09,7.403774855424927e-09,7.403774855424927e-09,8.278466009497679e-09,8.278466009497679e-09,9.617922513105925e-09
0.0015885651294280528,8.06148248541541e-09,8.06148248541541e-09,8.06148248541541e-09,8.06148248541541e-09,8.470911981848753e-09,8.470911981848753e-09,8.470911981848753e-09,9.47167603981871e-09,9.47167603981871e-09,1.100419402557389e-08
0.001663816886076129,9.223417770552418e-09,9.223417770552418e-09,9.223417770552418e-09,9.223417770552418e-09,9.691860057118565e-09,9.691860057118565e-09,9.691860057118565e-09,1.0836868434915534e-08,1.0836868434915534e-08,1.2590274663085828e-08
0.0017426333860096508,1.0552827660396685e-08,1.0552827660396685e-08,1.0552827660396685e-08,1.0552827660396685e-08,1.1088788497804687e-08,1.1088788497804687e-08,1.1088788497804687e-08,1.2398831733565975e-08,1.2398831733565975e-08,1.4404963751757985e-08
0.0018251834943190425,1.2073850971408907e-08,1.2073850971408907e-08,1.2073850971408907e-08,1.2073850971408907e-08,1.2687062091241586e-08,1.2687062091241586e-08,1.2687062091241586e-08,1.4185927350318568e-08,1.4185927350318568e-08,1.6481211584968575e-08
0.0019116440753857017,1.381410574863438e-08,1.381410574863438e-08,1.381410574863438e-08,1.381410574863438e-08,1.4515701557641482e-08,1.4515701557641482e-08,1.4515701557641482e-08,1.623060454896617e-08,1.623060454896617e-08,1.8856717719547677e-08
0.0020022003718155844,1.5805190741419174e-08,1.5805190741419174e-08,1.5805190741419174e-08,1.5805190741419174e-08,1.6607910494931522e-08,1.6607910494931522e-08,1.6607910494931522e-08,1.8569989641274238e-08,1.8569989641274238e-08,2.1574615506863162e-08
0.002097046401323233,1.808325915889616e-08,1.808325915889616e-08,1.808325915889616e-08,1.808325915889616e-08,1.9001678274329008e-08,1.9001678274329008e-08,1.9001678274329008e-08,2.1246560109353496e-08,2.1246560109353496e-08,2.468425528818935e-08
0.002196385372416547,2.0689675123216418e-08,2.0689675123216418e-08,2.0689675123216418e-08,2.0689675123216418e-08,2.1740469833741123e-08,2.1740469833741123e-08,2.1740469833741123e-08,2.430891589206326e-08,2.430891589206326e-08,2.824210047523566e-08
0.002300430119772917,2.3671764740087755e-08,2.367176474008775e-08,2.367176474008775e-08,2.367176474008775e-08,2.487401489392478e-08,2.487401489392478e-08,2.487401489392478e-08,2.7812661840089123e-08,2.7812661840089123e-08,3.2312752786425556e-08
0.0024094035602395245,2.708367542419391e-08,2.70836754241939e-08,2.70836754241939e-08,2.70836754241939e-08,2.8459210927608575e-08,2.8459210927608575e-08,2.8459210927608575e-08,3.182141736288057e-08,3.182141736288057e-08,3.697012525465641e-08
0.0025235391704347657,3.098735908270259e-08,3.0987359082702567e-08,3.0987359082702567e-08,3.0987359082702567e-08,3.256115627724427e-08,3.256115627724427e-08,3.256115627724427e-08,3.640797160011462e-08,3.640797160011462e-08,4.229878430542315e-08
0.0026430814869741054,3.5453697009022575e-08,3.5453697009022496e-08,3.5453697009022496e-08,3.5453697009022496e-08,3.725433218022728e-08,3.725433218022728e-08,3.725433218022728e-08,4.165560509271023e-08,4.165560509271023e-08,4.8395485274077935e-08
0.0027682866303920667,4.056378691206548e-08,4.056378691206527e-08,4.056378691206527e-08,4.056378691206527e-08,4.2623955164203624e-08,4.2623955164203624e-08,4.2623955164203624e-08,4.765960195162121e-08,4.765960195162121e-08,5.537092924335145e-08
0.002899422853882875,4.6410415450236346e-08,4.6410415450235784e-08,4.6410415450235784e-08,4.6410415450235784e-08,4.876752436856711e-08,4.876752436856711e-08,4.876752436856711e-08,5.452897998158747e-08,5.452897998158747e-08,6.33517731008668e-08
0.0030367711180354575,5.3099743007667196e-08,5.309974300766571e-08,5.309974300766571e-08,5.309974300766571e-08,5.5796591887609596e-08,5.5796591887609596e-08,5.5796591887609596e-08,6.238847017452318e-08,6.238847017452318e-08,7.248292931419263e-08
0.0031806256927941192,6.075323130397592e-08,6.075323130397205e-08,6.075323130397205e-08,6.075323130397205e-08,6.383878828027952e-08,6.383878828027952e-08,6.383878828027952e-08,7.138078151512034e-08,7.138078151512034e-08,8.293019718148675e-08
0.0033312947879346735,6.950984883806345e-08,6.950984883805341e-08,6.950984883805341e-08,6.950984883805341e-08,7.304014002466948e-08,7.304014002466948e-08,7.304014002466948e-08,8.166919222177225e-08,8.166919222177225e-08,9.488327333450573e-08
0.0034891012134067737,7.95285942111955e-08,7.952859421116981e-08,7.952859421116981e-08,7.952859421116981e-08,8.356772099629727e-08,8.356772099629727e-08,8.356772099629727e-08,9.344051447311692e-08,9.344051447311692e-08,1.0855919615695588e-07
0.0036543830709572546,9.099138314646356e-08,9.09913831463985e-08,9.09913831463985e-08,9.09913831463985e-08,9.561268611423041e-08,9.561268611423041e-08,9.561268611423041e-08,1.0690848645199857e-07,1.0690848645199857e-07,1.242062866598855e-07
