AvgSa(0.6s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.1316052765127805e-10,3.131605276512754e-10,3.131605276512754e-10,3.131605276512754e-10,3.3794038984354484e-10,3.3794038984354484e-10,3.3794038984354484e-10,3.76418509163577e-10,3.76418509163577e-10,4.346624965172741e-10
0.0010473708979594498,3.650758770768672e-10,3.650758770768608e-10,3.650758770768608e-10,3.650758770768608e-10,3.9396371294503123e-10,3.939637129450312e-10,3.939637129450312e-10,4.388206853848569e-10,4.388206853848569e-10,5.067202860316142e-10
0.001096985797892384,4.2559768634287265e-10,4.2559768634285704e-10,4.2559768634285704e-10,4.2559768634285704e-10,4.5927451047756744e-10,4.5927451047756734e-10,4.5927451047756734e-10,5.115678141001334e-10,5.115678141001334e-10,5.90723723188038e-10
0.0011489510001873086,4.961527232884065e-10,4.96152723288369e-10,4.96152723288369e-10,4.96152723288369e-10,5.354124480026791e-10,5.354124480026789e-10,5.354124480026789e-10,5.96374868223251e-10,5.96374868223251e-10,6.886531420818321e-10
0.0012033778407775893,5.784042834887905e-10,5.784042834887007e-10,5.784042834887007e-10,5.784042834887007e-10,6.241724348571466e-10,6.241724348571461e-10,6.241724348571461e-10,6.952411266704276e-10,6.952411266704276e-10,8.028171740455519e-10
0.0012603829296797275,6.742914015190721e-10,6.742914015188593e-10,6.742914015188593e-10,6.742914015188593e-10,7.276469381373336e-10,7.276469381373323e-10,7.276469381373323e-10,8.10497306243119e-10,8.10497306243119e-10,9.359071723420615e-10
0.001320088400831418,7.860745626103436e-10,7.860745626098429e-10,7.860745626098429e-10,7.860745626098429e-10,8.482753114413544e-10,8.482753114413514e-10,8.482753114413514e-10,9.448605069737204e-10,9.448605069737204e-10,1.09106065931306e-09
0.0013826221737646563,9.16388992325472e-10,9.163889923243033e-10,9.163889923243033e-10,9.163889923243033e-10,9.889013012664315e-10,9.88901301266424e-10,9.88901301266424e-10,1.1014982662397169e-09,1.1014982662397167e-09,1.2719352917139076e-09
0.001448118227674533,1.0683067805285717e-09,1.068306780525864e-09,1.068306780525864e-09,1.068306780525864e-09,1.1528400867425722e-09,1.1528400867425542e-09,1.1528400867425542e-09,1.2841032316861612e-09,1.2841032316861606e-09,1.4827950879260931e-09
0.0015167168884709225,1.245409304186212e-09,1.2454093041799874e-09,1.2454093041799874e-09,1.2454093041799874e-09,1.3439564331268476e-09,1.3439564331268043e-09,1.3439564331268043e-09,1.4969802133289057e-09,1.496980213328904e-09,1.7286109498056657e-09
0.0015885651294280528,1.4518716563272348e-09,1.4518716563130335e-09,1.4518716563130335e-09,1.4518716563130335e-09,1.5667558014827748e-09,1.5667558014826716e-09,1.5667558014826716e-09,1.7451476670427473e-09,1.7451476670427436e-09,2.0151778489133976e-09
0.001663816886076129,1.6925610715273785e-09,1.692561071495226e-09,1.692561071495226e-09,1.692561071495226e-09,1.8264905624047592e-09,1.826490562404515e-09,1.826490562404515e-09,2.0344560018511793e-09,2.0344560018511702e-09,2.349251439726705e-09
0.0017426333860096508,1.973151668244966e-09,1.9731516681727255e-09,1.9731516681727255e-09,1.9731516681727255e-09,2.129283817716191e-09,2.1292838177156175e-09,2.1292838177156175e-09,2.371725500045264e-09,2.3717255000452417e-09,2.738707320412553e-09
0.0018251834943190425,2.300258212996076e-09,2.300258212835004e-09,2.3002582128350037e-09,2.3002582128350037e-09,2.4822737491683447e-09,2.482273749167007e-09,2.482273749167007e-09,2.7649071015210636e-09,2.7649071015210094e-09,3.1927266956446358e-09
0.0019116440753857017,2.6815920597888945e-09,2.6815920594324942e-09,2.6815920594324934e-09,2.6815920594324934e-09,2.893781897079439e-09,2.8937818970763443e-09,2.8937818970763443e-09,3.2232698427358046e-09,3.223269842735676e-09,3.7220128183610245e-09
0.0020022003718155844,3.126142941011128e-09,3.12614294022854e-09,3.1261429402285384e-09,3.1261429402285384e-09,3.373509335988146e-09,3.37350933598104e-09,3.37350933598104e-09,3.757619369050535e-09,3.757619369050232e-09,4.339043312954552e-09
0.002097046401323233,3.644390895407725e-09,3.644390893702402e-09,3.644390893702398e-09,3.644390893702398e-09,3.9327653720520495e-09,3.932765372035857e-09,3.932765372035857e-09,4.3805526717642446e-09,4.380552671763532e-09,5.058364328272311e-09
0.002196385372416547,4.2485533292720545e-09,4.248553325584323e-09,4.248553325584314e-09,4.248553325584314e-09,4.584734153603905e-09,4.584734153567287e-09,4.584734153567287e-09,5.1067550551213576e-09,5.1067550551197e-09,5.896933454914962e-09
0.002300430119772917,4.952873035260405e-09,4.952873027346485e-09,4.952873027346462e-09,4.952873027346462e-09,5.344785480059398e-09,5.3447854799772275e-09,5.344785479977227e-09,5.953346334121088e-09,5.9533463341172596e-09,6.874519490915886e-09
0.0024094035602395245,5.773953958877015e-09,5.773953942022948e-09,5.773953942022892e-09,5.773953942022892e-09,6.230837136322932e-09,6.230837136139943e-09,6.230837136139942e-09,6.940284424545892e-09,6.940284424537118e-09,8.014168480048854e-09
0.0025235391704347657,6.731152628467197e-09,6.731152592846756e-09,6.731152592846625e-09,6.731152592846625e-09,7.263777294523746e-09,7.2637772941193454e-09,7.263777294119343e-09,8.090835839613867e-09,8.090835839593913e-09,9.342747009350585e-09
0.0026430814869741054,7.847034477122014e-09,7.847034402412446e-09,7.847034402412137e-09,7.847034402412137e-09,8.467956940974136e-09,8.467956940087237e-09,8.46795694008723e-09,9.43212418494662e-09,9.432124184901588e-09,1.0891575573787096e-08
0.0027682866303920667,9.147905815328006e-09,9.147905659825861e-09,9.147905659825135e-09,9.147905659825135e-09,9.871763937053799e-09,9.871763935123538e-09,9.871763935123521e-09,1.0995769582306104e-08,1.099576958220525e-08,1.2697166939268902e-08
0.002899422853882875,1.0664433997868051e-08,1.0664433676664252e-08,1.0664433676662561e-08,1.0664433676662561e-08,1.1508292247223698e-08,1.1508292243054648e-08,1.1508292243054609e-08,1.2818634096152396e-08,1.2818634095928235e-08,1.4802086910499268e-08
0.0030367711180354575,1.2432370409995344e-08,1.2432369751564706e-08,1.2432369751560805e-08,1.2432369751560803e-08,1.3416122110924071e-08,1.3416122101988177e-08,1.341612210198808e-08,1.4943690736025817e-08,1.4943690735531395e-08,1.7255957795754766e-08
0.0031806256927941192,1.4493393326360904e-08,1.449339198691428e-08,1.4493391986905344e-08,1.449339198690534e-08,1.5640229550644075e-08,1.5640229531636805e-08,1.5640229531636576e-08,1.742103652099285e-08,1.7421036519910632e-08,2.01166282246956e-08
0.0033312947879346735,1.6896090530686037e-08,1.6896087826554568e-08,1.689608782653425e-08,1.689608782653424e-08,1.8233046657657e-08,1.8233046617534955e-08,1.823304661753442e-08,2.030907348858175e-08,2.030907348623099e-08,2.3451536896972188e-08
0.0034891012134067737,1.9697104894994895e-08,1.9697099477254176e-08,1.9697099477208327e-08,1.9697099477208303e-08,2.125569765177577e-08,2.1255697567727487e-08,2.125569756772624e-08,2.3675885489852057e-08,2.367588548478469e-08,2.7339302411198372e-08
0.0036543830709572546,2.2962469988618016e-08,2.2962459216584328e-08,2.2962459216481665e-08,2.2962459216481605e-08,2.477943985595899e-08,2.477943968123283e-08,2.477943968122994e-08,2.76008432278293e-08,2.7600843216989125e-08,3.187157665356519e-08
0.003827494478516311,2.6769167321595666e-08,2.676914606629081e-08,2.676914606606268e-08,2.6769146066062538e-08,2.8887343558724183e-08,2.8887343198252418e-08,2.888734319824578e-08,3.2176475377343575e-08,3.2176475354330676e-08,3.715520543863634e-08
0.004008806328898464,3.120694215131415e-08,3.12069005288073e-08,3.120690052830423e-08,3.1206900528303896e-08,3.3676250371602384e-08,3.367624963357968e-08,3.367624963356455e-08,3.751064989722539e-08,3.751064984874255e-08,4.3314747338161635e-08
0.00419870708444391,3.6380421055755935e-08,3.6380340168233424e-08,3.638034016713252e-08,3.6380340167131745e-08,3.925905625924835e-08,3.925905475972127e-08,3.925905475968705e-08,4.372911695882617e-08,4.3729116857461324e-08,5.049541007784823e-08
0.004397603609302721,4.241158191069563e-08,4.241142590932308e-08,4.2411425906932253e-08,4.241142590693045e-08,4.576737308325382e-08,4.5767370059642284e-08,4.5767370059565436e-08,5.0978473440535023e-08,5.0978473230220065e-08,5.886647372603048e-08
0.004605922041145104,4.944263578245105e-08,4.944233719599219e-08,4.944233719083964e-08,4.944233719083546e-08,5.335463144162881e-08,5.335462539120516e-08,5.335462539103392e-08,5.9429618877716584e-08,5.942961844466723e-08,6.862528137419838e-08
0.004824108704165369,5.763939095244801e-08,5.763882378949399e-08,5.763882377847412e-08,5.763882377846456e-08,6.219969802193465e-08,6.219968600663162e-08,6.219968600625298e-08,6.928178434633132e-08,6.928178346143997e-08,8.000189138805018e-08
0.00505263106533568,6.719518238357602e-08,6.719411322294673e-08,6.719411319955782e-08,6.719411319953612e-08,7.251109287542434e-08,7.251106919584967e-08,7.251106919501883e-08,8.076722927089259e-08,8.076722747645324e-08,9.326450090470734e-08
0.005291978735958442,7.833546624364429e-08,7.83334660283132e-08,7.833346597904991e-08,7.8333465979001e-08,8.453190627143888e-08,8.453185995828065e-08,8.453185995647147e-08,9.415671690435384e-08,9.415671329312596e-08,1.087257684351304e-07
0.005542664520663107,9.132319985558047e-08,9.131948612308916e-08,9.131948602011756e-08,9.131948602000811e-08,9.854553147997364e-08,9.854544158666439e-08,9.854544158275484e-08,1.0976589760479663e-07,1.097658903925713e-07,1.2675018463000013e-07
0.005805225516094896,1.0646515453826934e-07,1.0645831154709682e-07,1.0645831133350084e-07,1.0645831133325786e-07,1.1488234941600593e-07,1.1488217625743888e-07,1.1488217624905492e-07,1.2796275047261173e-07,1.2796273617797895e-07,1.477626649836818e-07
0.006080224261649427,1.241193451537559e-07,1.241068314949149e-07,1.2410683105522047e-07,1.241068310546852e-07,1.3392752413874881e-07,1.339271931178211e-07,1.339271930999789e-07,1.4917625893176183e-07,1.491762308148825e-07,1.7225856706970726e-07
0.006368249944718587,1.447038103093246e-07,1.4468109978661825e-07,1.4468109888837928e-07,1.4468109888720913e-07,1.5613009547296833e-07,1.5612946746808622e-07,1.5612946743040482e-07,1.739065250546967e-07,1.7390647016981508e-07,2.0081536850690946e-07
0.006669919663030122,1.6870704809381903e-07,1.686661431304155e-07,1.6866614130938727e-07,1.686661413068487e-07,1.8201358748386512e-07,1.820124050741925e-07,1.8201240499521854e-07,2.0273656157550636e-07,2.0273645525158536e-07,2.341062810492306e-07
0.0069858797467852495,1.9670051481427548e-07,1.9662739542275352e-07,1.9662739175900107e-07,1.9662739175353572e-07,2.1218839051450928e-07,2.121861811283042e-07,2.121861809640485e-07,2.3634604049145395e-07,2.363458360810276e-07,2.729161219141647e-07
0.007316807143427192,2.2935374516010188e-07,2.2922402768456232e-07,2.292240203694487e-07,2.292240203577722e-07,2.4736622182873113e-07,2.473621247399088e-07,2.4736212440087935e-07,2.755273239935039e-07,2.755269339885559e-07,3.1815981682156055e-07
0.007663410868007463,2.674528771257403e-07,2.6722448795839454e-07,2.672244734639229e-07,2.672244734391669e-07,2.883770282242462e-07,2.883694880634564e-07,2.8836948736901554e-07,3.2120415852098354e-07,3.2120342004998485e-07,3.7090397151362466e-07
0.008026433522257174,3.119237026555808e-07,3.1152461765907786e-07,3.115245891573666e-07,3.115245891052807e-07,3.3618876712642493e-07,3.3617499538767855e-07,3.361749939760681e-07,3.7445347768213404e-07,3.7445208998623374e-07,4.3239202132412806e-07
0.008406652885618326,3.6386087363625755e-07,3.631687717353838e-07,3.6316871611581623e-07,3.631687160070654e-07,3.919305963190109e-07,3.9190563305414595e-07,3.919056302065598e-07,4.365308367868772e-07,4.3652824884798353e-07,5.040735535254799e-07
0.008804883581643464,4.245656593045093e-07,4.233744410412516e-07,4.233743333269637e-07,4.233743331016339e-07,4.569201251005928e-07,4.568752174863789e-07,4.5687521178575985e-07,5.089000936649206e-07,5.088953039028638e-07,5.876384969675177e-07
0.009221978823334321,4.95595803079677e-07,4.935609582849045e-07,4.935607512664866e-07,4.935607508031691e-07,5.32695544033098e-07,5.326153677038969e-07,5.326153563785621e-07,5.93268061175594e-07,5.932592633475345e-07,6.850569907118253e-07
