AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,8.60382057084758e-15,8.60382057084758e-15,8.60382057084758e-15,8.60382057084758e-15,8.94704740892195e-15,8.94704740892195e-15,8.94704740892195e-15,1.0061064340530542e-14,1.0061064340530542e-14,1.1804592093563106e-14
0.0010473708979594498,1.0434000412146658e-14,1.0434000412146658e-14,1.0434000412146658e-14,1.0434000412146658e-14,1.0850237471071629e-14,1.0850237471071629e-14,1.0850237471071629e-14,1.22012248641522e-14,1.22012248641522e-14,1.431563080090208e-14
0.001096985797892384,1.2653490818899277e-14,1.2653490818899277e-14,1.2653490818899277e-14,1.2653490818899277e-14,1.315826862180806e-14,1.315826862180806e-14,1.315826862180806e-14,1.4796634147929088e-14,1.4796634147929088e-14,1.736081040356201e-14
0.0011489510001873086,1.534510480923259e-14,1.534510480923259e-14,1.534510480923259e-14,1.534510480923259e-14,1.5957257487246168e-14,1.5957257487246168e-14,1.5957257487246168e-14,1.7944131392161804e-14,1.7944131392161804e-14,2.1053751808787316e-14
0.0012033778407775893,1.860927114710778e-14,1.860927114710778e-14,1.860927114710778e-14,1.860927114710778e-14,1.9351639173276547e-14,1.9351639173276547e-14,1.9351639173276547e-14,2.1761155151912397e-14,2.1761155151912397e-14,2.5532245034775184e-14
0.0012603829296797275,2.2567781512852154e-14,2.2567781512852154e-14,2.2567781512852154e-14,2.2567781512852154e-14,2.3468063919630224e-14,2.3468063919630224e-14,2.3468063919630224e-14,2.6390125172202764e-14,2.6390125172202764e-14,3.096339039409196e-14
0.001320088400831418,2.7368334760976718e-14,2.7368334760976718e-14,2.7368334760976718e-14,2.7368334760976718e-14,2.846012263893398e-14,2.846012263893398e-14,2.846012263893398e-14,3.2003756314532104e-14,3.2003756314532104e-14,3.754983329476678e-14
0.0013826221737646563,3.3190047819380135e-14,3.3190047819380135e-14,3.3190047819380135e-14,3.3190047819380135e-14,3.451407765877281e-14,3.451407765877281e-14,3.451407765877281e-14,3.881150284648157e-14,3.881150284648157e-14,4.5537325290250215e-14
0.001448118227674533,4.025013885110128e-14,4.025013885110128e-14,4.025013885110128e-14,4.025013885110128e-14,4.185581249063843e-14,4.185581249063843e-14,4.185581249063843e-14,4.7067373541975495e-14,4.7067373541975495e-14,5.522389349406377e-14
0.0015167168884709225,4.881203203892181e-14,4.881203203892181e-14,4.881203203892181e-14,4.881203203892181e-14,5.075925993363985e-14,5.075925993363985e-14,5.075925993363985e-14,5.707940918708023e-14,5.707940918708023e-14,6.697096048582908e-14
0.0015885651294280528,5.91951863963208e-14,5.91951863963208e-14,5.91951863963208e-14,5.91951863963208e-14,6.155662298007205e-14,6.155662298007205e-14,6.155662298007205e-14,6.922117611343982e-14,6.922117611343982e-14,8.121682961156312e-14
0.001663816886076129,7.178701533468351e-14,7.178701533468351e-14,7.178701533468351e-14,7.178701533468351e-14,7.465076988247167e-14,7.465076988247167e-14,7.465076988247167e-14,8.394570460291979e-14,8.394570460291979e-14,9.849303883807025e-14
0.0017426333860096508,8.705734172639399e-14,8.705734172639399e-14,8.705734172639399e-14,8.705734172639399e-14,9.053026586350953e-14,9.053026586350953e-14,9.053026586350953e-14,1.018023922293985e-13,1.018023922293985e-13,1.1944419335197077e-13
0.0018251834943190425,1.0557592780716078e-13,1.0557592780716078e-13,1.0557592780716078e-13,1.0557592780716078e-13,1.097876023277565e-13,1.097876023277565e-13,1.097876023277565e-13,1.2345750283055875e-13,1.2345750283055875e-13,1.4485201689186095e-13
0.0019116440753857017,1.2803373398849715e-13,1.2803373398849715e-13,1.2803373398849715e-13,1.2803373398849715e-13,1.3314130373868688e-13,1.3314130373868688e-13,1.3314130373868688e-13,1.4971902596170912e-13,1.4971902596170912e-13,1.7566451921033244e-13
