im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.9619539005299452e-20,1.9619539005299452e-20,1.9619539005299452e-20,1.9619539005299452e-20,2.0458205398413356e-20,2.0458205398413356e-20,2.0458205398413356e-20,2.2893308788837038e-20,2.2893308788837038e-20,2.663042203815547e-20
0.001009671904360419,2.074865943885575e-20,2.074865943885575e-20,2.074865943885575e-20,2.074865943885575e-20,2.1635591765289807e-20,2.1635591765289807e-20,2.1635591765289807e-20,2.421083733719935e-20,2.421083733719935e-20,2.8163024494787475e-20
0.001019437354454795,2.1942761672092967e-20,2.1942761672092967e-20,2.1942761672092967e-20,2.1942761672092967e-20,2.2880737675582222e-20,2.2880737675582222e-20,2.2880737675582222e-20,2.5604190725551416e-20,2.5604190725551416e-20,2.978382946982903e-20
0.0010292972550485203,2.320558546045639e-20,2.320558546045639e-20,2.320558546045639e-20,2.320558546045639e-20,2.4197542746147997e-20,2.4197542746147997e-20,2.4197542746147997e-20,2.707773273513094e-20,2.707773273513094e-20,3.149791308998221e-20
0.0010392525196577912,2.4541085785359744e-20,2.4541085785359744e-20,2.4541085785359744e-20,2.4541085785359744e-20,2.559013101996731e-20,2.559013101996731e-20,2.559013101996731e-20,2.863607828633611e-20,2.863607828633611e-20,3.331064361717062e-20
0.0010493040706342459,2.5953445240616216e-20,2.5953445240616216e-20,2.5953445240616216e-20,2.5953445240616216e-20,2.706286388205053e-20,2.706286388205053e-20,2.706286388205053e-20,3.0284107891990267e-20,3.0284107891990267e-20,3.5227698261160974e-20
0.0010594528392504174,2.744708713171512e-20,2.744708713171512e-20,2.744708713171512e-20,2.744708713171512e-20,2.8620353718663006e-20,2.8620353718663006e-20,2.8620353718663006e-20,3.2026982942399633e-20,3.2026982942399633e-20,3.7255080959759984e-20
0.0010696997657860217,2.9026689328976165e-20,2.9026689328976165e-20,2.9026689328976165e-20,2.9026689328976165e-20,3.026747836265299e-20,3.026747836265299e-20,3.026747836265299e-20,3.387016187008263e-20,3.387016187008263e-20,3.939914118228086e-20
0.0010800457996150668,3.069719891796217e-20,3.069719891796217e-20,3.069719891796217e-20,3.069719891796217e-20,3.2009396370118073e-20,3.2009396370118073e-20,3.2009396370118073e-20,3.5819417244790457e-20,3.5819417244790457e-20,4.166659381516212e-20
0.001090491899293816,3.246384769303538e-20,3.246384769303538e-20,3.246384769303538e-20,3.246384769303538e-20,3.3851563176256626e-20,3.3851563176256626e-20,3.3851563176256626e-20,3.788085385236045e-20,3.788085385236045e-20,4.406454019202053e-20
0.0011010390326495973,3.4332168542580074e-20,3.4332168542580074e-20,3.4332168542580074e-20,3.4332168542580074e-20,3.579974818100108e-20,3.579974818100108e-20,3.579974818100108e-20,4.0060927814021616e-20,4.0060927814021616e-20,4.6600490333999966e-20
0.0011116881768704725,3.630801277721042e-20,3.630801277721042e-20,3.630801277721042e-20,3.630801277721042e-20,3.786005281794591e-20,3.786005281794591e-20,3.786005281794591e-20,4.2366466806034515e-20,4.2366466806034515e-20,4.928238647007379e-20
0.001122440318595772,3.839756845522599e-20,3.839756845522599e-20,3.839756845522599e-20,3.839756845522599e-20,4.0038929663151935e-20,4.0038929663151935e-20,4.0038929663151935e-20,4.4804691442982254e-20,4.4804691442982254e-20,5.211862791095313e-20
0.0011332964540075085,4.060737976271704e-20,4.060737976271704e-20,4.060737976271704e-20,4.060737976271704e-20,4.2343202643683083e-20,4.2343202643683083e-20,4.2343202643683083e-20,4.738323789169298e-20,4.738323789169298e-20,5.511809735451545e-20
0.0011442575889226711,4.29443675090081e-20,4.29443675090081e-20,4.29443675090081e-20,4.29443675090081e-20,4.4780088409158176e-20,4.4780088409158176e-20,4.4780088409158176e-20,5.011018178660909e-20,5.011018178660909e-20,5.829018870512867e-20
0.0011553247388864148,4.541585080163159e-20,4.541585080163159e-20,4.541585080163159e-20,4.541585080163159e-20,4.735721893325361e-20,4.735721893325361e-20,4.735721893325361e-20,5.299406352150602e-20,5.299406352150602e-20,6.164483649400054e-20
0.001166498929266149,4.802956996871302e-20,4.802956996871302e-20,4.802956996871302e-20,4.802956996871302e-20,5.008266541594001e-20,5.008266541594001e-20,5.008266541594001e-20,5.604391499676926e-20,5.604391499676926e-20,6.519254699269238e-20
0.0011777811953465423,5.07937108005617e-20,5.07937108005617e-20,5.07937108005617e-20,5.07937108005617e-20,5.2964963561315736e-20,5.2964963561315736e-20,5.2964963561315736e-20,5.926928790600284e-20,5.926928790600284e-20,6.894443111724522e-20
0.001189172582425434,5.371693018637689e-20,5.371693018637689e-20,5.371693018637689e-20,5.371693018637689e-20,5.60131403101923e-20,5.60131403101923e-20,5.60131403101923e-20,6.268028365054634e-20,6.268028365054634e-20,7.291223922595506e-20
0.0012006741459106851,5.68083832263781e-20,5.68083832263781e-20,5.68083832263781e-20,5.68083832263781e-20,5.9236742111173e-20,5.9236742111173e-20,5.9236742111173e-20,6.628758497560909e-20,6.628758497560909e-20,7.710839791980276e-20
0.001212286951417961,6.00777519042494e-20,6.00777519042494e-20,6.00777519042494e-20,6.00777519042494e-20,6.264586481874344e-20,6.264586481874344e-20,6.264586481874344e-20,7.010248942707672e-20,7.010248942707672e-20,8.154604896076362e-20
0.0012240120748694594,6.35352754097146e-20,6.35352754097146e-20,6.35352754097146e-20,6.35352754097146e-20,6.62511853120304e-20,6.62511853120304e-20,6.62511853120304e-20,7.4136944733794e-20,7.4136944733794e-20,8.623909042990876e-20
0.0012358506025935947,6.719178220619736e-20,6.719178220619736e-20,6.719178220619736e-20,6.719178220619736e-20,7.006399493324183e-20,7.006399493324183e-20,7.006399493324183e-20,7.840358622612215e-20,7.840358622612215e-20,9.12022202541833e-20
0.001247803631425646,7.105872394400218e-20,7.105872394400218e-20,7.105872394400218e-20,7.105872394400218e-20,7.409623485051716e-20,7.409623485051716e-20,7.409623485051716e-20,8.291577640796566e-20,8.291577640796566e-20,9.645098223818737e-20
0.0012598722688093784,7.514821132522643e-20,7.514821132522643e-20,7.514821132522643e-20,7.514821132522643e-20,7.836053345593836e-20,7.836053345593836e-20,7.836053345593836e-20,8.768764680620136e-20,8.768764680620136e-20,1.0200181474512328e-19
0.0012720576328996466,7.947305203272616e-20,7.947305203272616e-20,7.947305203272616e-20,7.947305203272616e-20,8.287024591582592e-20,8.287024591582592e-20,8.287024591582592e-20,9.273414222857495e-20,9.273414222857495e-20,1.078721021793695e-19
0.001284360852665993,8.40467908419304e-20,8.40467908419304e-20,8.40467908419304e-20,8.40467908419304e-20,8.763949599719227e-20,8.763949599719227e-20,8.763949599719227e-20,9.807106756868195e-20,9.807106756868195e-20,1.1408022943192624e-19
0.0012967830679972432,8.888375204111162e-20,8.888375204111162e-20,8.888375204111162e-20,8.888375204111162e-20,9.268322030132992e-20,9.268322030132992e-20,9.268322030132992e-20,1.0371513730460025e-19,1.0371513730460025e-19,1.2064563945922533e-19
0.0013093254298071233,9.399908429298881e-20,9.399908429298881e-20,9.399908429298881e-20,9.399908429298881e-20,9.801721504309036e-20,9.801721504309036e-20,9.801721504309036e-20,1.0968402784622252e-19,1.0968402784622252e-19,1.2758889417566294e-19
0.001321989100140882,9.940880807814635e-20,9.940880807814635e-20,9.940880807814635e-20,9.940880807814635e-20,1.0365818552234278e-19,1.0365818552234278e-19,1.0365818552234278e-19,1.1599643289521355e-19,1.1599643289521355e-19,1.3493173885053938e-19
0.001334775252282961,1.0512986586886019e-19,1.0512986586886019e-19,1.0512986586886019e-19,1.0512986586886019e-19,1.0962379844255472e-19,1.0962379844255472e-19,1.0962379844255472e-19,1.2267212199097753e-19,1.2267212199097753e-19,1.4269717021109451e-19
0.0013476850708656958,1.1118017519047575e-19,1.1118017519047575e-19,1.1118017519047575e-19,1.1118017519047575e-19,1.1593273724035786e-19,1.1593273724035786e-19,1.1593273724035786e-19,1.2973200242600254e-19,1.2973200242600254e-19,1.5090950846493866e-19
0.0013607197519790734,1.1757868473649652e-19,1.1757868473649652e-19,1.1757868473649652e-19,1.1757868473649652e-19,1.226047605993595e-19,1.226047605993595e-19,1.226047605993595e-19,1.3719818472446575e-19,1.3719818472446575e-19,1.595944734674127e-19
0.001373880503281548,1.243454337131566e-19,1.243454337131566e-19,1.243454337131566e-19,1.243454337131566e-19,1.2966076433148708e-19,1.2966076433148708e-19,1.2966076433148708e-19,1.4509405188920302e-19,1.4509405188920302e-19,1.6877926527246173e-19
0.0013871685441119313,1.3150161459931408e-19,1.3150161459931408e-19,1.3150161459931408e-19,1.3150161459931408e-19,1.371228468196467e-19,1.371228468196467e-19,1.371228468196467e-19,1.534443326338895e-19,1.534443326338895e-19,1.7849264931926733e-19
0.0014005851056023634,1.3906963951822908e-19,1.3906963951822908e-19,1.3906963951822908e-19,1.3906963951822908e-19,1.4501437822666156e-19,1.4501437822666156e-19,1.4501437822666156e-19,1.6227517882979325e-19,1.6227517882979325e-19,1.887650465214414e-19
0.001414131430792377,1.4707321042908922e-19,1.4707321042908922e-19,1.4707321042908922e-19,1.4707321042908922e-19,1.5336007368723867e-19,1.5336007368723867e-19,1.5336007368723867e-19,1.7161424740965046e-19,1.7161424740965046e-19,1.9962862854092408e-19
0.0014278087747440617,1.5553739335812515e-19,1.5553739335812515e-19,1.5553739335812515e-19,1.5553739335812515e-19,1.621860707122038e-19,1.621860707122038e-19,1.621860707122038e-19,1.81490786985187e-19,1.81490786985187e-19,2.111174185449855e-19
0.0014416184046583532,1.644886969017663e-19,1.644886969017663e-19,1.644886969017663e-19,1.644886969017663e-19,1.7152001104739168e-19,1.7152001104739168e-19,1.7152001104739168e-19,1.9193572944952502e-19,1.9193572944952502e-19,2.232673977618475e-19
0.0014555615999924285,1.739551552477355e-19,1.739551552477355e-19,1.739551552477355e-19,1.739551552477355e-19,1.8139112724360054e-19,1.8139112724360054e-19,1.8139112724360054e-19,2.0298178685140377e-19,2.0298178685140377e-19,2.3611661816869217e-19
