im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.8346839307167383e-15,1.8346839307167383e-15,1.8346839307167383e-15,1.8346839307167383e-15,1.9142029778737695e-15,1.9142029778737695e-15,1.9142029778737695e-15,2.1458982816559653e-15,2.1458982816559653e-15,2.504108267662021e-15
0.001009671904360419,1.914085361503671e-15,1.914085361503671e-15,1.914085361503671e-15,1.914085361503671e-15,1.9970458331008315e-15,1.9970458331008315e-15,1.9970458331008315e-15,2.2387684436680894e-15,2.2387684436680894e-15,2.612481037472064e-15
0.001019437354454795,1.9969231265307593e-15,1.9969231265307593e-15,1.9969231265307593e-15,1.9969231265307593e-15,2.0834739604967662e-15,2.0834739604967662e-15,2.0834739604967662e-15,2.3356578395208153e-15,2.3356578395208153e-15,2.7255439628108934e-15
0.0010292972550485203,2.0833459434331165e-15,2.0833459434331165e-15,2.0833459434331165e-15,2.0833459434331165e-15,2.1736425234307126e-15,2.1736425234307126e-15,2.1736425234307126e-15,2.4367404135716965e-15,2.4367404135716965e-15,2.8435000241774363e-15
0.0010392525196577912,2.1735089660460026e-15,2.1735089660460026e-15,2.1735089660460026e-15,2.1735089660460026e-15,2.267713400430361e-15,2.267713400430361e-15,2.267713400430361e-15,2.5421976381402437e-15,2.5421976381402437e-15,2.9665609866583817e-15
0.0010493040706342459,2.2675740629506553e-15,2.2675740629506553e-15,2.2675740629506553e-15,2.2675740629506553e-15,2.365855475800547e-15,2.365855475800547e-15,2.365855475800547e-15,2.6522188393030183e-15,2.6522188393030183e-15,3.0949477801075126e-15
0.0010594528392504174,2.365710108074907e-15,2.365710108074907e-15,2.365710108074907e-15,2.365710108074907e-15,2.468244942819104e-15,2.468244942819104e-15,2.468244942819104e-15,2.767001536788342e-15,2.767001536788342e-15,3.2288908957782804e-15
0.0010696997657860217,2.468093283870682e-15,2.468093283870682e-15,2.468093283870682e-15,2.468093283870682e-15,2.5750656200547105e-15,2.5750656200547105e-15,2.5750656200547105e-15,2.886751798581285e-15,2.886751798581285e-15,3.3686308001222067e-15
0.0010800457996150668,2.5749073976119843e-15,2.5749073976119843e-15,2.5749073976119843e-15,2.5749073976119843e-15,2.6865092813738956e-15,2.6865092813738956e-15,2.6865092813738956e-15,3.0116846108747466e-15,3.0116846108747466e-15,3.514418366495066e-15
0.001090491899293816,2.6863442113820502e-15,2.6863442113820502e-15,2.6863442113820502e-15,2.6863442113820502e-15,2.8027760002305285e-15,2.8027760002305285e-15,2.8027760002305285e-15,3.1420242640317783e-15,3.1420242640317783e-15,3.666515325547038e-15
