AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.5101355363374776e-09,1.5101355363374776e-09,1.5101355363374776e-09,1.5101355363374776e-09,1.5735970075345989e-09,1.5735970075345989e-09,1.5735970075345989e-09,1.761379698331122e-09,1.761379698331122e-09,2.049858818071587e-09
0.0010473708979594498,1.706479303260553e-09,1.706479303260553e-09,1.706479303260553e-09,1.706479303260553e-09,1.778191864500483e-09,1.778191864500483e-09,1.778191864500483e-09,1.9903895564083176e-09,1.9903895564083176e-09,2.316375956481106e-09
0.001096985797892384,1.928351159423029e-09,1.928351159423029e-09,1.928351159423029e-09,1.928351159423029e-09,2.009387595268468e-09,2.009387595268468e-09,2.009387595268468e-09,2.2491746611448706e-09,2.2491746611448706e-09,2.6175449373755207e-09
0.0011489510001873086,2.179070198411348e-09,2.179070198411348e-09,2.179070198411348e-09,2.179070198411348e-09,2.270642773990876e-09,2.270642773990876e-09,2.270642773990876e-09,2.541606310120779e-09,2.541606310120779e-09,2.957871100216518e-09
0.0012033778407775893,2.4623870534402277e-09,2.4623870534402277e-09,2.4623870534402277e-09,2.4623870534402277e-09,2.565865649336325e-09,2.565865649336325e-09,2.565865649336325e-09,2.8720591366221703e-09,2.8720591366221703e-09,3.3424455565913552e-09
0.0012603829296797275,2.782540004974234e-09,2.782540004974234e-09,2.782540004974234e-09,2.782540004974234e-09,2.899472609960571e-09,2.899472609960571e-09,2.899472609960571e-09,3.245476551995391e-09,3.245476551995391e-09,3.77702135072787e-09
0.001320088400831418,3.144318383311237e-09,3.144318383311237e-09,3.144318383311237e-09,3.144318383311237e-09,3.2764542515004203e-09,3.2764542515004203e-09,3.2764542515004203e-09,3.66744469663966e-09,3.66744469663966e-09,4.268099522194315e-09
0.0013826221737646563,3.553134214598828e-09,3.553134214598828e-09,3.553134214598828e-09,3.553134214598828e-09,3.702450033420039e-09,3.702450033420039e-09,3.702450033420039e-09,4.144276005908286e-09,4.144276005908286e-09,4.823026358239064e-09
0.001448118227674533,4.015103182072416e-09,4.015103182072416e-09,4.015103182072416e-09,4.015103182072416e-09,4.1838326425388805e-09,4.1838326425388805e-09,4.1838326425388805e-09,4.683103641022619e-09,4.683103641022619e-09,5.450103290616598e-09
0.0015167168884709225,4.5371361136550735e-09,4.5371361136550735e-09,4.5371361136550735e-09,4.5371361136550735e-09,4.727803325277853e-09,4.727803325277853e-09,4.727803325277853e-09,5.291988197638467e-09,5.291988197638467e-09,6.158711080901765e-09
0.0015885651294280528,5.12704236452785e-09,5.12704236452785e-09,5.12704236452785e-09,5.12704236452785e-09,5.342499614746418e-09,5.342499614746418e-09,5.342499614746418e-09,5.980038288371616e-09,5.980038288371616e-09,6.959450152042253e-09
0.001663816886076129,5.793646641222538e-09,5.793646641222538e-09,5.793646641222538e-09,5.793646641222538e-09,6.037117064214396e-09,6.037117064214396e-09,6.037117064214396e-09,6.757546803137165e-09,6.757546803137165e-09,7.864299165439457e-09
0.0017426333860096508,6.546921014866849e-09,6.546921014866849e-09,6.546921014866849e-09,6.546921014866849e-09,6.822046808040249e-09,6.822046808040249e-09,6.822046808040249e-09,7.636144885688964e-09,7.636144885688964e-09,8.886794215791112e-09
0.0018251834943190425,7.3981340984342125e-09,7.3981340984342125e-09,7.3981340984342125e-09,7.3981340984342125e-09,7.709031007898594e-09,7.709031007898594e-09,7.709031007898594e-09,8.628975929771173e-09,8.628975929771173e-09,1.0042231324360627e-08
0.0019116440753857017,8.360019619615159e-09,8.360019619615159e-09,8.360019619615159e-09,8.360019619615159e-09,8.71133850970461e-09,8.71133850970461e-09,8.71133850970461e-09,9.750892197776925e-09,9.750892197776925e-09,1.1347895259870434e-08
0.0020022003718155844,9.446966911075827e-09,9.446966911075827e-09,9.446966911075827e-09,9.446966911075827e-09,9.843963338974719e-09,9.843963338974719e-09,9.843963338974719e-09,1.1018677003230336e-08,1.1018677003230336e-08,1.282331811006436e-08
0.002097046401323233,1.0675236167742096e-08,1.0675236167742096e-08,1.0675236167742096e-08,1.0675236167742096e-08,1.1123849004014204e-08,1.1123849004014204e-08,1.1123849004014204e-08,1.2451295780829631e-08,1.2451295780829631e-08,1.4490571472038587e-08
0.002196385372416547,1.2063201691249695e-08,1.2063201691249695e-08,1.2063201691249695e-08,1.2063201691249695e-08,1.2570141962394229e-08,1.2570141962394229e-08,1.2570141962394229e-08,1.4070179799932124e-08,1.4070179799932124e-08,1.637459663236005e-08
0.002300430119772917,1.363162676037427e-08,1.363162676037427e-08,1.363162676037427e-08,1.363162676037427e-08,1.4204478042448404e-08,1.4204478042448404e-08,1.4204478042448404e-08,1.5899546765690703e-08,1.5899546765690703e-08,1.8503577676298206e-08
0.0024094035602395245,1.540397423936374e-08,1.540397423936374e-08,1.540397423936374e-08,1.540397423936374e-08,1.605130610450919e-08,1.605130610450919e-08,1.605130610450919e-08,1.7966763103871553e-08,1.7966763103871553e-08,2.090936310769338e-08
0.0025235391704347657,1.740675757071481e-08,1.740675757071481e-08,1.740675757071481e-08,1.740675757071481e-08,1.813825378369051e-08,1.813825378369051e-08,1.813825378369051e-08,2.0302753348947776e-08,2.0302753348947776e-08,2.3627942286676792e-08
0.0026430814869741054,1.966993740306681e-08,1.9669937403066805e-08,1.9669937403066805e-08,1.9669937403066805e-08,2.04965407855421e-08,2.04965407855421e-08,2.04965407855421e-08,2.294246275970509e-08,2.294246275970509e-08,2.6699983812504816e-08
0.0027682866303920667,2.2227369787561764e-08,2.222736978756176e-08,2.222736978756176e-08,2.222736978756176e-08,2.316144591726516e-08,2.316144591726516e-08,2.316144591726516e-08,2.5925380082848932e-08,2.5925380082848932e-08,3.017144390543303e-08
0.002899422853882875,2.511731264745678e-08,2.5117312647456767e-08,2.5117312647456767e-08,2.5117312647456767e-08,2.6172834841034705e-08,2.6172834841034705e-08,2.6172834841034705e-08,2.929612828488455e-08,2.929612828488455e-08,3.409425388870368e-08
0.0030367711180354575,2.838299809751143e-08,2.8382998097511402e-08,2.8382998097511402e-08,2.8382998097511402e-08,2.957575644434391e-08,2.957575644434391e-08,2.957575644434391e-08,3.310513208930998e-08,3.310513208930998e-08,3.8527097055013783e-08
0.0031806256927941192,3.207327917474693e-08,3.207327917474686e-08,3.207327917474686e-08,3.207327917474686e-08,3.342111674875622e-08,3.342111674875622e-08,3.342111674875622e-08,3.740937230512343e-08,3.740937230512343e-08,4.353628653896878e-08
0.0033312947879346735,3.624336065533128e-08,3.62433606553311e-08,3.62433606553311e-08,3.62433606553311e-08,3.7766440438386776e-08,3.7766440438386776e-08,3.7766440438386776e-08,4.2273238231001145e-08,4.2273238231001145e-08,4.919675732802423e-08
0.0034891012134067737,4.095562489021931e-08,4.0955624890218875e-08,4.0955624890218875e-08,4.0955624890218875e-08,4.267673140017028e-08,4.267673140017028e-08,4.267673140017028e-08,4.7769490886649836e-08,4.7769490886649836e-08,5.559318725185368e-08
0.0036543830709572546,4.6280565013607306e-08,4.6280565013606254e-08,4.6280565013606254e-08,4.6280565013606254e-08,4.822544514913543e-08,4.822544514913543e-08,4.822544514913543e-08,5.398035148075266e-08,5.398035148075266e-08,6.282126371952669e-08
0.003827494478516311,5.229783948449466e-08,5.229783948449216e-08,5.229783948449216e-08,5.229783948449216e-08,5.4495587685639294e-08,5.4495587685639294e-08,5.4495587685639294e-08,6.099873139839e-08,6.099873139839e-08,7.098911515417582e-08
0.004008806328898464,5.90974637367134e-08,5.90974637367075e-08,5.90974637367075e-08,5.90974637367075e-08,6.158095722285742e-08,6.158095722285742e-08,6.158095722285742e-08,6.892962210785772e-08,6.892962210785772e-08,8.021892853859795e-08
0.00419870708444391,6.678115676385048e-08,6.678115676383667e-08,6.678115676383667e-08,6.678115676383667e-08,6.958754736008204e-08,6.958754736008204e-08,6.958754736008204e-08,7.789166577910443e-08,7.789166577910443e-08,9.064877726933926e-08
0.004397603609302721,7.54638627832113e-08,7.546386278317927e-08,7.546386278317927e-08,7.546386278317927e-08,7.863513269250256e-08,7.863513269250256e-08,7.863513269250256e-08,8.801893010933184e-08,8.801893010933184e-08,1.0243468666288017e-07
0.004605922041145104,8.527547074204639e-08,8.527547074197264e-08,8.527547074197264e-08,8.527547074197264e-08,8.885906057727596e-08,8.885906057727596e-08,8.885906057727596e-08,9.94629139061077e-08,9.94629139061077e-08,1.1575296801264781e-07
0.004824108704165369,9.636275738885203e-08,9.636275738868364e-08,9.636275738868364e-08,9.636275738868364e-08,1.0041227585965361e-07,1.0041227585965361e-07,1.0041227585965361e-07,1.1239481343031206e-07,1.1239481343031206e-07,1.3080285611290961e-07
0.00505263106533568,1.0889158297693859e-07,1.0889158297655716e-07,1.0889158297655716e-07,1.0889158297655716e-07,1.1346760884785141e-07,1.1346760884785141e-07,1.1346760884785141e-07,1.270080834020172e-07,1.270080834020172e-07,1.478094897052346e-07
