AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.1528184054276795e-09,1.1528184054276795e-09,1.1528184054276795e-09,1.1528184054276795e-09,1.2044416623365761e-09,1.2044416623365761e-09,1.2044416623365761e-09,1.3407802738382086e-09,1.3407802738382086e-09,1.5457298817785457e-09
0.0010473708979594498,1.3016380834494858e-09,1.3016380834494858e-09,1.3016380834494858e-09,1.3016380834494858e-09,1.3599254918197058e-09,1.3599254918197058e-09,1.3599254918197058e-09,1.5138643325839748e-09,1.5138643325839748e-09,1.745271303156979e-09
0.001096985797892384,1.4696691970535931e-09,1.4696691970535931e-09,1.4696691970535931e-09,1.4696691970535931e-09,1.5354810457786553e-09,1.5354810457786553e-09,1.5354810457786553e-09,1.7092921652688821e-09,1.7092921652688821e-09,1.9705719333319127e-09
0.0011489510001873086,1.6593917896111622e-09,1.6593917896111622e-09,1.6593917896111622e-09,1.6593917896111622e-09,1.7336994240303863e-09,1.7336994240303863e-09,1.7336994240303863e-09,1.9299481752033328e-09,1.9299481752033328e-09,2.2249570810560408e-09
0.0012033778407775893,1.8736060583442325e-09,1.8736060583442325e-09,1.8736060583442325e-09,1.8736060583442325e-09,1.9575062167453726e-09,1.9575062167453726e-09,1.9575062167453726e-09,2.179089119196124e-09,2.179089119196124e-09,2.512181325961089e-09
0.0012603829296797275,2.1154736836378545e-09,2.1154736836378545e-09,2.1154736836378545e-09,2.1154736836378545e-09,2.21020468448798e-09,2.21020468448798e-09,2.21020468448798e-09,2.4603921754250942e-09,2.4603921754250942e-09,2.8364839340086654e-09
0.001320088400831418,2.3885644936372002e-09,2.3885644936372002e-09,2.3885644936372002e-09,2.3885644936372002e-09,2.4955245124560875e-09,2.4955245124560875e-09,2.4955245124560875e-09,2.7780092164869216e-09,2.7780092164869216e-09,3.202651426634245e-09
0.0013826221737646563,2.696909152872202e-09,2.696909152872202e-09,2.696909152872202e-09,2.696909152872202e-09,2.817676858504406e-09,2.817676858504406e-09,2.817676858504406e-09,3.1366280886649674e-09,3.1366280886649674e-09,3.616088227068744e-09
0.001448118227674533,3.0450586525636604e-09,3.0450586525636604e-09,3.0450586525636604e-09,3.0450586525636604e-09,3.1814165074288095e-09,3.1814165074288095e-09,3.1814165074288095e-09,3.5415418018620625e-09,3.5415418018620625e-09,4.0828964265368624e-09
0.0015167168884709225,3.4381514806537255e-09,3.4381514806537255e-09,3.4381514806537255e-09,3.4381514806537255e-09,3.592112048873367e-09,3.592112048873367e-09,3.592112048873367e-09,3.998726651402044e-09,3.998726651402044e-09,4.60996584763561e-09
0.0015885651294280528,3.8819894629515444e-09,3.8819894629515444e-09,3.8819894629515444e-09,3.8819894629515444e-09,4.05582511464537e-09,4.05582511464537e-09,4.05582511464537e-09,4.5149304247325915e-09,4.5149304247325915e-09,5.205075734176251e-09
0.001663816886076129,4.383123394766194e-09,4.383123394766194e-09,4.383123394766194e-09,4.383123394766194e-09,4.5793998449359946e-09,4.5793998449359946e-09,4.5793998449359946e-09,5.097771994910012e-09,5.097771994910012e-09,5.877009568373695e-09
0.0017426333860096508,4.948949726900296e-09,4.948949726900296e-09,4.948949726900296e-09,4.948949726900296e-09,5.170563903916267e-09,5.170563903916267e-09,5.170563903916267e-09,5.755853770808147e-09,5.755853770808147e-09,6.635684710018474e-09
