AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,5.634308369657602e-18,5.634308369657602e-18,5.634308369657602e-18,5.634308369657602e-18,5.911395424931405e-18,5.911395424931405e-18,5.911395424931405e-18,6.546496912376591e-18,6.546496912376591e-18,5.219849121398586e-16
0.0010473708979594498,7.219634837255929e-18,7.219634837255929e-18,7.219634837255929e-18,7.219634837255929e-18,7.574685932432137e-18,7.574685932432137e-18,7.574685932432137e-18,8.388486048108975e-18,8.388486048108975e-18,5.240902499323006e-16
0.001096985797892384,9.251024928635026e-18,9.251024928635026e-18,9.251024928635026e-18,9.251024928635026e-18,9.705976821141365e-18,9.705976821141365e-18,9.705976821141365e-18,1.0748756033649119e-17,1.0748756033649119e-17,5.267879670385138e-16
0.0011489510001873086,1.1853987654416366e-17,1.1853987654416366e-17,1.1853987654416366e-17,1.1853987654416366e-17,1.2436949451484965e-17,1.2436949451484965e-17,1.2436949451484965e-17,1.3773135654882057e-17,1.3773135654882057e-17,5.302447413439396e-16
0.0012033778407775893,1.5189346520525448e-17,1.5189346520525448e-17,1.5189346520525448e-17,1.5189346520525448e-17,1.5936336394486066e-17,1.5936336394486066e-17,1.5936336394486066e-17,1.7648485572207877e-17,1.7648485572207877e-17,5.346741489238269e-16
0.0012603829296797275,1.946317597476508e-17,1.946317597476508e-17,1.946317597476508e-17,1.946317597476508e-17,2.042034653826607e-17,2.042034653826607e-17,2.042034653826607e-17,2.2614243467241698e-17,2.2614243467241698e-17,5.403498597962339e-16
0.001320088400831418,2.4939533673339908e-17,2.4939533673339908e-17,2.4939533673339908e-17,2.4939533673339908e-17,2.616602350883813e-17,2.616602350883813e-17,2.616602350883813e-17,2.8977217649739895e-17,2.8977217649739895e-17,5.4762254656668e-16
0.0013826221737646563,3.195677522774686e-17,3.195677522774686e-17,3.195677522774686e-17,3.195677522774686e-17,3.352836275241785e-17,3.352836275241785e-17,3.352836275241785e-17,3.71305431446514e-17,3.71305431446514e-17,5.569415506615075e-16
0.001448118227674533,4.094845943524728e-17,4.094845943524728e-17,4.094845943524728e-17,4.094845943524728e-17,4.296224485459254e-17,4.296224485459254e-17,4.296224485459254e-17,4.75779714571576e-17,4.75779714571576e-17,5.688826447936412e-16
0.0015167168884709225,5.2470135618196234e-17,5.2470135618196234e-17,5.2470135618196234e-17,5.2470135618196234e-17,5.505054024186908e-17,5.505054024186908e-17,5.505054024186908e-17,6.096499475373435e-17,6.096499475373435e-17,5.841836069588596e-16
0.0015885651294280528,6.72336681223739e-17,6.72336681223739e-17,6.72336681223739e-17,6.72336681223739e-17,7.054012170869346e-17,7.054012170869346e-17,7.054012170869346e-17,7.81187274602379e-17,7.81187274602379e-17,6.037898038944843e-16
0.001663816886076129,8.615121870624354e-17,8.615121870624354e-17,8.615121870624354e-17,8.615121870624354e-17,9.038800979636506e-17,9.038800979636506e-17,9.038800979636506e-17,1.000990093531815e-16,1.000990093531815e-16,6.289126003649115e-16
0.0017426333860096508,1.1039160426383416e-16,1.1039160426383416e-16,1.1039160426383416e-16,1.1039160426383416e-16,1.158205021064057e-16,1.158205021064057e-16,1.158205021064057e-16,1.2826388753798144e-16,1.2826388753798144e-16,6.611042030794454e-16
0.0018251834943190425,1.414525119313224e-16,1.414525119313224e-16,1.414525119313224e-16,1.414525119313224e-16,1.484089398405947e-16,1.484089398405947e-16,1.484089398405947e-16,1.6435352310444966e-16,1.6435352310444966e-16,7.02353563458183e-16
0.0019116440753857017,1.8125303337254081e-16,1.8125303337254081e-16,1.8125303337254081e-16,1.8125303337254081e-16,1.9016679278746858e-16,1.9016679278746858e-16,1.9016679278746858e-16,2.1059770661465848e-16,2.1059770661465848e-16,7.552092645782415e-16
0.0020022003718155844,2.3225223545480703e-16,2.3225223545480703e-16,2.3225223545480703e-16,2.3225223545480703e-16,2.436740611307846e-16,2.436740611307846e-16,2.436740611307846e-16,2.6985362524501357e-16,2.6985362524501357e-16,8.229369848444915e-16
0.002097046401323233,2.9760109317942597e-16,2.9760109317942597e-16,2.9760109317942597e-16,2.9760109317942597e-16,3.1223668021960835e-16,3.1223668021960835e-16,3.1223668021960835e-16,3.457823934965305e-16,3.457823934965305e-16,9.097212672446856e-16
0.002196385372416547,3.8133717201108764e-16,3.8133717201108764e-16,3.8133717201108764e-16,3.8133717201108764e-16,4.00090777090288e-16,4.00090777090288e-16,4.00090777090288e-16,4.430752543861975e-16,4.430752543861975e-16,1.0209240604600622e-15
0.002300430119772917,4.886340880130408e-16,4.886340880130408e-16,4.886340880130408e-16,4.886340880130408e-16,5.126643986866757e-16,5.126643986866757e-16,5.126643986866757e-16,5.677434269125794e-16,5.677434269125794e-16,1.1634160057397028e-15
0.0024094035602395245,6.261211586301783e-16,6.261211586301783e-16,6.261211586301783e-16,6.261211586301783e-16,6.569128826017936e-16,6.569128826017936e-16,6.569128826017936e-16,7.274895079605394e-16,7.274895079605394e-16,1.3460009380287037e-15
0.0025235391704347657,8.022929936765518e-16,8.022929936765518e-16,8.022929936765518e-16,8.022929936765518e-16,8.417485911518012e-16,8.417485911518012e-16,8.417485911518012e-16,9.321833756337796e-16,9.321833756337796e-16,1.5799598290632302e-15
0.0026430814869741054,1.0280343330206508e-15,1.0280343330206508e-15,1.0280343330206508e-15,1.0280343330206508e-15,1.0785915598119795e-15,1.0785915598119795e-15,1.0785915598119795e-15,1.1944719976028804e-15,1.1944719976028804e-15,1.8797477798426043e-15
0.0027682866303920667,1.3172925579545512e-15,1.3172925579545512e-15,1.3172925579545512e-15,1.3172925579545512e-15,1.3820750817126364e-15,1.3820750817126364e-15,1.3820750817126364e-15,1.5305608213494833e-15,1.5305608213494833e-15,2.263887126011855e-15
0.002899422853882875,1.6879394272210555e-15,1.6879394272210555e-15,1.6879394272210555e-15,1.6879394272210555e-15,1.7709498225852792e-15,1.7709498225852792e-15,1.7709498225852792e-15,1.9612150243392383e-15,1.9612150243392383e-15,2.7561118364837884e-15
0.0030367711180354575,2.1628752798781425e-15,2.1628752798781425e-15,2.1628752798781425e-15,2.1628752798781425e-15,2.2692423267109653e-15,2.2692423267109653e-15,2.2692423267109653e-15,2.5130424861550113e-15,2.5130424861550113e-15,3.386833911728907e-15
0.0031806256927941192,2.7714439279433394e-15,2.7714439279433394e-15,2.7714439279433394e-15,2.7714439279433394e-15,2.9077394919181148e-15,2.9077394919181148e-15,2.9077394919181148e-15,3.2201377507547674e-15,3.2201377507547674e-15,4.195022382844257e-15
0.0033312947879346735,3.5512456576630487e-15,3.5512456576630487e-15,3.5512456576630487e-15,3.5512456576630487e-15,3.7258907316059095e-15,3.7258907316059095e-15,3.7258907316059095e-15,4.126188550717164e-15,4.126188550717164e-15,5.230611004964273e-15
