im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,4.166347296836843e-12,4.166347296836843e-12,4.166347296836843e-12,4.166347296836843e-12,4.371194538945827e-12,4.371194538945827e-12,4.371194538945827e-12,4.906770812225106e-12,4.906770812225106e-12,5.7398873840528235e-12
0.001009671904360419,4.311741820153e-12,4.311741820153e-12,4.311741820153e-12,4.311741820153e-12,4.5237376903039974e-12,4.5237376903039974e-12,4.5237376903039974e-12,5.078004161832374e-12,5.078004161832374e-12,5.94019430295155e-12
0.001019437354454795,4.462210228554595e-12,4.462210228554595e-12,4.462210228554595e-12,4.462210228554595e-12,4.681604194997e-12,4.681604194997e-12,4.681604194997e-12,5.255213103359367e-12,5.255213103359367e-12,6.147491404596684e-12
0.0010292972550485203,4.617929587238273e-12,4.617929587238273e-12,4.617929587238273e-12,4.617929587238273e-12,4.844979824004899e-12,4.844979824004899e-12,4.844979824004899e-12,5.438606169191138e-12,5.438606169191138e-12,6.362022627915053e-12
0.0010392525196577912,4.779083140508671e-12,4.779083140508671e-12,4.779083140508671e-12,4.779083140508671e-12,5.014056831224608e-12,5.014056831224608e-12,5.014056831224608e-12,5.628399168942542e-12,5.628399168942542e-12,6.584040424658136e-12
0.0010493040706342459,4.945860527412937e-12,4.945860527412937e-12,4.945860527412937e-12,4.945860527412937e-12,5.1890341797065415e-12,5.1890341797065415e-12,5.1890341797065415e-12,5.82481544341431e-12,5.82481544341431e-12,6.813806056477131e-12
0.0010594528392504174,5.1184580049004005e-12,5.1184580049004005e-12,5.1184580049004005e-12,5.1184580049004005e-12,5.370117775786398e-12,5.370117775786398e-12,5.370117775786398e-12,6.0280861274115984e-12,6.0280861274115984e-12,7.051589902365249e-12
0.0010696997657860217,5.297078678769939e-12,5.297078678769939e-12,5.297078678769939e-12,5.297078678769939e-12,5.557520711387541e-12,5.557520711387541e-12,5.557520711387541e-12,6.2384504217342245e-12,6.2384504217342245e-12,7.297671776828944e-12
0.0010800457996150668,5.481932742676633e-12,5.481932742676633e-12,5.481932742676633e-12,5.481932742676633e-12,5.751463514778916e-12,5.751463514778916e-12,5.751463514778916e-12,6.45615587465845e-12,6.45615587465845e-12,7.552341259162264e-12
0.001090491899293816,5.6732377254793734e-12,5.6732377254793734e-12,5.6732377254793734e-12,5.6732377254793734e-12,5.9521744100840354e-12,5.9521744100840354e-12,5.9521744100840354e-12,6.681458673242048e-12,6.681458673242048e-12,7.815898034212359e-12
0.0011010390326495973,5.8712187472199726e-12,5.8712187472199726e-12,5.8712187472199726e-12,5.8712187472199726e-12,6.1598895858458214e-12,6.1598895858458214e-12,6.1598895858458214e-12,6.914623944794792e-12,6.914623944794792e-12,8.088652245036395e-12
0.0011116881768704725,6.076108784035561e-12,6.076108784035561e-12,6.076108784035561e-12,6.076108784035561e-12,6.3748534729640016e-12,6.3748534729640016e-12,6.3748534729640016e-12,7.15592606886984e-12,7.15592606886984e-12,8.370924857865702e-12
0.001122440318595772,6.288148942315437e-12,6.288148942315437e-12,6.288148942315437e-12,6.288148942315437e-12,6.59731903233144e-12,6.59731903233144e-12,6.59731903233144e-12,7.40564900014244e-12,7.40564900014244e-12,8.66304803980579e-12
0.0011332964540075085,6.5075887424254686e-12,6.5075887424254686e-12,6.5075887424254686e-12,6.5075887424254686e-12,6.827548052508463e-12,6.827548052508463e-12,6.827548052508463e-12,7.664086602556488e-12,7.664086602556488e-12,8.965365549717365e-12
0.0011442575889226711,6.734686412333735e-12,6.734686412333735e-12,6.734686412333735e-12,6.734686412333735e-12,7.065811457785204e-12,7.065811457785204e-12,7.065811457785204e-12,7.93154299513193e-12,7.93154299513193e-12,9.2782331427381e-12
0.0011553247388864148,6.969709191482723e-12,6.969709191482723e-12,6.969709191482723e-12,6.969709191482723e-12,7.312389626994336e-12,7.312389626994336e-12,7.312389626994336e-12,8.208332909839676e-12,8.208332909839676e-12,9.602018988920829e-12
0.001166498929266149,7.21293364526606e-12,7.21293364526606e-12,7.21293364526606e-12,7.21293364526606e-12,7.567572723449703e-12,7.567572723449703e-12,7.567572723449703e-12,8.494782061965672e-12,8.494782061965672e-12,9.937104106481423e-12
0.0011777811953465423,7.464645990479653e-12,7.464645990479653e-12,7.464645990479653e-12,7.464645990479653e-12,7.83166103639896e-12,7.83166103639896e-12,7.83166103639896e-12,8.79122753339965e-12,8.79122753339965e-12,1.028388281016583e-11
0.001189172582425434,7.725142432130071e-12,7.725142432130071e-12,7.725142432130071e-12,7.725142432130071e-12,8.104965334391837e-12,8.104965334391837e-12,8.104965334391837e-12,9.098018169299519e-12,9.098018169299519e-12,1.064276317526378e-11
0.0012006741459106851,7.994729511996789e-12,7.994729511996789e-12,7.994729511996789e-12,7.994729511996789e-12,8.387807230980186e-12,8.387807230980186e-12,8.387807230980186e-12,9.415514988598423e-12,9.415514988598423e-12,1.1014167517815507e-11
0.001212286951417961,8.27372446935819e-12,8.27372446935819e-12,8.27372446935819e-12,8.27372446935819e-12,8.680519563179846e-12,8.680519563179846e-12,8.680519563179846e-12,9.744091608837286e-12,9.744091608837286e-12,1.1398532891576248e-11
