im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.0972261168471915e-09,2.0972261168471915e-09,2.0972261168471915e-09,2.0972261168471915e-09,2.2037407982178306e-09,2.2037407982178306e-09,2.2037407982178306e-09,2.464093473835149e-09,2.464093473835149e-09,2.8627840099243396e-09
0.001009671904360419,2.156783859319283e-09,2.156783859319283e-09,2.156783859319283e-09,2.156783859319283e-09,2.266323380928766e-09,2.266323380928766e-09,2.266323380928766e-09,2.534069640595407e-09,2.534069640595407e-09,2.9440823264541657e-09
0.001019437354454795,2.218032942868998e-09,2.218032942868998e-09,2.218032942868998e-09,2.218032942868998e-09,2.3306832051613856e-09,2.3306832051613856e-09,2.3306832051613856e-09,2.6060330143969843e-09,2.6060330143969843e-09,3.027689380292719e-09
0.0010292972550485203,2.2810213987767406e-09,2.2810213987767406e-09,2.2810213987767406e-09,2.2810213987767406e-09,2.396870741626162e-09,2.396870741626162e-09,2.396870741626162e-09,2.6800400286226795e-09,2.6800400286226795e-09,3.1136707357487988e-09
0.0010392525196577912,2.3457986223315504e-09,2.3457986223315504e-09,2.3457986223315504e-09,2.3457986223315504e-09,2.4649378943179637e-09,2.4649378943179637e-09,2.4649378943179637e-09,2.756148719269682e-09,2.756148719269682e-09,3.202093819048729e-09
0.0010493040706342459,2.412415411566717e-09,2.412415411566717e-09,2.412415411566717e-09,2.412415411566717e-09,2.534938041218991e-09,2.534938041218991e-09,2.534938041218991e-09,2.834418770461199e-09,2.834418770461199e-09,3.2930279712117716e-09
0.0010594528392504174,2.4809240070953665e-09,2.4809240070953665e-09,2.4809240070953665e-09,2.4809240070953665e-09,2.6069260761575472e-09,2.6069260761575472e-09,2.6069260761575472e-09,2.9149115612504755e-09,2.9149115612504755e-09,3.3865445024270372e-09
0.0010696997657860217,2.5513781330773754e-09,2.5513781330773754e-09,2.5513781330773754e-09,2.5513781330773754e-09,2.680958451855594e-09,2.680958451855594e-09,2.680958451855594e-09,2.9976902137540394e-09,2.9976902137540394e-09,3.482716747974698e-09
0.0010800457996150668,2.6238330393495684e-09,2.6238330393495684e-09,2.6238330393495684e-09,2.6238330393495684e-09,2.7570932241986727e-09,2.7570932241986727e-09,2.7570932241986727e-09,3.0828196426517284e-09,3.0828196426517284e-09,3.5816201257351133e-09
0.001090491899293816,2.6983455447524863e-09,2.6983455447524863e-09,2.6983455447524863e-09,2.6983455447524863e-09,2.835390097763168e-09,2.835390097763168e-09,2.835390097763168e-09,3.170366606092597e-09,3.170366606092597e-09,3.6833321953313267e-09
0.0011010390326495973,2.7749740816874124e-09,2.7749740816874124e-09,2.7749740816874124e-09,2.7749740816874124e-09,2.9159104726363114e-09,2.9159104726363114e-09,2.9159104726363114e-09,3.2603997580462984e-09,3.2603997580462984e-09,3.787932718950897e-09
0.0011116881768704725,2.8537787419388926e-09,2.8537787419388926e-09,2.8537787419388926e-09,2.8537787419388926e-09,2.9987174925659543e-09,2.9987174925659543e-09,2.9987174925659543e-09,3.352989702141324e-09,3.352989702141324e-09,3.895503723895171e-09
0.001122440318595772,2.934821323798401e-09,2.934821323798401e-09,2.934821323798401e-09,2.934821323798401e-09,3.0838760944775655e-09,3.0838760944775655e-09,3.0838760944775655e-09,3.448209047032005e-09,3.448209047032005e-09,4.006129566904671e-09
0.0011332964540075085,3.0181653805263394e-09,3.0181653805263394e-09,3.0181653805263394e-09,3.0181653805263394e-09,3.1714530593975352e-09,3.1714530593975352e-09,3.1714530593975352e-09,3.546132463337956e-09,3.546132463337956e-09,4.119897000311345e-09
0.0011442575889226711,3.103876270190233e-09,3.103876270190233e-09,3.103876270190233e-09,3.103876270190233e-09,3.261517064822574e-09,3.261517064822574e-09,3.261517064822574e-09,3.64683674220046e-09,3.64683674220046e-09,4.2368952400693715e-09
0.0011553247388864148,3.1920212069182548e-09,3.1920212069182548e-09,3.1920212069182548e-09,3.1920212069182548e-09,3.3541387385763175e-09,3.3541387385763175e-09,3.3541387385763175e-09,3.7504008555017595e-09,3.7504008555017595e-09,4.357216035717947e-09
0.001166498929266149,3.282669313608259e-09,3.282669313608259e-09,3.282669313608259e-09,3.282669313608259e-09,3.449390714195362e-09,3.449390714195362e-09,3.449390714195362e-09,3.856906017794465e-09,3.856906017794465e-09,4.480953742330866e-09
0.0011777811953465423,3.375891676133698e-09,3.375891676133698e-09,3.375891676133698e-09,3.375891676133698e-09,3.5473476878882174e-09,3.5473476878882174e-09,3.5473476878882174e-09,3.966435749989707e-09,3.966435749989707e-09,4.608205394509429e-09
0.001189172582425434,3.471761399088854e-09,3.471761399088854e-09,3.471761399088854e-09,3.471761399088854e-09,3.6480864771117446e-09,3.6480864771117446e-09,3.6480864771117446e-09,4.079075944853869e-09,4.079075944853869e-09,4.739070782476545e-09
0.0012006741459106851,3.5703536631171317e-09,3.5703536631171317e-09,3.5703536631171317e-09,3.5703536631171317e-09,3.751686080811055e-09,3.751686080811055e-09,3.751686080811055e-09,4.194914934365302e-09,4.194914934365302e-09,4.87365253033177e-09
0.001212286951417961,3.671745783867442e-09,3.671745783867442e-09,3.671745783867442e-09,3.671745783867442e-09,3.858227741370198e-09,3.858227741370198e-09,3.858227741370198e-09,4.3140435589839396e-09,4.3140435589839396e-09,5.0120561765287445e-09
0.0012240120748694594,3.776017272624787e-09,3.776017272624787e-09,3.776017272624787e-09,3.776017272624787e-09,3.967795008322068e-09,3.967795008322068e-09,3.967795008322068e-09,4.436555238887974e-09,4.436555238887974e-09,5.154390256637981e-09
0.0012358506025935947,3.883249898662733e-09,3.883249898662733e-09,3.883249898662733e-09,3.883249898662733e-09,4.0804738038676604e-09,4.0804738038676604e-09,4.0804738038676604e-09,4.56254604723364e-09,4.56254604723364e-09,5.300766388460069e-09
0.001247803631425646,3.993527753366459e-09,3.993527753366459e-09,3.993527753366459e-09,3.993527753366459e-09,4.196352490255825e-09,4.196352490255825e-09,4.196352490255825e-09,4.692114785495287e-09,4.692114785495287e-09,5.4512993595557854e-09
0.0012598722688093784,4.106937316176917e-09,4.106937316176917e-09,4.106937316176917e-09,4.106937316176917e-09,4.315521939076618e-09,4.315521939076618e-09,4.315521939076618e-09,4.8253630609451415e-09,4.8253630609451415e-09,5.606107217262087e-09
0.0012720576328996466,4.2235675224076285e-09,4.2235675224076285e-09,4.2235675224076285e-09,4.2235675224076285e-09,4.438075602522408e-09,4.438075602522408e-09,4.438075602522408e-09,4.962395366333278e-09,4.962395366333278e-09,5.765311361264302e-09
0.001284360852665993,4.343509832987442e-09,4.343509832987442e-09,4.343509832987442e-09,4.343509832987442e-09,4.564109586672745e-09,4.564109586672745e-09,4.564109586672745e-09,5.103319161830465e-09,5.103319161830465e-09,5.929036638797334e-09
0.0012967830679972432,4.4668583061837085e-09,4.4668583061837085e-09,4.4668583061837085e-09,4.4668583061837085e-09,4.693722726860251e-09,4.693722726860251e-09,4.693722726860251e-09,5.248244959297857e-09,5.248244959297857e-09,6.0974114425501976e-09
0.0013093254298071233,4.593709671362511e-09,4.593709671362511e-09,4.593709671362511e-09,4.593709671362511e-09,4.8270166651769936e-09,4.8270166651769936e-09,4.8270166651769936e-09,5.3972864089500865e-09,5.3972864089500865e-09,6.270567811351197e-09
0.001321989100140882,4.7241634048433085e-09,4.7241634048433085e-09,4.7241634048433085e-09,4.7241634048433085e-09,4.964095930181677e-09,4.964095930181677e-09,4.964095930181677e-09,5.550560388479142e-09,5.550560388479142e-09,6.4486415337120604e-09
0.001334775252282961,4.858321807907927e-09,4.858321807907927e-09,4.858321807907927e-09,4.858321807907927e-09,5.105068018870577e-09,5.105068018870577e-09,5.105068018870577e-09,5.708187094709457e-09,5.708187094709457e-09,6.631772254312822e-09
0.0013476850708656958,4.996290087024756e-09,4.996290087024756e-09,4.996290087024756e-09,4.996290087024756e-09,5.250043480976185e-09,5.250043480976185e-09,5.250043480976185e-09,5.8702901378557e-09,5.8702901378557e-09,6.820103583510533e-09
0.0013607197519790734,5.138176436351293e-09,5.138176436351293e-09,5.138176436351293e-09,5.138176436351293e-09,5.3991360056599325e-09,5.3991360056599325e-09,5.3991360056599325e-09,6.036996638457484e-09,6.036996638457484e-09,7.013783209958005e-09
