AvgSa(0.6s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.7643714290854667e-11,1.7643714290854667e-11,1.7643714290854667e-11,1.7643714290854667e-11,1.873480041379087e-11,1.873480041379087e-11,1.873480041379087e-11,2.093525825739244e-11,2.093525825739244e-11,2.4301396637016356e-11
0.0010473708979594498,2.0906268795598094e-11,2.0906268795598094e-11,2.0906268795598094e-11,2.0906268795598094e-11,2.2199111072974787e-11,2.2199111072974787e-11,2.2199111072974787e-11,2.480646247263865e-11,2.480646247263865e-11,2.8795044049461987e-11
0.001096985797892384,2.477211247861139e-11,2.477211247861139e-11,2.477211247861139e-11,2.477211247861139e-11,2.6304018273245165e-11,2.6304018273245165e-11,2.6304018273245165e-11,2.939350319161692e-11,2.939350319161692e-11,3.411962588795341e-11
0.0011489510001873086,2.935280143254158e-11,2.935280143254158e-11,2.935280143254158e-11,2.935280143254158e-11,3.116797672862706e-11,3.116797672862706e-11,3.116797672862706e-11,3.482874798564352e-11,3.482874798564352e-11,4.0428792841332616e-11
0.0012033778407775893,3.4780519936739273e-11,3.4780519936739273e-11,3.4780519936739273e-11,3.4780519936739273e-11,3.6931344985547826e-11,3.6931344985547826e-11,3.6931344985547826e-11,4.126904092848038e-11,4.126904092848038e-11,4.790460762884798e-11
0.0012603829296797275,4.1211894879907574e-11,4.1211894879907574e-11,4.1211894879907574e-11,4.1211894879907574e-11,4.376043572912971e-11,4.376043572912971e-11,4.376043572912971e-11,4.890022862310742e-11,4.890022862310742e-11,5.6762798757734676e-11
0.001320088400831418,4.883251551959869e-11,4.883251551959869e-11,4.883251551959869e-11,4.883251551959869e-11,5.185231504431404e-11,5.185231504431404e-11,5.185231504431404e-11,5.7942523150291445e-11,5.7942523150291445e-11,6.7258985769576e-11
0.0013826221737646563,5.786228900460193e-11,5.786228900460193e-11,5.786228900460193e-11,5.786228900460193e-11,6.144048912339852e-11,6.144048912339852e-11,6.144048912339852e-11,6.865685669677963e-11,6.865685669677963e-11,7.96960556164758e-11
0.001448118227674533,6.856178620375915e-11,6.856178620375915e-11,6.856178620375915e-11,6.856178620375915e-11,7.280164252048554e-11,7.280164252048554e-11,7.280164252048554e-11,8.135241123770544e-11,8.135241123770544e-11,9.44329030260638e-11
0.0015167168884709225,8.123976096187335e-11,8.123976096187335e-11,8.123976096187335e-11,8.123976096187335e-11,8.626362239767736e-11,8.626362239767736e-11,8.626362239767736e-11,9.639554055616499e-11,9.639554055616499e-11,1.1189478707478393e-10
0.0015885651294280528,9.626205976478756e-11,9.626205976478756e-11,9.626205976478756e-11,9.626205976478756e-11,1.0221489916325187e-10,1.0221489916325187e-10,1.0221489916325187e-10,1.1422034206138777e-10,1.1422034206138777e-10,1.325856028275984e-10
0.001663816886076129,1.1406217891855403e-10,1.1406217891855403e-10,1.1406217891855403e-10,1.1406217891855403e-10,1.2111577650609072e-10,1.2111577650609072e-10,1.2111577650609072e-10,1.3534118347493416e-10,1.3534118347493416e-10,1.571024221650434e-10
0.0017426333860096508,1.3515377388968511e-10,1.3515377388968511e-10,1.3515377388968511e-10,1.3515377388968511e-10,1.4351167431270025e-10,1.4351167431270025e-10,1.4351167431270025e-10,1.6036754586568921e-10,1.6036754586568921e-10,1.8615272340017747e-10
0.0018251834943190425,1.6014548178670184e-10,1.6014548178670184e-10,1.6014548178670184e-10,1.6014548178670184e-10,1.7004886777003375e-10,1.7004886777003375e-10,1.7004886777003375e-10,1.9002161135695905e-10,1.9002161135695905e-10,2.20574806877976e-10
0.0019116440753857017,1.8975848471319497e-10,1.8975848471319497e-10,1.8975848471319497e-10,1.8975848471319497e-10,2.0149313683513775e-10,2.0149313683513775e-10,2.0149313683513775e-10,2.251591030315986e-10,2.251591030315986e-10,2.6136198568718083e-10
