im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,4.1468429387134064e-27,4.1468429387134064e-27,4.1468429387134064e-27,4.1468429387134064e-27,4.383856197128924e-27,4.383856197128924e-27,4.383856197128924e-27,4.8937239693742915e-22,4.8937239693742915e-22,2.8139115026117797e-13
0.001009671904360419,4.454164275119163e-27,4.454164275119163e-27,4.454164275119163e-27,4.454164275119163e-27,4.708742517884606e-27,4.708742517884606e-27,4.708742517884606e-27,4.893727568278578e-22,4.893727568278578e-22,2.8139115026117837e-13
0.001019437354454795,4.784261107295088e-27,4.784261107295088e-27,4.784261107295088e-27,4.784261107295088e-27,5.057706070344068e-27,5.057706070344068e-27,5.057706070344068e-27,4.893731433896624e-22,4.893731433896624e-22,2.8139115026117883e-13
0.0010292972550485203,5.13882132067616e-27,5.13882132067616e-27,5.13882132067616e-27,5.13882132067616e-27,5.4325312112175855e-27,5.4325312112175855e-27,5.4325312112175855e-27,4.893735585994512e-22,4.893735585994512e-22,2.813911502611793e-13
0.0010392525196577912,5.5196578894010366e-27,5.5196578894010366e-27,5.5196578894010366e-27,5.5196578894010366e-27,5.83513453537756e-27,5.83513453537756e-27,5.83513453537756e-27,4.893740045803179e-22,4.893740045803179e-22,2.813911502611798e-13
0.0010493040706342459,5.928718146599877e-27,5.928718146599877e-27,5.928718146599877e-27,5.928718146599877e-27,6.267574675990638e-27,6.267574675990638e-27,6.267574675990638e-27,4.893744836126983e-22,4.893744836126983e-22,2.8139115026118034e-13
0.0010594528392504174,6.368093741700528e-27,6.368093741700528e-27,6.368093741700528e-27,6.368093741700528e-27,6.732062830934816e-27,6.732062830934816e-27,6.732062830934816e-27,4.893749981460304e-22,4.893749981460304e-22,2.8139115026118095e-13
0.0010696997657860217,6.840031335667793e-27,6.840031335667793e-27,6.840031335667793e-27,6.840031335667793e-27,7.230974069326272e-27,7.230974069326272e-27,7.230974069326272e-27,4.893755508112796e-22,4.893755508112796e-22,2.8139115026118155e-13
0.0010800457996150668,7.34694408886381e-27,7.34694408886381e-27,7.34694408886381e-27,7.34694408886381e-27,7.766859475969656e-27,7.766859475969656e-27,7.766859475969656e-27,4.893761444343914e-22,4.893761444343914e-22,2.8139115026118226e-13
0.001090491899293816,7.89142400027047e-27,7.89142400027047e-27,7.89142400027047e-27,7.89142400027047e-27,8.342459195830095e-27,8.342459195830095e-27,8.342459195830095e-27,4.8937678205074115e-22,4.8937678205074115e-22,2.8139115026118297e-13
0.0011010390326495973,8.476255161168023e-27,8.476255161168023e-27,8.476255161168023e-27,8.476255161168023e-27,8.960716445227248e-27,8.960716445227248e-27,8.960716445227248e-27,4.893774669206549e-22,4.893774669206549e-22,2.813911502611838e-13
0.0011116881768704725,9.104427991040029e-27,9.104427991040029e-27,9.104427991040029e-27,9.104427991040029e-27,9.624792561394945e-27,9.624792561394945e-27,9.624792561394945e-27,4.893782025460809e-22,4.893782025460809e-22,2.8139115026118463e-13
0.001122440318595772,9.77915452849724e-27,9.77915452849724e-27,9.77915452849724e-27,9.77915452849724e-27,1.0338083167359483e-26,1.0338083167359483e-26,1.0338083167359483e-26,4.893789926884955e-22,4.893789926884955e-22,2.813911502611855e-13
0.0011332964540075085,1.0503884855406755e-26,1.0503884855406755e-26,1.0503884855406755e-26,1.0503884855406755e-26,1.1104235534791673e-26,1.1104235534791673e-26,1.1104235534791673e-26,4.893798413881369e-22,4.893798413881369e-22,2.813911502611865e-13
0.0011442575889226711,1.1282324738210064e-26,1.1282324738210064e-26,1.1282324738210064e-26,1.1282324738210064e-26,1.1927167233616323e-26,1.1927167233616323e-26,1.1927167233616323e-26,4.893807529846643e-22,4.893807529846643e-22,2.813911502611875e-13
