AvgSa(2.0s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.2579527096987373e-12,3.2579527096987373e-12,3.2579527096987373e-12,3.2579527096987373e-12,3.9991820766540537e-07,3.9991820766540537e-07,3.9991820766540537e-07,6.02374960282848e-05,6.02374960282848e-05,0.0016301727959646601
0.0010473708979594498,3.906400463436937e-12,3.906400463436937e-12,3.906400463436937e-12,3.906400463436937e-12,3.9991889622855084e-07,3.9991889622855084e-07,3.9991889622855084e-07,6.023749675283373e-05,6.023749675283373e-05,0.0016301727967323674
0.001096985797892384,4.683912241976493e-12,4.683912241976493e-12,4.683912241976493e-12,4.683912241976493e-12,3.999197218401021e-07,3.999197218401021e-07,3.999197218401021e-07,6.023749762159352e-05,6.023749762159352e-05,0.0016301727976528759
0.0011489510001873086,5.616176348502474e-12,5.616176348502474e-12,5.616176348502474e-12,5.616176348502474e-12,3.9992071177753636e-07,3.9992071177753636e-07,3.9992071177753636e-07,6.023749866326722e-05,6.023749866326722e-05,0.001630172798756598
0.0012033778407775893,6.733993966582785e-12,6.733993966582785e-12,6.733993966582785e-12,6.733993966582785e-12,3.999218987475131e-07,3.999218987475131e-07,3.999218987475131e-07,6.0237499912270806e-05,6.0237499912270806e-05,0.0016301728000799997
0.0012603829296797275,8.074296804097815e-12,8.074296804097815e-12,8.074296804097815e-12,8.074296804097815e-12,3.999233219664731e-07,3.999233219664731e-07,3.999233219664731e-07,6.0237501409870254e-05,6.0237501409870254e-05,0.0016301728016668052
0.001320088400831418,9.681367284284982e-12,9.681367284284982e-12,9.681367284284982e-12,9.681367284284982e-12,3.999250284563151e-07,3.999250284563151e-07,3.999250284563151e-07,6.023750320554493e-05,6.023750320554493e-05,0.0016301728035694413
0.0013826221737646563,1.160830159793291e-11,1.160830159793291e-11,1.160830159793291e-11,1.160830159793291e-11,3.999270745979579e-07,3.999270745979579e-07,3.999270745979579e-07,6.023750535862234e-05,6.023750535862234e-05,0.001630172805850769
0.001448118227674533,1.3918763954679544e-11,1.3918763954679544e-11,1.3918763954679544e-11,1.3918763954679544e-11,3.9992952799411613e-07,3.9992952799411613e-07,3.9992952799411613e-07,6.023750794023827e-05,6.023750794023827e-05,0.0016301728085861616
0.0015167168884709225,1.6689089992328938e-11,1.6689089992328938e-11,1.6689089992328938e-11,1.6689089992328938e-11,3.999324697028343e-07,3.999324697028343e-07,3.999324697028343e-07,6.023751103568702e-05,6.023751103568702e-05,0.001630172811865994
0.0015885651294280528,2.0010808838974513e-11,2.0010808838974513e-11,2.0010808838974513e-11,2.0010808838974513e-11,3.9993599691557305e-07,3.9993599691557305e-07,3.9993599691557305e-07,6.0237514747239495e-05,6.0237514747239495e-05,0.001630172815798629
0.001663816886076129,2.399366715463635e-11,2.399366715463635e-11,2.399366715463635e-11,2.399366715463635e-11,3.999402261683293e-07,3.999402261683293e-07,3.999402261683293e-07,6.0237519197522106e-05,6.0237519197522106e-05,0.0016301728205139975
0.0017426333860096508,2.876925506408082e-11,2.876925506408082e-11,2.876925506408082e-11,2.876925506408082e-11,3.9994529719188273e-07,3.9994529719188273e-07,3.9994529719188273e-07,6.023752453356827e-05,6.023752453356827e-05,0.0016301728261678909
0.0018251834943190425,3.4495353778441395e-11,3.4495353778441395e-11,3.4495353778441395e-11,3.4495353778441395e-11,3.999513775283775e-07,3.999513775283775e-07,3.999513775283775e-07,6.023753093167625e-05,6.023753093167625e-05,0.001630172832947109
0.0019116440753857017,4.1361148547225945e-11,4.1361148547225945e-11,4.1361148547225945e-11,4.1361148547225945e-11,3.999586680667668e-07,3.999586680667668e-07,3.999586680667668e-07,6.023753860323388e-05,6.023753860323388e-05,0.0016301728410756308
0.0020022003718155844,4.959347917204217e-11,4.959347917204217e-11,4.959347917204217e-11,4.959347917204217e-11,3.999674096800068e-07,3.999674096800068e-07,3.999674096800068e-07,6.023754780170265e-05,6.023754780170265e-05,0.0016301728508220162
0.002097046401323233,5.9464334593501e-11,5.9464334593501e-11,5.9464334593501e-11,5.9464334593501e-11,3.999778911832863e-07,3.999778911832863e-07,3.999778911832863e-07,6.023755883099187e-05,6.023755883099187e-05,0.0016301728625082767
0.002196385372416547,7.129983916583697e-11,7.129983916583697e-11,7.129983916583697e-11,7.129983916583697e-11,3.999904588762261e-07,3.999904588762261e-07,3.999904588762261e-07,6.0237572055499514e-05,6.0237572055499514e-05,0.001630172876520516
0.002300430119772917,8.549102751782636e-11,8.549102751782636e-11,8.549102751782636e-11,8.549102751782636e-11,4.000055279843125e-07,4.000055279843125e-07,4.000055279843125e-07,6.0237587912151646e-05,6.0237587912151646e-05,0.0016301728933216864
0.0024094035602395245,1.0250676399190382e-10,1.0250676399190382e-10,1.0250676399190382e-10,1.0250676399190382e-10,4.000235963775814e-07,4.000235963775814e-07,4.000235963775814e-07,6.0237606924838064e-05,6.0237606924838064e-05,0.0016301729134668836
0.0025235391704347657,1.2290923350833731e-10,1.229092335083373e-10,1.229092335083373e-10,1.229092335083373e-10,4.0004526101980485e-07,4.0004526101980485e-07,4.0004526101980485e-07,6.023762972172115e-05,6.023762972172115e-05,0.0016301729376216872
0.0026430814869741054,1.473725156589554e-10,1.4737251565895536e-10,1.4737251565895536e-10,1.4737251565895536e-10,4.000712376916473e-07,4.000712376916473e-07,4.000712376916473e-07,6.023765705598981e-05,6.023765705598981e-05,0.0016301729665841502
0.0027682866303920667,1.767048557020745e-10,1.7670485570207431e-10,1.7670485570207431e-10,1.7670485570207431e-10,4.0010238463942703e-07,4.0010238463942703e-07,4.0010238463942703e-07,6.023768983074417e-05,6.023768983074417e-05,0.0016301730013111675
0.002899422853882875,2.1187536827265433e-10,2.1187536827265378e-10,2.1187536827265378e-10,2.1187536827265378e-10,4.001397309308177e-07,4.001397309308177e-07,4.001397309308177e-07,6.023772912883318e-05,6.023772912883318e-05,0.0016301730429500887
0.0030367711180354575,2.540460560746875e-10,2.540460560746858e-10,2.540460560746858e-10,2.540460560746858e-10,4.001845104543356e-07,4.001845104543356e-07,4.001845104543356e-07,6.023777624863105e-05,6.023777624863105e-05,0.0016301730928766271
0.0031806256927941192,3.0461020142515403e-10,3.046102014251489e-10,3.046102014251489e-10,3.046102014251489e-10,4.0023820268592784e-07,4.0023820268592784e-07,4.0023820268592784e-07,6.023783274693431e-05,6.023783274693431e-05,0.0016301731527403115
0.0033312947879346735,3.652383990722603e-10,3.6523839907224485e-10,3.6523839907224485e-10,3.6523839907224485e-10,4.0030258156955183e-07,4.0030258156955183e-07,4.0030258156955183e-07,6.023790049039705e-05,6.023790049039705e-05,0.001630173224518985
