im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.3595796678051902e-12,3.3595796678051902e-12,3.3595796678051902e-12,3.3595796678051902e-12,4.2817476455944537e-10,4.2817476455944537e-10,4.2817476455944537e-10,2.587997145267878e-06,2.587997145267878e-06,0.0003449109968578804
0.001009671904360419,3.4688731819306666e-12,3.4688731819306666e-12,3.4688731819306666e-12,3.4688731819306666e-12,4.282891703402169e-10,4.282891703402169e-10,4.282891703402169e-10,2.587997267211981e-06,2.587997267211981e-06,0.00034491099698943467
0.001019437354454795,3.581722221869172e-12,3.581722221869172e-12,3.581722221869172e-12,3.581722221869172e-12,4.284072979585554e-10,4.284072979585554e-10,4.284072979585554e-10,2.587997393123157e-06,2.587997393123157e-06,0.0003449109971252686
0.0010292972550485203,3.698242455635498e-12,3.698242455635498e-12,3.698242455635498e-12,3.698242455635498e-12,4.285292684929132e-10,4.285292684929132e-10,4.285292684929132e-10,2.5879975231304635e-06,2.5879975231304635e-06,0.00034491099726552155
0.0010392525196577912,3.818553314144876e-12,3.818553314144876e-12,3.818553314144876e-12,3.818553314144876e-12,4.286552069606548e-10,4.286552069606548e-10,4.286552069606548e-10,2.587997657367155e-06,2.587997657367155e-06,0.00034491099741033713
0.0010493040706342459,3.942778113627242e-12,3.942778113627242e-12,3.942778113627242e-12,3.942778113627242e-12,4.2878524244619746e-10,4.2878524244619746e-10,4.2878524244619746e-10,2.5879977959708207e-06,2.5879977959708207e-06,0.00034491099755986384
0.0010594528392504174,4.071044182023991e-12,4.071044182023991e-12,4.071044182023991e-12,4.071044182023991e-12,4.2891950823331984e-10,4.2891950823331984e-10,4.2891950823331984e-10,2.5879979390835275e-06,2.5879979390835275e-06,0.000344910997714255
0.0010696997657860217,4.203482989496542e-12,4.203482989496542e-12,4.203482989496542e-12,4.203482989496542e-12,4.2905814194177537e-10,4.2905814194177537e-10,4.2905814194177537e-10,2.5879980868519628e-06,2.5879980868519628e-06,0.00034491099787366876
0.0010800457996150668,4.340230283180583e-12,4.340230283180583e-12,4.340230283180583e-12,4.340230283180583e-12,4.292012856683497e-10,4.292012856683497e-10,4.292012856683497e-10,2.587998239427586e-06,2.587998239427586e-06,0.00034491099803826854
0.001090491899293816,4.481426226324279e-12,4.481426226324279e-12,4.481426226324279e-12,4.481426226324279e-12,4.29349086132507e-10,4.29349086132507e-10,4.29349086132507e-10,2.5879983969667845e-06,2.5879983969667845e-06,0.0003449109982082231
