AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.3852809121923855e-14,2.3852809121923855e-14,2.3852809121923855e-14,2.3852809121923855e-14,2.516524614587601e-14,2.516524614587601e-14,2.516524614587601e-14,7.136334781954373e-09,7.136334781954373e-09,2.3690130933433212e-05
0.0010473708979594498,2.840175980652038e-14,2.840175980652038e-14,2.840175980652038e-14,2.840175980652038e-14,2.989652863293382e-14,2.989652863293382e-14,2.989652863293382e-14,7.136339941895936e-09,7.136339941895936e-09,2.3690130939188174e-05
0.001096985797892384,3.3818237339846475e-14,3.3818237339846475e-14,3.3818237339846475e-14,3.3818237339846475e-14,3.553011032502481e-14,3.553011032502481e-14,3.553011032502481e-14,7.136346085885945e-09,7.136346085885945e-09,2.3690130946040657e-05
0.0011489510001873086,4.026768709281234e-14,4.026768709281234e-14,4.026768709281234e-14,4.026768709281234e-14,4.223806800209801e-14,4.223806800209801e-14,4.223806800209801e-14,7.1363534015915115e-09,7.1363534015915115e-09,2.3690130954199973e-05
0.0012033778407775893,4.794710639439898e-14,4.794710639439898e-14,4.794710639439898e-14,4.794710639439898e-14,5.022529507303583e-14,5.022529507303583e-14,5.022529507303583e-14,7.1363621124696e-09,7.1363621124696e-09,2.3690130963915346e-05
0.0012603829296797275,5.70910617810518e-14,5.70910617810518e-14,5.70910617810518e-14,5.70910617810518e-14,5.973576000944468e-14,5.973576000944468e-14,5.973576000944468e-14,7.136372484592476e-09,7.136372484592476e-09,2.369013097548353e-05
0.001320088400831418,6.797885379103127e-14,6.797885379103127e-14,6.797885379103127e-14,6.797885379103127e-14,7.105995832049158e-14,7.105995832049158e-14,7.105995832049158e-14,7.136384834774844e-09,7.136384834774844e-09,2.3690130989257874e-05
0.0013826221737646563,8.094304815112269e-14,8.094304815112269e-14,8.094304815112269e-14,8.094304815112269e-14,8.454378568806705e-14,8.454378568806705e-14,8.454378568806705e-14,7.136399540250888e-09,7.136399540250888e-09,2.3690131005659112e-05
0.001448118227674533,9.637963393933146e-14,9.637963393933146e-14,9.637963393933146e-14,9.637963393933146e-14,1.0059910329065721e-13,1.0059910329065721e-13,1.0059910329065721e-13,7.136417050196838e-09,7.136417050196838e-09,2.369013102518822e-05
0.0015167168884709225,1.147601190028905e-13,1.147601190028905e-13,1.147601190028905e-13,1.147601190028905e-13,1.1971631803191952e-13,1.1971631803191952e-13,1.1971631803191952e-13,7.136437899450969e-09,7.136437899450969e-09,2.3690131048441706e-05
0.0015885651294280528,1.3664593208402985e-13,1.3664593208402985e-13,1.3664593208402985e-13,1.3664593208402985e-13,1.4247936193486714e-13,1.4247936193486714e-13,1.4247936193486714e-13,7.1364627248501455e-09,7.1364627248501455e-09,2.3690131076129844e-05
0.001663816886076129,1.6270557156395814e-13,1.6270557156395814e-13,1.6270557156395814e-13,1.6270557156395814e-13,1.6958352824467612e-13,1.6958352824467612e-13,1.6958352824467612e-13,7.1364922846819004e-09,7.1364922846819004e-09,2.369013110909837e-05
0.0017426333860096508,1.9373502463047892e-13,1.9373502463047892e-13,1.9373502463047892e-13,1.9373502463047892e-13,2.0185670904079447e-13,2.0185670904079447e-13,2.0185670904079447e-13,7.136527481846189e-09,7.136527481846189e-09,2.3690131148354294e-05
0.0018251834943190425,2.3068208056918267e-13,2.3068208056918267e-13,2.3068208056918267e-13,2.3068208056918267e-13,2.4028468305753983e-13,2.4028468305753983e-13,2.4028468305753983e-13,7.136569391434318e-09,7.136569391434318e-09,2.369013119509669e-05
0.0019116440753857017,2.746752808235114e-13,2.746752808235114e-13,2.746752808235114e-13,2.746752808235114e-13,2.8604122612531557e-13,2.8604122612531557e-13,2.8604122612531557e-13,7.136619293567418e-09,7.136619293567418e-09,2.3690131250753286e-05
