AvgSa(0.6s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.381687107689174e-11,3.381687107689174e-11,3.381687107689174e-11,3.381687107689174e-11,3.705419570108321e-11,3.705419570108321e-11,3.705419570108321e-11,4.04621614286875e-11,4.04621614286875e-11,3.341293124272673e-10
0.0010473708979594498,3.949037823642991e-11,3.949037823642991e-11,3.949037823642991e-11,3.949037823642991e-11,4.3270833666263054e-11,4.3270833666263054e-11,4.3270833666263054e-11,4.725035985691984e-11,4.725035985691984e-11,3.4172149471815576e-10
0.001096985797892384,4.611573819792162e-11,4.611573819792162e-11,4.611573819792162e-11,4.611573819792162e-11,5.053044630291936e-11,5.053044630291936e-11,5.053044630291936e-11,5.5177424512395444e-11,5.5177424512395444e-11,3.505874288142509e-10
0.0011489510001873086,5.385264473296507e-11,5.385264473296507e-11,5.385264473296507e-11,5.385264473296507e-11,5.900801503530669e-11,5.900801503530669e-11,5.900801503530669e-11,6.44344246894363e-11,6.44344246894363e-11,3.6094081396550327e-10
0.0012033778407775893,6.28875836766265e-11,6.28875836766265e-11,6.28875836766265e-11,6.28875836766265e-11,6.890787818355133e-11,6.890787818355133e-11,6.890787818355133e-11,7.524448566431426e-11,7.524448566431426e-11,3.730312020653926e-10
0.0012603829296797275,7.343832787209091e-11,7.343832787209091e-11,7.343832787209091e-11,7.343832787209091e-11,8.046865621407881e-11,8.046865621407881e-11,8.046865621407881e-11,8.786816677539552e-11,8.786816677539552e-11,3.8715001270267616e-10
0.001320088400831418,8.575918623891494e-11,8.575918623891494e-11,8.575918623891494e-11,8.575918623891494e-11,9.396900330668865e-11,9.396900330668865e-11,9.396900330668865e-11,1.0260974179185232e-10,1.0260974179185232e-10,4.036375573673847e-10
0.0013826221737646563,1.0014713348532968e-10,1.0014713348532968e-10,1.0014713348532968e-10,1.0014713348532968e-10,1.0973432387065944e-10,1.0973432387065944e-10,1.0973432387065944e-10,1.198245329492485e-10,1.198245329492485e-10,4.228912421183879e-10
0.001448118227674533,1.1694896821156134e-10,1.1694896821156134e-10,1.1694896821156134e-10,1.1694896821156134e-10,1.2814461590082467e-10,1.2814461590082467e-10,1.2814461590082467e-10,1.3992747542726368e-10,1.3992747542726368e-10,4.453751464247872e-10
0.0015167168884709225,1.3656967193887527e-10,1.3656967193887527e-10,1.3656967193887527e-10,1.3656967193887527e-10,1.4964363022525366e-10,1.4964363022525366e-10,1.4964363022525366e-10,1.634031187026819e-10,1.634031187026819e-10,4.716312090638849e-10
