im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,8.18936566668582e-13,8.18936566668582e-13,8.18936566668582e-13,8.18936566668582e-13,8.632902282435656e-13,8.632902282435656e-13,8.632902282435656e-13,9.484220325558125e-13,9.484220325558125e-13,4.994511839430851e-10
0.001009671904360419,8.473111236585699e-13,8.473111236585699e-13,8.473111236585699e-13,8.473111236585699e-13,8.932015532193728e-13,8.932015532193728e-13,8.932015532193728e-13,9.812729702480098e-13,9.812729702480098e-13,4.994882337746419e-10
0.001019437354454795,8.766688037830488e-13,8.766688037830488e-13,8.766688037830488e-13,8.766688037830488e-13,9.241492473472114e-13,9.241492473472114e-13,9.241492473472114e-13,1.0152621289473686e-12,1.0152621289473686e-12,4.995265673107e-10
0.0010292972550485203,9.070436703438092e-13,9.070436703438092e-13,9.070436703438092e-13,9.070436703438092e-13,9.561692187996734e-13,9.561692187996734e-13,9.561692187996734e-13,1.0504289457948848e-12,1.0504289457948848e-12,4.995662290291201e-10
0.0010392525196577912,9.384709668696814e-13,9.384709668696814e-13,9.384709668696814e-13,9.384709668696814e-13,9.892986198975692e-13,9.892986198975692e-13,9.892986198975692e-13,1.0868142243516533e-12,1.0868142243516533e-12,4.996072649488343e-10
0.0010493040706342459,9.709871580091426e-13,9.709871580091426e-13,9.709871580091426e-13,9.709871580091426e-13,1.0235758902172802e-12,1.0235758902172802e-12,1.0235758902172802e-12,1.124460181942705e-12,1.124460181942705e-12,4.996497226832409e-10
0.0010594528392504174,1.0046299718396998e-12,1.0046299718396998e-12,1.0046299718396998e-12,1.0046299718396998e-12,1.0590408011916237e-12,1.0590408011916237e-12,1.0590408011916237e-12,1.1634104986411382e-12,1.1634104986411382e-12,4.996936514954495e-10
0.0010696997657860217,1.0394384436432876e-12,1.0394384436432876e-12,1.0394384436432876e-12,1.0394384436432876e-12,1.0957345022561262e-12,1.0957345022561262e-12,1.0957345022561262e-12,1.2037103679495359e-12,1.2037103679495359e-12,4.997391023554408e-10
0.0010800457996150668,1.0754529611983084e-12,1.0754529611983084e-12,1.0754529611983084e-12,1.0754529611983084e-12,1.133699568594086e-12,1.133699568594086e-12,1.133699568594086e-12,1.2454065492372971e-12,1.2454065492372971e-12,4.997861279992061e-10
0.001090491899293816,1.1127153116410273e-12,1.1127153116410273e-12,1.1127153116410273e-12,1.1127153116410273e-12,1.1729800505359827e-12,1.1729800505359827e-12,1.1729800505359827e-12,1.2885474219949016e-12,1.2885474219949016e-12,4.998347829899359e-10
0.0011010390326495973,1.1512687299505983e-12,1.1512687299505983e-12,1.1512687299505983e-12,1.1512687299505983e-12,1.2136215246704573e-12,1.2136215246704573e-12,1.2136215246704573e-12,1.3331830419679536e-12,1.3331830419679536e-12,4.998851237813291e-10
0.0011116881768704725,1.1911579491139914e-12,1.1911579491139914e-12,1.1911579491139914e-12,1.1911579491139914e-12,1.2556711467261741e-12,1.2556711467261741e-12,1.2556711467261741e-12,1.379365199236145e-12,1.379365199236145e-12,4.99937208783095e-10
0.001122440318595772,1.2324292520290526e-12,1.2324292520290526e-12,1.2324292520290526e-12,1.2324292520290526e-12,1.2991777062859555e-12,1.2991777062859555e-12,1.2991777062859555e-12,1.4271474783045623e-12,1.4271474783045623e-12,4.999910984287261e-10
0.0011332964540075085,1.2751305252058799e-12,1.2751305252058799e-12,1.2751305252058799e-12,1.2751305252058799e-12,1.3441916833966259e-12,1.3441916833966259e-12,1.3441916833966259e-12,1.4765853202770107e-12,1.4765853202770107e-12,5.000468552456172e-10
0.0011442575889226711,1.319311314328895e-12,1.319311314328895e-12,1.319311314328895e-12,1.319311314328895e-12,1.390765307140332e-12,1.390765307140332e-12,1.390765307140332e-12,1.5277360871835807e-12,1.5277360871835807e-12,5.00104543927616e-10
0.0011553247388864148,1.3650228817439666e-12,1.3650228817439666e-12,1.3650228817439666e-12,1.3650228817439666e-12,1.4389526162351697e-12,1.4389526162351697e-12,1.4389526162351697e-12,1.5806591285369596e-12,1.5806591285369596e-12,5.001642314100855e-10
0.001166498929266149,1.4123182659374169e-12,1.4123182659374169e-12,1.4123182659374169e-12,1.4123182659374169e-12,1.4888095217355807e-12,1.4888095217355807e-12,1.4888095217355807e-12,1.6354158501948704e-12,1.6354158501948704e-12,5.002259869475692e-10
0.0011777811953465423,1.4612523430758078e-12,1.4612523430758078e-12,1.4612523430758078e-12,1.4612523430758078e-12,1.5403938719051355e-12,1.5403938719051355e-12,1.5403938719051355e-12,1.6920697856083944e-12,1.6920697856083944e-12,5.002898821941452e-10
0.001189172582425434,1.5118818906780092e-12,1.5118818906780092e-12,1.5118818906780092e-12,1.5118818906780092e-12,1.5937655193370864e-12,1.5937655193370864e-12,1.5937655193370864e-12,1.7506866695389734e-12,1.7506866695389734e-12,5.003559912865661e-10
0.0012006741459106851,1.5642656534933044e-12,1.5642656534933044e-12,1.5642656534933044e-12,1.5642656534933044e-12,1.648986390400435e-12,1.648986390400435e-12,1.648986390400435e-12,1.8113345143294635e-12,1.8113345143294635e-12,5.004243909302785e-10
0.001212286951417961,1.6184644116621467e-12,1.6184644116621467e-12,1.6184644116621467e-12,1.6184644116621467e-12,1.706120557092282e-12,1.706120557092282e-12,1.706120557092282e-12,1.8740836888179646e-12,1.8740836888179646e-12,5.004951604884234e-10
0.0012240120748694594,1.6745410512384532e-12,1.6745410512384532e-12,1.6745410512384532e-12,1.6745410512384532e-12,1.7652343113796115e-12,1.7652343113796115e-12,1.7652343113796115e-12,1.9390069999857337e-12,1.9390069999857337e-12,5.005683820739198e-10
0.0012358506025935947,1.7325606371554502e-12,1.7325606371554502e-12,1.7325606371554502e-12,1.7325606371554502e-12,1.8263962421169702e-12,1.8263962421169702e-12,1.8263962421169702e-12,2.0061797774341483e-12,2.0061797774341483e-12,5.006441406447399e-10
0.001247803631425646,1.792590488719547e-12,1.792590488719547e-12,1.792590488719547e-12,1.792590488719547e-12,1.8896773146290996e-12,1.8896773146290996e-12,1.8896773146290996e-12,2.0756799607885256e-12,2.0756799607885256e-12,5.007225241024837e-10
0.0012598722688093784,1.8547002577200273e-12,1.8547002577200273e-12,1.8547002577200273e-12,1.8547002577200273e-12,1.955150953051049e-12,1.955150953051049e-12,1.955150953051049e-12,2.147588190130427e-12,2.147588190130427e-12,5.008036233943707e-10
0.0012720576328996466,1.9189620092449874e-12,1.9189620092449874e-12,1.9189620092449874e-12,1.9189620092449874e-12,2.0228931255211136e-12,2.0228931255211136e-12,2.0228931255211136e-12,2.221987899563146e-12,2.221987899563146e-12,5.00887532618764e-10
0.001284360852665993,1.9854503052974843e-12,1.9854503052974843e-12,1.9854503052974843e-12,1.9854503052974843e-12,2.092982432325636e-12,2.092982432325636e-12,2.092982432325636e-12,2.298965414019173e-12,2.298965414019173e-12,5.009743491343525e-10
0.0012967830679972432,2.05424229130875e-12,2.05424229130875e-12,2.05424229130875e-12,2.05424229130875e-12,2.165500197097784e-12,2.165500197097784e-12,2.165500197097784e-12,2.3786100494217678e-12,2.3786100494217678e-12,5.010641736731133e-10
0.0013093254298071233,2.1254177856489507e-12,2.1254177856489507e-12,2.1254177856489507e-12,2.1254177856489507e-12,2.240530561176222e-12,2.240530561176222e-12,2.240530561176222e-12,2.4610142163169682e-12,2.4610142163169682e-12,5.011571104571907e-10
0.001321989100140882,2.199059372239326e-12,2.199059372239326e-12,2.199059372239326e-12,2.199059372239326e-12,2.3181605812331224e-12,2.3181605812331224e-12,2.3181605812331224e-12,2.5462735270962544e-12,2.5462735270962544e-12,5.01253267319823e-10
