AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,4.6489378128590755e-10,4.6489378128590755e-10,4.6489378128590755e-10,4.6489378128590755e-10,4.909663545059569e-10,4.909663545059569e-10,4.909663545059569e-10,5.371717494900056e-10,5.371717494900056e-10,4.828686842801237e-08
0.0010473708979594498,5.259901190825739e-10,5.259901190825739e-10,5.259901190825739e-10,5.259901190825739e-10,5.554891497083105e-10,5.554891497083105e-10,5.554891497083105e-10,6.076725242107966e-10,6.076725242107966e-10,4.836574729632818e-08
0.001096985797892384,5.951157372013343e-10,5.951157372013343e-10,5.951157372013343e-10,5.951157372013343e-10,6.284915302425443e-10,6.284915302425443e-10,6.284915302425443e-10,6.874385102924433e-10,6.874385102924433e-10,4.84549924250097e-08
0.0011489510001873086,6.733258436093739e-10,6.733258436093739e-10,6.733258436093739e-10,6.733258436093739e-10,7.110878831571215e-10,7.110878831571215e-10,7.110878831571215e-10,7.776873417506779e-10,7.776873417506779e-10,4.855596614792511e-08
0.0012033778407775893,7.618143216976279e-10,7.618143216976279e-10,7.618143216976279e-10,7.618143216976279e-10,8.045390482386667e-10,8.045390482386667e-10,8.045390482386667e-10,8.797966740550347e-10,8.797966740550347e-10,4.8670209836849926e-08
0.0012603829296797275,8.619319550038821e-10,8.619319550038821e-10,8.619319550038821e-10,8.619319550038821e-10,9.102715648296528e-10,9.102715648296528e-10,9.102715648296528e-10,9.953252141470161e-10,9.953252141470161e-10,4.87994674306272e-08
0.001320088400831418,9.752070470288653e-10,9.752070470288653e-10,9.752070470288653e-10,9.752070470288653e-10,1.0298994480627407e-09,1.0298994480627407e-09,1.0298994480627407e-09,1.1260365142231017e-09,1.1260365142231017e-09,4.894571205652992e-08
0.0013826221737646563,1.1033687509083189e-09,1.1033687509083189e-09,1.1033687509083189e-09,1.1033687509083189e-09,1.1652488269275642e-09,1.1652488269275642e-09,1.1652488269275642e-09,1.2739258924964146e-09,1.2739258924964146e-09,4.911117615020247e-08
0.001448118227674533,1.2483734650703812e-09,1.2483734650703812e-09,1.2483734650703812e-09,1.2483734650703812e-09,1.3183858202720496e-09,1.3183858202720496e-09,1.3183858202720496e-09,1.4412508918846529e-09,1.4412508918846529e-09,4.929838553396452e-08
0.0015167168884709225,1.4124346978099484e-09,1.4124346978099484e-09,1.4124346978099484e-09,1.4124346978099484e-09,1.4916480762674815e-09,1.4916480762674815e-09,1.4916480762674815e-09,1.630565741578401e-09,1.630565741578401e-09,4.95101979736851e-08
0.0015885651294280528,1.59805685666508e-09,1.59805685666508e-09,1.59805685666508e-09,1.59805685666508e-09,1.6876804567897287e-09,1.6876804567897287e-09,1.6876804567897287e-09,1.8447603475483565e-09,1.8447603475483565e-09,4.9749846802800744e-08
0.001663816886076129,1.8080734783928424e-09,1.8080734783928424e-09,1.8080734783928424e-09,1.8080734783928424e-09,1.9094754114414047e-09,1.9094754114414047e-09,1.9094754114414047e-09,2.0871044071845112e-09,2.0871044071845112e-09,5.0020990279401314e-08
0.0017426333860096508,2.0456904831281025e-09,2.0456904831281025e-09,2.0456904831281025e-09,2.0456904831281025e-09,2.1604186575275035e-09,2.1604186575275035e-09,2.1604186575275035e-09,2.3612973214806187e-09,2.3612973214806187e-09,5.0327767429823515e-08
0.0018251834943190425,2.314535113003277e-09,2.314535113003277e-09,2.314535113003277e-09,2.314535113003277e-09,2.4443408632927913e-09,2.4443408632927913e-09,2.4443408632927913e-09,2.6715246666772116e-09,2.6715246666772116e-09,5.067486123120843e-08
0.0019116440753857017,2.6187113022807933e-09,2.6187113022807933e-09,2.6187113022807933e-09,2.6187113022807933e-09,2.7655761233694945e-09,2.7655761233694945e-09,2.7655761233694945e-09,3.0225220874070593e-09,3.0225220874070593e-09,5.1067570097509844e-08
0.0020022003718155844,2.962862324227505e-09,2.962862324227505e-09,2.962862324227505e-09,2.962862324227505e-09,3.1290281190673938e-09,3.1290281190673938e-09,3.1290281190673938e-09,3.4196475866767375e-09,3.4196475866767375e-09,5.15118887601924e-08
0.002097046401323233,3.3522416710402448e-09,3.3522416710402448e-09,3.3522416710402448e-09,3.3522416710402448e-09,3.540244973448044e-09,3.540244973448044e-09,3.540244973448044e-09,3.868963316196189e-09,3.868963316196189e-09,5.20145997782695e-08
0.002196385372416547,3.7927932488100195e-09,3.7927932488100195e-09,3.7927932488100195e-09,3.7927932488100195e-09,4.005503943851555e-09,4.005503943851555e-09,4.005503943851555e-09,4.3773281155918785e-09,4.3773281155918785e-09,5.2583377074588536e-08
0.002300430119772917,4.291242111706717e-09,4.291242111706717e-09,4.291242111706717e-09,4.291242111706717e-09,4.531907244713405e-09,4.531907244713405e-09,4.531907244713405e-09,4.952502213121236e-09,4.952502213121236e-09,5.3226903078852107e-08
0.0024094035602395245,4.85519712044848e-09,4.85519712044848e-09,4.85519712044848e-09,4.85519712044848e-09,5.127490463413765e-09,5.127490463413765e-09,5.127490463413765e-09,5.603265686152538e-09,5.603265686152538e-09,5.3955001265572225e-08
0.0025235391704347657,5.4932670921447164e-09,5.4932670921447164e-09,5.4932670921447164e-09,5.4932670921447164e-09,5.80134522413509e-09,5.80134522413509e-09,5.80134522413509e-09,6.33955248971799e-09,6.33955248971799e-09,5.477878611015862e-08
0.0026430814869741054,6.2151922145485144e-09,6.2151922145485144e-09,6.2151922145485144e-09,6.2151922145485144e-09,6.563757972200616e-09,6.563757972200616e-09,6.563757972200616e-09,7.1726020990954165e-09,7.1726020990954165e-09,5.5710832752231505e-08
0.0027682866303920667,7.031992730766309e-09,7.031992730766309e-09,7.031992730766309e-09,7.031992730766309e-09,7.4263669974464365e-09,7.4263669974464365e-09,7.4263669974464365e-09,8.115131081253153e-09,8.115131081253153e-09,5.6765368956080946e-08
0.002899422853882875,7.956137164107683e-09,7.956137164107683e-09,7.956137164107683e-09,7.956137164107683e-09,8.402340093600256e-09,8.402340093600256e-09,8.402340093600256e-09,9.181527214208474e-09,9.181527214208474e-09,5.7958492298562696e-08
0.0030367711180354575,9.001732651038942e-09,9.001732651038942e-09,9.001732651038942e-09,9.001732651038942e-09,9.50657556564911e-09,9.50657556564911e-09,9.50657556564911e-09,1.0388069117544353e-08,1.0388069117544353e-08,5.930841589981779e-08
0.0031806256927941192,1.0184740287686358e-08,1.0184740287686358e-08,1.0184740287686358e-08,1.0184740287686358e-08,1.0755929653587484e-08,1.0755929653587484e-08,1.0755929653587484e-08,1.1753174746759492e-08,1.1753174746759492e-08,6.083574644791193e-08
0.0033312947879346735,1.1523218777167575e-08,1.1523218777167575e-08,1.1523218777167575e-08,1.1523218777167575e-08,1.2169473844184167e-08,1.2169473844184167e-08,1.2169473844184167e-08,1.3297682544733736e-08,1.3297682544733736e-08,6.256379876145803e-08
