AvgSa(1.0s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.88333421043502e-15,3.88333421043502e-15,3.88333421043502e-15,3.88333421043502e-15,1.4430537722223178e-09,1.4430537722223178e-09,1.4430537722223178e-09,1.9756895375311958e-05,1.9756895375311958e-05,0.002572870724751368
0.0010473708979594498,4.6921402395350175e-15,4.6921402395350175e-15,4.6921402395350175e-15,4.6921402395350175e-15,1.4430546146607336e-09,1.4430546146607336e-09,1.4430546146607336e-09,1.9756895376220167e-05,1.9756895376220167e-05,0.002572870724752361
0.001096985797892384,5.669401301670974e-15,5.669401301670974e-15,5.669401301670974e-15,5.669401301670974e-15,1.4430556325590075e-09,1.4430556325590075e-09,1.4430556325590075e-09,1.9756895377317535e-05,1.9756895377317535e-05,0.002572870724753561
0.0011489510001873086,6.850202568236436e-15,6.850202568236436e-15,6.850202568236436e-15,6.850202568236436e-15,1.443056862461249e-09,1.443056862461249e-09,1.443056862461249e-09,1.9756895378643457e-05,1.9756895378643457e-05,0.0025728707247550113
0.0012033778407775893,8.276936616224862e-15,8.276936616224862e-15,8.276936616224862e-15,8.276936616224862e-15,1.443058348522836e-09,1.443058348522836e-09,1.443058348522836e-09,1.9756895380245538e-05,1.9756895380245538e-05,0.0025728707247567634
0.0012603829296797275,1.0000825386779975e-14,1.0000825386779975e-14,1.0000825386779975e-14,1.0000825386779975e-14,1.4430601440956588e-09,1.4430601440956588e-09,1.4430601440956588e-09,1.9756895382181293e-05,1.9756895382181293e-05,0.0025728707247588806
0.001320088400831418,1.2083759131464747e-14,1.2083759131464747e-14,1.2083759131464747e-14,1.2083759131464747e-14,1.4430623136435366e-09,1.4430623136435366e-09,1.4430623136435366e-09,1.9756895384520222e-05,1.9756895384520222e-05,0.0025728707247614385
0.0013826221737646563,1.46005183672417e-14,1.46005183672417e-14,1.46005183672417e-14,1.46005183672417e-14,1.4430649350565667e-09,1.4430649350565667e-09,1.4430649350565667e-09,1.9756895387346293e-05,1.9756895387346293e-05,0.0025728707247645293
0.001448118227674533,1.7641458611755722e-14,1.7641458611755722e-14,1.7641458611755722e-14,1.7641458611755722e-14,1.4430681024474983e-09,1.4430681024474983e-09,1.4430681024474983e-09,1.9756895390760968e-05,1.9756895390760968e-05,0.0025728707247682637
0.0015167168884709225,2.1315754285036894e-14,2.1315754285036894e-14,2.1315754285036894e-14,2.1315754285036894e-14,1.443071929530525e-09,1.443071929530525e-09,1.443071929530525e-09,1.9756895394886838e-05,1.9756895394886838e-05,0.0025728707247727758
0.0015885651294280528,2.575531823866846e-14,2.575531823866846e-14,2.575531823866846e-14,2.575531823866846e-14,1.443076553703799e-09,1.443076553703799e-09,1.443076553703799e-09,1.975689539987203e-05,1.975689539987203e-05,0.002572870724778228
0.001663816886076129,3.1119537629533e-14,3.1119537629533e-14,3.1119537629533e-14,3.1119537629533e-14,1.4430821409822352e-09,1.4430821409822352e-09,1.4430821409822352e-09,1.975689540589552e-05,1.975689540589552e-05,0.0025728707247848156
0.0017426333860096508,3.760099616326828e-14,3.760099616326828e-14,3.760099616326828e-14,3.760099616326828e-14,1.4430888919577008e-09,1.4430888919577008e-09,1.4430888919577008e-09,1.9756895413173554e-05,1.9756895413173554e-05,0.0025728707247927754
0.0018251834943190425,4.543238814475024e-14,4.543238814475024e-14,4.543238814475024e-14,4.543238814475024e-14,1.443097049000572e-09,1.443097049000572e-09,1.443097049000572e-09,1.975689542196743e-05,1.975689542196743e-05,0.0025728707248023927
0.0019116440753857017,5.489487256062744e-14,5.489487256062744e-14,5.489487256062744e-14,5.489487256062744e-14,1.4431069049612023e-09,1.4431069049612023e-09,1.4431069049612023e-09,1.9756895432592866e-05,1.9756895432592866e-05,0.002572870724814013
0.0020022003718155844,6.632816711827897e-14,6.632816711827897e-14,6.632816711827897e-14,6.632816711827897e-14,1.4431188136836987e-09,1.4431188136836987e-09,1.4431188136836987e-09,1.9756895445431324e-05,1.9756895445431324e-05,0.002572870724828054
0.002097046401323233,8.014274463268832e-14,8.014274463268832e-14,8.014274463268832e-14,8.014274463268832e-14,1.4431332027094683e-09,1.4431332027094683e-09,1.4431332027094683e-09,1.9756895460943726e-05,1.9756895460943726e-05,0.002572870724845019
