AvgSa(1.0s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.46836052276337e-17,2.46836052276337e-17,2.46836052276337e-17,2.46836052276337e-17,1.1563294117426844e-13,1.1563294117426844e-13,1.1563294117426844e-13,5.410151070265576e-09,5.410151070265576e-09,4.749274684382247e-06
0.0010473708979594498,3.151778367170904e-17,3.151778367170904e-17,3.151778367170904e-17,3.151778367170904e-17,1.1564028482271682e-13,1.1564028482271682e-13,1.1564028482271682e-13,5.4101510781631675e-09,5.4101510781631675e-09,4.74927468439088e-06
0.001096985797892384,4.024414903802442e-17,4.024414903802442e-17,4.024414903802442e-17,4.024414903802442e-17,1.1564966171563916e-13,1.1564966171563916e-13,1.1564966171563916e-13,5.4101510882473735e-09,5.4101510882473735e-09,4.749274684401903e-06
0.0011489510001873086,5.138659331710831e-17,5.138659331710831e-17,5.138659331710831e-17,5.138659331710831e-17,1.1566163479979414e-13,1.1566163479979414e-13,1.1566163479979414e-13,5.410151101123606e-09,5.410151101123606e-09,4.749274684415978e-06
0.0012033778407775893,6.561405908329592e-17,6.561405908329592e-17,6.561405908329592e-17,6.561405908329592e-17,1.1567692288566328e-13,1.1567692288566328e-13,1.1567692288566328e-13,5.410151117564896e-09,5.410151117564896e-09,4.74927468443395e-06
0.0012603829296797275,8.37806998183104e-17,8.37806998183104e-17,8.37806998183104e-17,8.37806998183104e-17,1.1569644380162083e-13,1.1569644380162083e-13,1.1569644380162083e-13,5.410151138558305e-09,5.410151138558305e-09,4.7492746844568985e-06
0.001320088400831418,1.0697715947027641e-16,1.0697715947027641e-16,1.0697715947027641e-16,1.0697715947027641e-16,1.157213694962489e-13,1.157213694962489e-13,1.157213694962489e-13,5.410151165364183e-09,5.410151165364183e-09,4.7492746844862e-06
0.0013826221737646563,1.3659604984378206e-16,1.3659604984378206e-16,1.3659604984378206e-16,1.3659604984378206e-16,1.157531963968945e-13,1.157531963968945e-13,1.157531963968945e-13,5.4101511995918355e-09,5.4101511995918355e-09,4.749274684523614e-06
0.001448118227674533,1.7441555679097194e-16,1.7441555679097194e-16,1.7441555679097194e-16,1.7441555679097194e-16,1.1579383524848192e-13,1.1579383524848192e-13,1.1579383524848192e-13,5.410151243296138e-09,5.410151243296138e-09,4.749274684571388e-06
0.0015167168884709225,2.2270619454585753e-16,2.2270619454585753e-16,2.2270619454585753e-16,2.2270619454585753e-16,1.1584572582610164e-13,1.1584572582610164e-13,1.1584572582610164e-13,5.410151299100902e-09,5.410151299100902e-09,4.7492746846323885e-06
