im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.1521105538452942e-13,1.1521105538452942e-13,1.1521105538452942e-13,1.1521105538452942e-13,1.2089070674742452e-13,1.2089070674742452e-13,1.2089070674742452e-13,3.0545630834938745e-10,3.0545630834938745e-10,1.8632640160816672e-06
0.001009671904360419,1.193837560922334e-13,1.193837560922334e-13,1.193837560922334e-13,1.193837560922334e-13,1.2526838198568106e-13,1.2526838198568106e-13,1.2526838198568106e-13,3.05461061175738e-10,3.05461061175738e-10,1.863264021347487e-06
0.001019437354454795,1.2370758319260828e-13,1.2370758319260828e-13,1.2370758319260828e-13,1.2370758319260828e-13,1.298046073605005e-13,1.298046073605005e-13,1.298046073605005e-13,3.0546598613940483e-10,3.0546598613940483e-10,1.8632640268040238e-06
0.0010292972550485203,1.2818801016390316e-13,1.2818801016390316e-13,1.2818801016390316e-13,1.2818801016390316e-13,1.3450512522243142e-13,1.3450512522243142e-13,1.3450512522243142e-13,3.054710894748373e-10,3.054710894748373e-10,1.8632640324581849e-06
0.0010392525196577912,1.328307087221698e-13,1.328307087221698e-13,1.328307087221698e-13,1.328307087221698e-13,1.3937588589781101e-13,1.3937588589781101e-13,1.3937588589781101e-13,3.054763776422836e-10,3.054763776422836e-10,1.8632640383171274e-06
0.0010493040706342459,1.3764155600101775e-13,1.3764155600101775e-13,1.3764155600101775e-13,1.3764155600101775e-13,1.444230552212095e-13,1.444230552212095e-13,1.444230552212095e-13,3.0548185733596814e-10,3.0548185733596814e-10,1.8632640443882687e-06
0.0010594528392504174,1.4262664199140294e-13,1.4262664199140294e-13,1.4262664199140294e-13,1.4262664199140294e-13,1.4965302234068138e-13,1.4965302234068138e-13,1.4965302234068138e-13,3.0548753549256613e-10,3.0548753549256613e-10,1.8632640506792938e-06
0.0010696997657860217,1.477922772508724e-13,1.477922772508724e-13,1.477922772508724e-13,1.477922772508724e-13,1.550724078057097e-13,1.550724078057097e-13,1.550724078057097e-13,3.054934192999845e-10,3.054934192999845e-10,1.8632640571981665e-06
0.0010800457996150668,1.5314500089201657e-13,1.5314500089201657e-13,1.5314500089201657e-13,1.5314500089201657e-13,1.60688071948073e-13,1.60688071948073e-13,1.60688071948073e-13,3.054995162064609e-10,3.054995162064609e-10,1.863264063953139e-06
0.001090491899293816,1.5869158886025097e-13,1.5869158886025097e-13,1.5869158886025097e-13,1.5869158886025097e-13,1.6650712356625436e-13,1.6650712356625436e-13,1.6650712356625436e-13,3.0550583392999247e-10,3.0550583392999247e-10,1.8632640709527625e-06
