AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.661092203377762e-27,1.661092203377762e-27,1.661092203377762e-27,1.661092203377762e-27,1.9709025852194145e-26,1.9709025852194145e-26,1.9709025852194145e-26,2.0838439854793745e-13,2.0838439854793745e-13,8.146592415892495e-08
0.0010473708979594498,2.368563294111264e-27,2.368563294111264e-27,2.368563294111264e-27,2.368563294111264e-27,2.043915457494727e-26,2.043915457494727e-26,2.043915457494727e-26,2.0838439854793826e-13,2.0838439854793826e-13,8.146592415892495e-08
0.001096985797892384,3.377351399761767e-27,3.377351399761767e-27,3.377351399761767e-27,3.377351399761767e-27,2.1480250360703693e-26,2.1480250360703693e-26,2.1480250360703693e-26,2.083843985479394e-13,2.083843985479394e-13,8.146592415892495e-08
0.0011489510001873086,4.8157895994721505e-27,4.8157895994721505e-27,4.8157895994721505e-27,4.8157895994721505e-27,2.2964756313342636e-26,2.2964756313342636e-26,2.2964756313342636e-26,2.0838439854794104e-13,2.0838439854794104e-13,8.146592415892495e-08
0.0012033778407775893,6.86686895181252e-27,6.86686895181252e-27,6.86686895181252e-27,6.86686895181252e-27,2.5081524005202567e-26,2.5081524005202567e-26,2.5081524005202567e-26,2.0838439854794339e-13,2.0838439854794339e-13,8.146592415892495e-08
0.0012603829296797275,9.791517720486563e-27,9.791517720486563e-27,9.791517720486563e-27,9.791517720486563e-27,2.809983824862917e-26,2.809983824862917e-26,2.809983824862917e-26,2.083843985479467e-13,2.083843985479467e-13,8.146592415892495e-08
0.001320088400831418,1.3961795389337817e-26,1.3961795389337817e-26,1.3961795389337817e-26,1.3961795389337817e-26,3.2403674190147825e-26,3.2403674190147825e-26,3.2403674190147825e-26,2.0838439854795144e-13,2.0838439854795144e-13,8.146592415892495e-08
0.0013826221737646563,1.9908224246572338e-26,1.9908224246572338e-26,1.9908224246572338e-26,1.9908224246572338e-26,3.8540544746898873e-26,3.8540544746898873e-26,3.8540544746898873e-26,2.0838439854795823e-13,2.0838439854795823e-13,8.146592415892495e-08
0.001448118227674533,2.83872798303921e-26,2.83872798303921e-26,2.83872798303921e-26,2.83872798303921e-26,4.729115251681991e-26,4.729115251681991e-26,4.729115251681991e-26,2.0838439854796787e-13,2.0838439854796787e-13,8.146592415892495e-08
0.0015167168884709225,4.0477626039787536e-26,4.0477626039787536e-26,4.0477626039787536e-26,4.0477626039787536e-26,5.976870693725098e-26,5.976870693725098e-26,5.976870693725098e-26,2.0838439854798163e-13,2.0838439854798163e-13,8.146592415892495e-08
0.0015885651294280528,5.771733746967705e-26,5.771733746967705e-26,5.771733746967705e-26,5.771733746967705e-26,7.75605413341694e-26,7.75605413341694e-26,7.75605413341694e-26,2.0838439854800124e-13,2.0838439854800124e-13,8.146592415892495e-08
