im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,4.1331755925794726e-18,4.1331755925794726e-18,4.1331755925794726e-18,4.1331755925794726e-18,4.447695077778247e-18,4.447695077778247e-18,4.447695077778247e-18,4.7584985730987977e-14,4.7584985730987977e-14,5.303572987932194e-09
0.001009671904360419,4.3639391028307474e-18,4.3639391028307474e-18,4.3639391028307474e-18,4.3639391028307474e-18,4.696008918379136e-18,4.696008918379136e-18,4.696008918379136e-18,4.758525704167749e-14,4.758525704167749e-14,5.303572988235828e-09
0.001019437354454795,4.607586604209594e-18,4.607586604209594e-18,4.607586604209594e-18,4.607586604209594e-18,4.958186620366393e-18,4.958186620366393e-18,4.958186620366393e-18,4.758554350018874e-14,4.758554350018874e-14,5.303572988556415e-09
0.0010292972550485203,4.864837435866272e-18,4.864837435866272e-18,4.864837435866272e-18,4.864837435866272e-18,5.235002231018555e-18,5.235002231018555e-18,5.235002231018555e-18,4.758584595225509e-14,4.758584595225509e-14,5.3035729888949e-09
0.0010392525196577912,5.1364510991032824e-18,5.1364510991032824e-18,5.1364510991032824e-18,5.1364510991032824e-18,5.5272730142312826e-18,5.5272730142312826e-18,5.5272730142312826e-18,4.758616529082891e-14,4.758616529082891e-14,5.303572989252284e-09
0.0010493040706342459,5.423229499709174e-18,5.423229499709174e-18,5.423229499709174e-18,5.423229499709174e-18,5.8358618633881044e-18,5.8358618633881044e-18,5.8358618633881044e-18,4.758650245871789e-14,4.758650245871789e-14,5.303572989629621e-09
0.0010594528392504174,5.726019315486139e-18,5.726019315486139e-18,5.726019315486139e-18,5.726019315486139e-18,6.161679848946325e-18,6.161679848946325e-18,6.161679848946325e-18,4.758685845136858e-14,4.758685845136858e-14,5.303572990028026e-09
0.0010696997657860217,6.045714495962014e-18,6.045714495962014e-18,6.045714495962014e-18,6.045714495962014e-18,6.5056889082604194e-18,6.5056889082604194e-18,6.5056889082604194e-18,4.758723431980529e-14,4.758723431980529e-14,5.303572990448675e-09
0.0010800457996150668,6.383258901665503e-18,6.383258901665503e-18,6.383258901665503e-18,6.383258901665503e-18,6.8689046855828866e-18,6.8689046855828866e-18,6.8689046855828866e-18,4.758763117373316e-14,4.758763117373316e-14,5.3035729908928095e-09
0.001090491899293816,6.739649090757789e-18,6.739649090757789e-18,6.739649090757789e-18,6.739649090757789e-18,7.25239953062845e-18,7.25239953062845e-18,7.25239953062845e-18,4.7588050184814383e-14,4.7588050184814383e-14,5.303572991361741e-09
0.0011010390326495973,7.115937261247651e-18,7.115937261247651e-18,7.115937261247651e-18,7.115937261247651e-18,7.657305664554378e-18,7.657305664554378e-18,7.657305664554378e-18,4.758849259012742e-14,4.758849259012742e-14,5.303572991856853e-09
0.0011116881768704725,7.513234357475914e-18,7.513234357475914e-18,7.513234357475914e-18,7.513234357475914e-18,8.084818522703389e-18,8.084818522703389e-18,8.084818522703389e-18,4.758895969581931e-14,4.758895969581931e-14,5.303572992379609e-09
0.001122440318595772,7.932713350041429e-18,7.932713350041429e-18,7.932713350041429e-18,7.932713350041429e-18,8.536200283978881e-18,8.536200283978881e-18,8.536200283978881e-18,4.7589452880961905e-14,4.7589452880961905e-14,5.303572992931552e-09
0.0011332964540075085,8.375612698851883e-18,8.375612698851883e-18,8.375612698851883e-18,8.375612698851883e-18,9.012783597272233e-18,9.012783597272233e-18,9.012783597272233e-18,4.7589973601623413e-14,4.7589973601623413e-14,5.3035729935143095e-09
