AvgSa(0.6s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,9.234158573013052e-15,9.234158573013052e-15,9.234158573013052e-15,9.234158573013052e-15,9.890479191719217e-15,9.890479191719217e-15,9.890479191719217e-15,2.294771162419829e-12,2.294771162419829e-12,4.968551716807919e-08
0.0010473708979594498,1.1360969162970128e-14,1.1360969162970128e-14,1.1360969162970128e-14,1.1360969162970128e-14,1.2168425652648843e-14,1.2168425652648843e-14,1.2168425652648843e-14,2.2972470655213754e-12,2.2972470655213754e-12,4.968551991671895e-08
0.001096985797892384,1.397762658085297e-14,1.397762658085297e-14,1.397762658085297e-14,1.397762658085297e-14,1.497102854200712e-14,1.497102854200712e-14,1.497102854200712e-14,2.300293218407398e-12,2.300293218407398e-12,4.9685523298425175e-08
0.0011489510001873086,1.719695230496417e-14,1.719695230496417e-14,1.719695230496417e-14,1.719695230496417e-14,1.84191266822213e-14,1.84191266822213e-14,1.84191266822213e-14,2.304040960958076e-12,2.304040960958076e-12,4.968552745900569e-08
0.0012033778407775893,2.115775284656133e-14,2.115775284656133e-14,2.115775284656133e-14,2.115775284656133e-14,2.2661390482666972e-14,2.2661390482666972e-14,2.2661390482666972e-14,2.3086518832432362e-12,2.3086518832432362e-12,4.968553257785073e-08
0.0012603829296797275,2.60308046203602e-14,2.60308046203602e-14,2.60308046203602e-14,2.60308046203602e-14,2.7880732108324386e-14,2.7880732108324386e-14,2.7880732108324386e-14,2.3143247927433663e-12,2.3143247927433663e-12,4.9685538875667714e-08
0.001320088400831418,3.202621724988591e-14,3.202621724988591e-14,3.202621724988591e-14,3.202621724988591e-14,3.430219203791618e-14,3.430219203791618e-14,3.430219203791618e-14,2.321304286260367e-12,2.321304286260367e-12,4.9685546623997353e-08
0.0013826221737646563,3.940249278866493e-14,3.940249278866493e-14,3.940249278866493e-14,3.940249278866493e-14,4.2202642053421576e-14,4.2202642053421576e-14,4.2202642053421576e-14,2.329891296110028e-12,2.329891296110028e-12,4.96855561569216e-08
0.001448118227674533,4.8477671460444133e-14,4.8477671460444133e-14,4.8477671460444133e-14,4.8477671460444133e-14,5.1922723021280877e-14,5.1922723021280877e-14,5.1922723021280877e-14,2.3404560653126302e-12,2.3404560653126302e-12,4.968556788546811e-08
0.0015167168884709225,5.964304448531819e-14,5.964304448531819e-14,5.964304448531819e-14,5.964304448531819e-14,6.388153218231867e-14,6.388153218231867e-14,6.388153218231867e-14,2.3534541112283065e-12,2.3534541112283065e-12,4.9685582315332425e-08
