AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.5127021068909715e-15,3.5127021068909715e-15,3.5127021068909715e-15,3.5127021068909715e-15,3.6762914730016364e-15,3.6762914730016364e-15,3.6762914730016364e-15,4.28747642975575e-15,4.28747642975575e-15,8.923543777327757e-10
0.0010473708979594498,4.27233421913218e-15,4.27233421913218e-15,4.27233421913218e-15,4.27233421913218e-15,4.4713002644878785e-15,4.4713002644878785e-15,4.4713002644878785e-15,5.165163020625103e-15,5.165163020625103e-15,8.923553757557535e-10
0.001096985797892384,5.196238999077274e-15,5.196238999077274e-15,5.196238999077274e-15,5.196238999077274e-15,5.438232034111751e-15,5.438232034111751e-15,5.438232034111751e-15,6.232651905745354e-15,6.232651905745354e-15,8.923565896041216e-10
0.0011489510001873086,6.319940891940788e-15,6.319940891940788e-15,6.319940891940788e-15,6.319940891940788e-15,6.614265629111428e-15,6.614265629111428e-15,6.614265629111428e-15,7.530988386796656e-15,7.530988386796656e-15,8.923580659507522e-10
0.0012033778407775893,7.686646608194612e-15,7.686646608194612e-15,7.686646608194612e-15,7.686646608194612e-15,8.044619931262464e-15,8.044619931262464e-15,8.044619931262464e-15,9.110093932086692e-15,9.110093932086692e-15,8.923598615616628e-10
0.0012603829296797275,9.348906435915266e-15,9.348906435915266e-15,9.348906435915266e-15,9.348906435915266e-15,9.784292537879052e-15,9.784292537879052e-15,9.784292537879052e-15,1.1030685673563724e-14,1.1030685673563724e-14,8.923620454786886e-10
0.001320088400831418,1.1370634816789925e-14,1.1370634816789925e-14,1.1370634816789925e-14,1.1370634816789925e-14,1.1900174437671923e-14,1.1900174437671923e-14,1.1900174437671923e-14,1.3366611000678186e-14,1.3366611000678186e-14,8.923647016741636e-10
0.0013826221737646563,1.3829567877597169e-14,1.3829567877597169e-14,1.3829567877597169e-14,1.3829567877597169e-14,1.4473621991449374e-14,1.4473621991449374e-14,1.4473621991449374e-14,1.6207687016999304e-14,1.6207687016999304e-14,8.923679322796846e-10
0.001448118227674533,1.6820252410063912e-14,1.6820252410063912e-14,1.6820252410063912e-14,1.6820252410063912e-14,1.7603585111173316e-14,1.7603585111173316e-14,1.7603585111173316e-14,1.966315403763645e-14,1.966315403763645e-14,8.923718615131056e-10
0.0015167168884709225,2.0457681226365044e-14,2.0457681226365044e-14,2.0457681226365044e-14,2.0457681226365044e-14,2.1410411916892335e-14,2.1410411916892335e-14,2.1410411916892335e-14,2.3865875915586154e-14,2.3865875915586154e-14,8.923766404547545e-10
0.0015885651294280528,2.4881714670890488e-14,2.4881714670890488e-14,2.4881714670890488e-14,2.4881714670890488e-14,2.6040476161872647e-14,2.6040476161872647e-14,2.6040476161872647e-14,2.897744870094593e-14,2.897744870094593e-14,8.923824528565229e-10
0.001663816886076129,3.026245829687363e-14,3.026245829687363e-14,3.026245829687363e-14,3.026245829687363e-14,3.1671805351958045e-14,3.1671805351958045e-14,3.1671805351958045e-14,3.519441406263607e-14,3.519441406263607e-14,8.923895222071866e-10
0.0017426333860096508,3.680680348133089e-14,3.680680348133089e-14,3.680680348133089e-14,3.680680348133089e-14,3.852092596221485e-14,3.852092596221485e-14,3.852092596221485e-14,4.275581638075534e-14,4.275581638075534e-14,8.923981203256232e-10
0.0018251834943190425,4.47663824671265e-14,4.47663824671265e-14,4.47663824671265e-14,4.47663824671265e-14,4.6851188951712206e-14,4.6851188951712206e-14,4.6851188951712206e-14,5.1952394082278205e-14,5.1952394082278205e-14,8.924085778123384e-10
0.0019116440753857017,5.4447243706167755e-14,5.4447243706167755e-14,5.4447243706167755e-14,5.4447243706167755e-14,5.698289569524219e-14,5.698289569524219e-14,5.698289569524219e-14,6.313775862999926e-14,6.313775862999926e-14,8.924212967611645e-10
0.0020022003718155844,6.622161952388638e-14,6.622161952388638e-14,6.622161952388638e-14,6.622161952388638e-14,6.930561367741317e-14,6.930561367741317e-14,6.930561367741317e-14,7.67419910005581e-14,7.67419910005581e-14,8.924367662199024e-10
