AvgSa(0.2s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.7629395683250213e-29,1.7629395683250213e-29,1.7629395683250213e-29,1.7629395683250213e-29,2.0338753996817477e-29,2.0338753996817477e-29,2.0338753996817477e-29,2.234257666801569e-29,2.234257666801569e-29,2.5256813618817524e-29
0.0010473708979594498,2.5684608469208133e-29,2.5684608469208133e-29,2.5684608469208133e-29,2.5684608469208133e-29,2.963192514058366e-29,2.963192514058366e-29,2.963192514058366e-29,3.2551333251682344e-29,3.2551333251682344e-29,3.6794166080421816e-29
0.001096985797892384,3.7420404197025417e-29,3.7420404197025417e-29,3.7420404197025417e-29,3.7420404197025417e-29,4.317132640841947e-29,4.317132640841947e-29,4.317132640841947e-29,4.742466870345021e-29,4.742466870345021e-29,5.360315863307681e-29
0.0011489510001873086,5.451851259276327e-29,5.451851259276327e-29,5.451851259276327e-29,5.451851259276327e-29,6.28971426938997e-29,6.28971426938997e-29,6.28971426938997e-29,6.909391957134984e-29,6.909391957134984e-29,7.809250587070963e-29
0.0012033778407775893,7.942907830919796e-29,7.942907830919796e-29,7.942907830919796e-29,7.942907830919796e-29,9.163606699574012e-29,9.163606699574012e-29,9.163606699574012e-29,1.0066427140660203e-28,1.0066427140660203e-28,1.137715107989805e-28
0.0012603829296797275,1.15721764608194e-28,1.15721764608194e-28,1.15721764608194e-28,1.15721764608194e-28,1.3350636316364947e-28,1.3350636316364947e-28,1.3350636316364947e-28,1.466597292596455e-28,1.466597292596455e-28,1.657529450250114e-28
0.001320088400831418,1.6859728312475838e-28,1.6859728312475838e-28,1.6859728312475838e-28,1.6859728312475838e-28,1.945080096684321e-28,1.945080096684321e-28,1.945080096684321e-28,2.1367140382543077e-28,2.1367140382543077e-28,2.414857046585164e-28
0.0013826221737646563,2.456326515006929e-28,2.456326515006929e-28,2.456326515006929e-28,2.456326515006929e-28,2.8338249150566115e-28,2.8338249150566115e-28,2.8338249150566115e-28,3.1130201210109844e-28,3.1130201210109844e-28,3.5182223090299204e-28
0.001448118227674533,3.5786697368434766e-28,3.5786697368434766e-28,3.5786697368434766e-28,3.5786697368434766e-28,4.128654476946655e-28,4.128654476946655e-28,4.128654476946655e-28,4.53541938711491e-28,4.53541938711491e-28,5.125736558162312e-28
0.0015167168884709225,5.213833343065681e-28,5.213833343065681e-28,5.213833343065681e-28,5.213833343065681e-28,6.015116777132031e-28,6.015116777132031e-28,6.015116777132031e-28,6.607740463411334e-28,6.607740463411334e-28,7.467755243287591e-28
0.0015885651294280528,7.596134912756949e-28,7.596134912756949e-28,7.596134912756949e-28,7.596134912756949e-28,8.763540287656464e-28,8.763540287656464e-28,8.763540287656464e-28,9.62694522933149e-28,9.62694522933149e-28,1.0879887685930792e-27
0.001663816886076129,1.1066956271156387e-27,1.1066956271156387e-27,1.1066956271156387e-27,1.1066956271156387e-27,1.2767771802095503e-27,1.2767771802095503e-27,1.2767771802095503e-27,1.4025683206192703e-27,1.4025683206192703e-27,1.5851089615310551e-27
