im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.160654621404594e-16,3.160654621404594e-16,3.160654621404594e-16,3.160654621404594e-16,3.4808800154201414e-16,3.4808800154201414e-16,3.4808800154201414e-16,3.8779985048367423e-16,3.8779985048367423e-16,4.48140795358259e-16
0.001009671904360419,3.304913825347565e-16,3.304913825347565e-16,3.304913825347565e-16,3.304913825347565e-16,3.639755008165268e-16,3.639755008165268e-16,3.639755008165268e-16,4.054998855780233e-16,4.054998855780233e-16,4.685949234224075e-16
0.001019437354454795,3.4557573355229358e-16,3.4557573355229358e-16,3.4557573355229358e-16,3.4557573355229358e-16,3.8058814037762927e-16,3.8058814037762927e-16,3.8058814037762927e-16,4.2400778906620815e-16,4.2400778906620815e-16,4.899826227195176e-16
0.0010292972550485203,3.6134856740976443e-16,3.6134856740976443e-16,3.6134856740976443e-16,3.6134856740976443e-16,3.979590172172548e-16,3.979590172172548e-16,3.979590172172548e-16,4.4336043383228745e-16,4.4336043383228745e-16,5.123465034867221e-16
0.0010392525196577912,3.7784130797288864e-16,3.7784130797288864e-16,3.7784130797288864e-16,3.7784130797288864e-16,4.161227389465766e-16,4.161227389465766e-16,4.161227389465766e-16,4.635963757195515e-16,4.635963757195515e-16,5.357311207857527e-16
0.0010493040706342459,3.950868133614896e-16,3.950868133614896e-16,3.950868133614896e-16,3.950868133614896e-16,4.3511549274399234e-16,4.3511549274399234e-16,4.3511549274399234e-16,4.847559303444818e-16,4.847559303444818e-16,5.601830632690105e-16
0.0010594528392504174,4.1311944141199e-16,4.1311944141199e-16,4.1311944141199e-16,4.1311944141199e-16,4.549751174500277e-16,4.549751174500277e-16,4.549751174500277e-16,5.068812534166498e-16,5.068812534166498e-16,5.857510459970937e-16
0.0010696997657860217,4.319751181277755e-16,4.319751181277755e-16,4.319751181277755e-16,4.319751181277755e-16,4.757411789528289e-16,4.757411789528289e-16,4.757411789528289e-16,5.30016424724613e-16,5.30016424724613e-16,6.124860074927445e-16
0.0010800457996150668,4.516914092537512e-16,4.516914092537512e-16,4.516914092537512e-16,4.516914092537512e-16,4.97455049014378e-16,4.97455049014378e-16,4.97455049014378e-16,5.54207535955071e-16,5.54207535955071e-16,6.404412112245054e-16
0.001090491899293816,4.723075951177628e-16,4.723075951177628e-16,4.723075951177628e-16,4.723075951177628e-16,5.201599876945601e-16,5.201599876945601e-16,5.201599876945601e-16,5.795027825203361e-16,5.795027825203361e-16,6.696723517223753e-16
