im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,5.721850344293772e-29,5.721850344293772e-29,5.721850344293772e-29,5.721850344293772e-29,6.437927811115233e-29,6.437927811115233e-29,6.437927811115233e-29,7.14085389075287e-29,7.14085389075287e-29,8.194223325344758e-29
0.001009671904360419,6.22693351447375e-29,6.22693351447375e-29,6.22693351447375e-29,6.22693351447375e-29,7.006221071611069e-29,7.006221071611069e-29,7.006221071611069e-29,7.771196333129113e-29,7.771196333129113e-29,8.917549530207022e-29
0.001019437354454795,6.776601739041503e-29,6.776601739041503e-29,6.776601739041503e-29,6.776601739041503e-29,7.624679111737921e-29,7.624679111737921e-29,7.624679111737921e-29,8.457180803859328e-29,8.457180803859328e-29,9.704725691052566e-29
0.0010292972550485203,7.374790661059647e-29,7.374790661059647e-29,7.374790661059647e-29,7.374790661059647e-29,8.297730111962388e-29,8.297730111962388e-29,8.297730111962388e-29,9.203718974935129e-29,9.203718974935129e-29,1.056138801579376e-28
0.0010392525196577912,8.025783333424175e-29,8.025783333424175e-29,8.025783333424175e-29,8.025783333424175e-29,9.030193140190211e-29,9.030193140190211e-29,9.030193140190211e-29,1.0016156084888872e-28,1.0016156084888872e-28,1.1493670235624578e-28
0.0010493040706342459,8.734240885667939e-29,8.734240885667939e-29,8.734240885667939e-29,8.734240885667939e-29,9.827312656455313e-29,9.827312656455313e-29,9.827312656455313e-29,1.0900309210882166e-28,1.0900309210882166e-28,1.2508247522743232e-28
0.0010594528392504174,9.505235897805617e-29,9.505235897805617e-29,9.505235897805617e-29,9.505235897805617e-29,1.069479606343088e-28,1.069479606343088e-28,1.069479606343088e-28,1.186250891917494e-28,1.186250891917494e-28,1.3612384284810676e-28
0.0010696997657860217,1.0344288720178017e-28,1.0344288720178017e-28,1.0344288720178017e-28,1.0344288720178017e-28,1.1638854571625351e-28,1.1638854571625351e-28,1.1638854571625351e-28,1.290964459219378e-28,1.290964459219378e-28,1.4813986178354938e-28
0.0010800457996150668,1.125740699934709e-28,1.125740699934709e-28,1.125740699934709e-28,1.125740699934709e-28,1.266624767185958e-28,1.266624767185958e-28,1.266624767185958e-28,1.4049213756742915e-28,1.4049213756742915e-28,1.6121656713539023e-28
0.001090491899293816,1.225112869304848e-28,1.225112869304848e-28,1.225112869304848e-28,1.225112869304848e-28,1.3784331533449695e-28,1.3784331533449695e-28,1.3784331533449695e-28,1.5289375766549716e-28,1.5289375766549716e-28,1.7544758855584658e-28
