AvgSa(0.4s) (g),DS1|Und,DS2|Und,DS3|Und,DS4|Und,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.1697418959794039e-17,1.1697418959794039e-17,1.1697418959794039e-17,1.1697418959794039e-17,6.254705784690366e-15,6.254705784690366e-15,6.254705784690366e-15,8.866704391008954e-11,8.866704391008954e-11,1.271619682067319e-07
0.0010473708979594498,1.4883337431568912e-17,1.4883337431568912e-17,1.4883337431568912e-17,1.4883337431568912e-17,6.258345117819089e-15,6.258345117819089e-15,6.258345117819089e-15,8.8667047829224e-11,8.8667047829224e-11,1.2716196821102876e-07
0.001096985797892384,1.8936975230460498e-17,1.8936975230460498e-17,1.8936975230460498e-17,1.8936975230460498e-17,6.262975662656958e-15,6.262975662656958e-15,6.262975662656958e-15,8.866705281577708e-11,8.866705281577708e-11,1.271619682164959e-07
0.0011489510001873086,2.4094665092953682e-17,2.4094665092953682e-17,2.4094665092953682e-17,2.4094665092953682e-17,6.2688673864253306e-15,6.2688673864253306e-15,6.2688673864253306e-15,8.866705916047179e-11,8.866705916047179e-11,1.271619682234521e-07
0.0012033778407775893,3.0657107530445204e-17,3.0657107530445204e-17,3.0657107530445204e-17,3.0657107530445204e-17,6.276363784835926e-15,6.276363784835926e-15,6.276363784835926e-15,8.866706723321266e-11,8.866706723321266e-11,1.271619682323029e-07
0.0012603829296797275,3.900690208838533e-17,3.900690208838533e-17,3.900690208838533e-17,3.900690208838533e-17,6.285901908369833e-15,6.285901908369833e-15,6.285901908369833e-15,8.866707750465177e-11,8.866707750465177e-11,1.2716196824356427e-07
0.001320088400831418,4.9630853433313865e-17,4.9630853433313865e-17,4.9630853433313865e-17,4.9630853433313865e-17,6.298037842930017e-15,6.298037842930017e-15,6.298037842930017e-15,8.86670905736283e-11,8.86670905736283e-11,1.2716196825789284e-07
0.0013826221737646563,6.314835274377115e-17,6.314835274377115e-17,6.314835274377115e-17,6.314835274377115e-17,6.313479130424933e-15,6.313479130424933e-15,6.313479130424933e-15,8.866710720208186e-11,8.866710720208186e-11,1.2716196827612393e-07
0.001448118227674533,8.034748907974722e-17,8.034748907974722e-17,8.034748907974722e-17,8.034748907974722e-17,6.333126019448453e-15,6.333126019448453e-15,6.333126019448453e-15,8.866712835947444e-11,8.866712835947444e-11,1.2716196829932045e-07
0.0015167168884709225,1.0223099607387506e-16,1.0223099607387506e-16,1.0223099607387506e-16,1.0223099607387506e-16,6.358123951028292e-15,6.358123951028292e-15,6.358123951028292e-15,8.866715527931155e-11,8.866715527931155e-11,1.271619683288348e-07
0.0015885651294280528,1.300747127005246e-16,1.300747127005246e-16,1.300747127005246e-16,1.300747127005246e-16,6.389930339435241e-15,6.389930339435241e-15,6.389930339435241e-15,8.866718953105723e-11,8.866718953105723e-11,1.271619683663877e-07
0.001663816886076129,1.6550196646717034e-16,1.6550196646717034e-16,1.6550196646717034e-16,1.6550196646717034e-16,6.430399541467523e-15,6.430399541467523e-15,6.430399541467523e-15,8.866723311163601e-11,8.866723311163601e-11,1.2716196841416854e-07
0.0017426333860096508,2.1057821567181605e-16,2.1057821567181605e-16,2.1057821567181605e-16,2.1057821567181605e-16,6.48189096803804e-15,6.48189096803804e-15,6.48189096803804e-15,8.866728856185641e-11,8.866728856185641e-11,1.27161968474963e-07
0.0018251834943190425,2.6793146850204734e-16,2.6793146850204734e-16,2.6793146850204734e-16,2.6793146850204734e-16,6.5474066411207886e-15,6.5474066411207886e-15,6.5474066411207886e-15,8.866735911454361e-11,8.866735911454361e-11,1.271619685523155e-07
0.0019116440753857017,3.409054995771444e-16,3.409054995771444e-16,3.409054995771444e-16,3.409054995771444e-16,6.630766215818292e-15,6.630766215818292e-15,6.630766215818292e-15,8.866744888301766e-11,8.866744888301766e-11,1.271619686507358e-07
0.0020022003718155844,4.337547966712776e-16,4.337547966712776e-16,4.337547966712776e-16,4.337547966712776e-16,6.736829671580576e-15,6.736829671580576e-15,6.736829671580576e-15,8.866756310090577e-11,8.866756310090577e-11,1.271619687759619e-07
0.002097046401323233,5.51892603283644e-16,5.51892603283644e-16,5.51892603283644e-16,5.51892603283644e-16,6.871780655784372e-15,6.871780655784372e-15,6.871780655784372e-15,8.866770842727011e-11,8.866770842727011e-11,1.271619689352947e-07
0.002196385372416547,7.022065182832518e-16,7.022065182832518e-16,7.022065182832518e-16,7.022065182832518e-16,7.0434869989982935e-15,7.0434869989982935e-15,7.0434869989982935e-15,8.866789333484037e-11,8.866789333484037e-11,1.2716196913802352e-07
0.002300430119772917,8.934600525277536e-16,8.934600525277536e-16,8.934600525277536e-16,8.934600525277536e-16,7.261959420476688e-15,7.261959420476688e-15,7.261959420476688e-15,8.866812860398573e-11,8.866812860398573e-11,1.2716196939596774e-07
0.0024094035602395245,1.1368035537672126e-15,1.1368035537672126e-15,1.1368035537672126e-15,1.1368035537672126e-15,7.539935167052171e-15,7.539935167052171e-15,7.539935167052171e-15,8.866842795122548e-11,8.866842795122548e-11,1.2716196972416582e-07
0.0025235391704347657,1.4464242874670788e-15,1.4464242874670788e-15,1.4464242874670788e-15,1.4464242874670788e-15,7.893620612388047e-15,7.893620612388047e-15,7.893620612388047e-15,8.866880882892113e-11,8.866880882892113e-11,1.271619701417522e-07
0.0026430814869741054,1.840373574169066e-15,1.840373574169066e-15,1.840373574169066e-15,1.840373574169066e-15,8.343636111162779e-15,8.343636111162779e-15,8.343636111162779e-15,8.866929344277346e-11,8.866929344277346e-11,1.2716197067307274e-07
0.0027682866303920667,2.341619206651293e-15,2.341619206651293e-15,2.341619206651293e-15,2.341619206651293e-15,8.916218194502812e-15,8.916218194502812e-15,8.916218194502812e-15,8.866991004644586e-11,8.866991004644586e-11,1.271619713491042e-07
0.002899422853882875,2.979384504275912e-15,2.979384504275912e-15,2.979384504275912e-15,2.979384504275912e-15,9.644749196334194e-15,9.644749196334194e-15,9.644749196334194e-15,8.867069458879229e-11,8.867069458879229e-11,1.2716197220926011e-07
0.0030367711180354575,3.790852073259996e-15,3.790852073259996e-15,3.790852073259996e-15,3.790852073259996e-15,1.0571703490002288e-14,1.0571703490002288e-14,1.0571703490002288e-14,8.86716928097256e-11,8.86716928097256e-11,1.2716197330368878e-07
